#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:51:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbd0b424b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea3}&key:source=J/A+A/592/A70/tablea3&HTTPPRM:&
#-source=J/A+A/592/A70/tablea3
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea3:
#Name: J/A+A/592/A70/tablea3
#Title: HD 106038 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5250.21| 8.908| 6.345|      |  8.400|       |  8.640|  8.680|  6.299|       |  6.320|  6.416
Fe1|5253.46|11.766| 6.088| 0.020| 11.300| 11.310| 12.711| 12.240|  6.040|       |  6.100|  6.123
Fe1|5322.04| 5.831| 6.018|      |  5.300|       |  5.850|  6.520|  5.981|       |  6.020|  6.054
Fe1|5373.71| 7.676| 6.137|      |  7.100|       |  8.897|  8.260|  6.089|       |  6.140|  6.181
Fe1|5379.57| 6.484| 6.149|      |  6.400|       |  7.820|  6.260|  6.090|       |  6.180|  6.178
Fe1|5389.48|17.271| 6.147| 0.020| 16.700| 16.610| 18.660| 17.260|  6.104|       |  6.160|  6.178
Fe1|5398.28|11.909| 6.191| 0.020| 10.800| 11.710| 13.205| 12.820|  6.133|       |  6.230|  6.209
Fe1|5466.40|13.632| 6.200| 0.020| 12.600| 13.610| 14.832| 13.970|  6.140|       |  6.220|  6.239
Fe1|5473.90|13.430| 6.144| 0.020| 13.100| 13.210| 14.531| 12.910|  6.124|       |  6.100|  6.208
Fe1|5543.94| 6.765| 6.130|      |  6.200|       |  7.914|  7.510|  6.070|       |  6.180|  6.140
Fe1|5560.21| 6.286| 6.326|      |       |       |  5.868|  7.280|       |       |  6.290|  6.362
Fe1|5576.09|34.530| 6.111| 0.020| 33.400| 33.910| 36.592| 33.610|  6.080|  6.072|  6.140|  6.154
Fe1|5633.95| 7.808| 6.135|      |       |       |  9.010|  7.280|       |       |  6.130|  6.140
Fe1|5638.26|11.781| 6.102| 0.020| 11.200| 11.810| 12.313| 11.590|  6.080|       |  6.070|  6.156
Fe1|5662.52|21.871| 6.154| 0.020| 20.000| 20.910| 22.627| 23.320|  6.143|  6.149|  6.080|  6.243
Fe1|5701.54|15.596| 6.140| 0.030| 14.400| 15.010| 15.969| 16.880|  6.099|       |  6.150|  6.171
Fe1|5731.76| 6.936| 6.311|      |  6.100|       |  6.928|  6.550|  6.250|       |  6.310|  6.372
Fe1|5927.79| 6.331| 6.317|      |       |       |  4.576|  9.270|       |       |  6.260|  6.375
Fe1|5956.69| 7.080| 6.196|      |       |       |       |  7.080|       |       |       |  6.679
Fe1|6065.48|45.103| 6.259| 0.030| 45.100| 47.510| 44.318| 44.220|  6.185|  6.219|  6.170|  6.211
Fe1|6136.99| 8.592| 6.211|      |  8.600|       |  8.730|  9.180|  6.243|       |  6.250|  6.283
Fe1|6173.33| 8.738| 6.195|      |  8.400|       |  9.088|  9.920|  6.183|       |  6.220|  6.229
Fe1|6200.31| 9.677| 6.202| 0.020|  9.700| 10.510| 10.457|  9.300|  6.166|       |  6.200|  6.220
Fe1|6219.28|21.373| 6.220| 0.030| 21.400| 22.410| 21.338| 20.900|  6.193|  6.201|  6.190|  6.223
Fe1|6252.56|47.526| 6.187| 0.030|       | 49.610| 47.330| 45.930|       |  6.232|  6.200|  6.228
Fe1|6265.13|17.163| 6.203| 0.030| 17.100| 18.310| 17.706| 16.300|  6.164|       |  6.180|  6.217
Fe1|6297.79|11.955| 6.216| 0.030| 11.500| 12.810| 12.047| 12.420|  6.189|       |  6.210|  6.210
Fe1|6322.69|10.789| 6.132| 0.020| 10.800| 11.410| 11.501| 10.540|  6.191|       |  6.220|  6.237
Fe1|6335.33|29.133| 6.239| 0.030| 29.100| 30.510| 29.303| 27.760|  6.119|  6.135|  6.120|  6.154
Fe1|6481.87|10.625| 6.197|      |       |       |  8.965| 10.970|       |       |  6.360|  6.462
Fe1|5653.87| 6.299| 6.313|      |       |       |  3.040|  8.910|       |       |  6.400|  6.583
Fe1|5883.82|23.780| 6.184|      |       |       |       | 23.780|       |       |       |
Fe1|5905.67|11.070| 6.312|      |       |       |       | 11.070|       |       |       |  6.335
Fe1|5930.18|26.833| 6.143|      |       |       | 23.250| 29.010|       |       |  6.300|  6.326
Fe1|6003.01|13.118| 6.006| 0.020| 12.600| 13.510| 13.691| 14.010|  6.162|       |  6.180|  6.209
Fe1|6165.36| 6.839| 6.086|      |       |       |  4.835|  7.980|       |       |  6.300|  6.325
Fe1|6496.47| 7.868| 6.277|      |  7.200|       |  8.712|  9.010|  6.124|       |  6.210|  6.094
Fe1|5215.18|38.292| 6.047| 0.020| 37.000| 38.710| 39.061| 38.440|  5.984|  5.999|  6.010|  6.032
Fe1|6246.32|32.936| 6.094| 0.030| 32.100| 34.310| 33.362| 32.620|  6.066|  6.096|  6.080|  6.102
Fe1|6270.22| 6.372| 6.055|      |  6.400|       |  6.911|  6.280|  6.234|       |  6.270|  6.328
Fe1|6336.82|23.849| 6.237| 0.020| 23.300| 24.710| 24.288| 23.030|  6.026|  6.043|  6.040|  6.079
Fe1|6393.60|53.534| 6.003| 0.030| 52.800| 55.410| 53.291| 52.590|  6.073|  6.116|  6.080|  6.107
Fe1|6301.50|32.315| 6.027| 0.030| 31.200| 33.610| 32.715| 32.070|  6.032|  6.066|  6.060|  6.062
Fe1|5339.93|51.476| 6.229| 0.030| 49.900| 50.710| 53.682| 50.370|  5.997|  5.999|  6.030|  6.083
Fe1|5367.47|48.058| 6.141|      | 45.300| 47.510| 50.207| 47.560|  5.848|  5.872|  5.930|  5.922
Fe2|4993.36| 5.946| 6.230|      |  6.200|       |  6.742|  5.960|  6.211|       |  6.250|  6.229
Fe2|5264.81|10.822| 6.271|      |  9.500| 10.710| 10.734| 11.980|  6.239|       |  6.300|  6.273
Fe2|5316.78|21.178| 6.198|      | 20.600|       | 18.485|  0.000|  6.245|       |  6.180|  6.170
Fe2|5425.26| 6.660| 6.165|      |       |       |  7.700|  7.020|       |       |  6.190|  6.140
Fe2|5534.85|16.477| 6.272|      |       | 16.310| 16.829| 16.100|       |       |  6.270|  6.274
Fe2|6456.38|23.396| 6.330|      | 21.600| 23.710| 22.433| 25.090|  6.307|  6.347|  6.330|  6.336
Fe2|6432.68| 7.853| 6.212|      |  7.300|       |  8.135|  8.980|  6.189|       |  6.240|  6.208

