#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:40:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbba9b4c31	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea2}&key:source=J/A+A/592/A70/tablea2&HTTPPRM:&
#-source=J/A+A/592/A70/tablea2
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea2:
#Name: J/A+A/592/A70/tablea2
#Title: HD 102200 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5253.46|14.787| 6.213| 0.040| 14.200| 14.810| 15.062| 15.510|  6.200|       |  6.210|  6.230
Fe1|5322.04| 6.735| 6.126|      |  6.500|       |  6.840|  7.030|  6.127|       |  6.120|  6.131
Fe1|5373.71| 9.524| 6.248|      |  8.900|       | 10.828|  9.870|  6.226|       |  6.250|  6.267
Fe1|5379.57| 8.760| 6.283|      |  8.300|       |  9.866|  8.860|  6.249|       |  6.310|  6.291
Fe1|5389.48|20.646| 6.239| 0.040| 19.900| 20.210| 21.558| 20.910|  6.234|  6.198|  6.260|  6.263
Fe1|5398.28|13.577| 6.279| 0.040| 12.700| 13.210| 14.679| 14.300|  6.246|       |  6.300|  6.290
Fe1|5466.40|16.137| 6.308| 0.040| 15.400| 15.710| 17.298| 16.410|  6.276|       |  6.320|  6.328
Fe1|5473.90|17.772| 6.279| 0.040| 16.100| 17.210| 18.554| 18.580|  6.266|       |  6.250|  6.322
Fe1|5543.94| 8.561| 6.259|      |  7.900|       |  9.639|  9.090|  6.216|       |  6.290|  6.270
Fe1|5560.21| 7.302| 6.387|      |  6.000|       |  6.791|  8.190|  6.329|       |  6.370|  6.463
Fe1|5576.09|39.274| 6.234| 0.050| 38.000| 38.610| 40.173| 39.080|  6.231|  6.198|  6.250|  6.259
Fe1|5679.02| 8.720| 6.182|      |       |       |       |  8.720|       |       |       |  6.420
Fe1|5701.54|16.089| 6.338| 0.050| 15.200| 15.610| 15.557| 17.130|  6.177|       |  6.160|  6.210
Fe1|5741.85|16.120| 6.309|      |       |       |       | 16.120|       |       |       |  6.535
Fe1|5927.79|11.500| 6.430|      |  5.600|       |       | 17.800|  6.383|       |       |  6.570
Fe1|6065.48|49.296| 6.305| 0.050| 49.100| 51.010| 47.897| 49.960|  6.327|  6.327|  6.280|  6.304
Fe1|6136.99|11.970| 6.309|      | 11.800| 11.710| 11.175| 12.520|  6.451|       |  6.400|  6.438
Fe1|6173.33|10.863| 6.288|      |  9.800|       | 10.526| 13.190|  6.311|       |  6.320|  6.283
Fe1|6200.31|11.394| 6.362| 0.040| 11.900| 11.810| 12.138| 10.600|  6.317|       |  6.300|  6.311
Fe1|6219.28|23.617| 6.294| 0.050| 23.200| 24.710| 23.326| 23.230|  6.295|  6.283|  6.270|  6.304
Fe1|6252.56|53.896| 6.191| 0.050|       | 55.610| 52.237| 54.400|       |  6.393|  6.340|  6.353
Fe1|6265.13|19.869| 6.310| 0.050| 20.200| 20.710| 20.120| 18.840|  6.310|  6.274|  6.280|  6.312
Fe1|6297.79|11.404| 6.264| 0.040| 10.900| 11.010| 10.604| 13.280|  6.215|       |  6.170|  6.189
Fe1|6322.69|12.577| 6.312| 0.040| 12.100| 13.110| 13.058| 12.780|  6.297|       |  6.310|  6.323
Fe1|6335.33|33.583| 6.331| 0.050| 34.100| 35.410| 32.919| 31.910|  6.283|  6.266|  6.230|  6.279
Fe1|6430.85|46.453| 6.291| 0.050| 45.900| 47.110| 45.960| 46.220|  6.322|  6.310|  6.300|  6.318
Fe1|6609.11|11.319| 6.349|      | 10.900|       |  9.964| 11.930|  6.467|       |  6.400|  6.442
Fe1|5883.82|18.747| 6.326|      | 15.900| 16.810| 14.437| 23.740|  6.536|       |  6.470|
Fe1|5905.67| 9.468| 6.288|      |  9.400|       |  9.612| 10.660|  6.327|       |  6.320|  6.400
Fe1|6315.81|10.560| 6.119|      |  7.700|       |       | 10.560|  6.623|       |       |  6.533
Fe1|6496.47| 6.818| 6.168|      |  6.600|       |  6.353|  7.280|  6.112|       |  6.070|  6.112
Fe1|5215.18|41.692| 6.210| 0.050| 41.100| 42.410| 42.023| 41.400|  6.128|  6.105|  6.110|  6.134
Fe1|6246.32|36.010| 6.162| 0.050| 34.900| 36.710| 34.874| 37.820|  6.183|  6.179|  6.150|  6.161
Fe1|6336.82|29.456| 6.138| 0.050| 29.600| 30.910| 28.975| 28.270|  6.223|  6.209|  6.180|  6.230
Fe1|6393.60|54.383| 6.336| 0.050| 54.600| 55.510| 53.947| 53.400|  6.178|  6.165|  6.140|  6.167
Fe1|6301.50|35.010| 6.156| 0.050| 34.200| 35.110| 34.281| 36.480|  6.152|  6.131|  6.130|  6.141
Fe1|5367.47|52.297| 6.264|      | 50.200| 51.910| 53.690| 51.960|  6.003|  6.000|  6.050|  6.045
Fe2|4993.36| 8.343| 6.267|      |  8.700|       |  9.566|  8.180|  6.284|       |  6.300|  6.216
Fe2|5264.81|13.210| 6.293|      | 12.300| 13.110| 14.133| 13.620|  6.277|       |  6.320|  6.282
Fe2|5316.78|28.285| 6.248|      |       |       | 25.469|  0.000|       |       |  6.250|  6.246
Fe2|5414.07| 6.170| 6.332|      |       |       |  6.187|  6.820|       |       |  6.350|  6.314
Fe2|5425.26| 9.821| 6.200|      |       |       | 10.490|  9.940|       |       |  6.220|  6.181
Fe2|5534.85|23.519| 6.334|      |       | 23.410| 23.795| 23.720|       |  6.318|  6.350|  6.334
Fe2|6456.38|35.338| 6.436|      | 29.100|       | 32.378| 37.890|  6.400|       |  6.450|  6.459
Fe2|6432.68|12.342| 6.312|      | 11.500| 11.710| 12.072| 14.140|  6.327|       |  6.320|  6.290

