#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:15:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6140058ddf685	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea1}&key:source=J/A+A/592/A70/tablea1&HTTPPRM:&
#-source=J/A+A/592/A70/tablea1
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea1:
#Name: J/A+A/592/A70/tablea1
#Title: BD+26 4251 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5373.71| 7.983| 6.145|      |  7.400|       |  8.490|  8.620|  6.110|       |  6.120|  6.204
Fe1|5379.57| 6.627| 6.162|      |  6.500|       |  7.935|  6.390|  6.098|       |  6.190|  6.199
Fe1|5389.48|17.100| 6.157| 0.030| 16.800| 16.310| 18.500| 16.790|  6.110|       |  6.160|  6.201
Fe1|5398.28|11.528| 6.187| 0.020| 10.800| 11.310| 12.635| 11.860|  6.135|       |  6.210|  6.216
Fe1|5466.40|14.680| 6.234| 0.020| 13.300| 14.910| 15.306| 15.420|  6.169|       |  6.240|  6.293
Fe1|5473.90|14.510| 6.179| 0.020| 13.800| 14.210| 15.274| 14.620|  6.153|       |  6.130|  6.254
Fe1|5543.94| 6.718| 6.132|      |  6.400|       |  7.114|  7.160|  6.086|       |  6.130|  6.180
Fe1|5560.21| 6.377| 6.275|      |       |       |  5.740|  7.760|       |       |  6.280|  6.270
Fe1|5576.09|34.863| 6.135| 0.030| 33.600| 34.210| 36.363| 34.250|  6.094|  6.089|  6.150|  6.206
Fe1|5618.63| 5.792| 6.249|      |       |       |  5.897|  6.810|       |       |  6.250|  6.248
Fe1|5633.95| 7.791| 6.134|      |       |       |  8.467|  7.060|       |       |  6.100|  6.167
Fe1|5638.26|12.446| 6.140| 0.020| 12.000| 12.710| 12.973| 11.860|  6.117|       |  6.100|  6.202
Fe1|5662.52|22.896| 6.177| 0.020| 20.800| 21.410| 23.163| 25.450|  6.169|  6.167|  6.100|  6.273
Fe1|5679.02| 5.988| 6.269|      |  5.600|       |  6.936|  5.350|  6.192|       |  6.290|  6.324
Fe1|5701.54|16.205| 6.169| 0.030| 15.000| 15.610| 16.438| 17.400|  6.124|       |  6.170|  6.213
Fe1|5731.76| 7.189| 6.313|      |  5.600|       |  7.204|  7.480|  6.212|       |  6.330|  6.398
Fe1|6065.48|45.743| 6.229| 0.030| 47.300| 47.510| 44.655| 44.920|  6.240|  6.232|  6.190|  6.254
Fe1|6136.99| 7.838| 6.242|      |  8.300|       |  8.479|  8.140|  6.229|       |  6.240|  6.258
Fe1|6173.33|10.128| 6.283|      |  9.700|       | 10.137| 11.690|  6.257|       |  6.280|  6.311
Fe1|6200.31| 9.931| 6.222| 0.030| 10.300| 10.410| 10.570|  9.650|  6.199|       |  6.210|  6.258
Fe1|6219.28|21.396| 6.216| 0.030| 22.000| 22.210| 21.512| 20.500|  6.214|  6.201|  6.200|  6.251
Fe1|6252.56|47.854| 6.244| 0.030|       | 49.210| 47.666| 46.580|       |  6.238|  6.220|  6.273
Fe1|6265.13|18.580| 6.247| 0.030| 19.100| 19.210| 19.134| 17.600|  6.229|       |  6.230|  6.283
Fe1|6297.79|13.154| 6.270| 0.030| 12.600| 13.310| 13.370| 14.290|  6.239|       |  6.270|  6.302
Fe1|6322.69|10.865| 6.236| 0.030| 11.300| 10.910| 11.619| 10.840|  6.217|       |  6.230|  6.262
Fe1|6335.33|29.153| 6.146| 0.030| 29.800| 30.110| 29.449| 27.910|  6.141|  6.132|  6.130|  6.180
Fe1|6430.85|43.606| 6.231| 0.030| 44.500| 43.910| 42.746| 43.290|  6.245|  6.223|  6.210|  6.246
Fe1|6481.87| 7.426| 6.284|      |  6.900|       |  7.904|  7.950|  6.233|       |  6.300|  6.319
Fe1|6593.87|16.288| 6.215| 0.030| 16.300| 16.410| 15.762| 17.080|  6.239|       |  6.220|  6.186
Fe1|6609.11| 6.864| 6.253|      |  7.100|       |  7.986|  6.430|  6.214|       |  6.270|  6.274
Fe1|5883.82|11.628| 6.295|      | 10.500| 10.610| 10.688| 13.540|  6.290|       |  6.300|
Fe1|5905.67| 7.048| 6.201|      |  6.300|       |  8.532|  6.900|  6.110|       |  6.250|  6.242
Fe1|6003.01|13.661| 6.202| 0.020| 13.100| 13.410| 13.572| 15.780|  6.185|       |  6.180|  6.242
Fe1|6496.47| 8.726| 6.175|      |  7.800|       |  8.502| 11.050|  6.163|       |  6.200|  6.162
Fe1|6246.32|32.504| 6.099| 0.030| 32.700| 33.010| 32.734| 32.280|  6.089|  6.082|  6.080|  6.144
Fe1|6336.82|24.660| 6.081| 0.030| 24.900| 25.210| 25.153| 23.630|  6.072|  6.063|  6.070|  6.119
Fe1|6393.60|54.553| 6.143| 0.030| 55.500| 55.410| 54.400| 53.100|  6.140|  6.134|  6.120|  6.180
Fe1|4994.13|46.170| 6.255| 0.030| 47.000| 47.510| 46.636| 44.650|  6.244|  6.231|  6.240|  6.305
Fe1|5302.30|46.744| 6.052| 0.030| 45.600| 46.610| 48.248| 46.200|  6.012|  6.016|  6.080|  6.101
Fe1|5339.93|51.691| 6.058| 0.030| 50.500| 50.810| 53.996| 50.580|  6.027|  6.021|  6.060|  6.123
Fe1|5083.34|50.719| 6.261|      | 51.000| 52.010| 50.812| 49.800|  6.240|  6.240|  6.240|  6.324
Fe1|5445.04|37.062| 6.174| 0.030| 35.600| 36.210| 38.277| 37.320|  6.134|  6.129|  6.190|  6.241
Fe2|4993.36| 6.676| 6.235|      |  6.800|       |  7.875|  6.440|  6.203|       |  6.270|  6.232
Fe2|5264.81|11.752| 6.275|      | 10.400| 11.710| 11.976| 12.890|  6.233|       |  6.300|  6.293
Fe2|5316.78|23.010| 6.209|      |       | 23.010| 20.659|  0.000|       |  6.237|  6.190|  6.200
Fe2|5414.07| 5.568| 6.291|      |       |       |  4.731|  6.200|       |       |  6.290|  6.292
Fe2|5425.26| 8.004| 6.205|      |       |       |  9.175|  7.970|       |       |  6.220|  6.190
Fe2|5534.85|18.520| 6.311|      |       | 18.310| 19.563| 17.870|       |       |  6.300|  6.323
Fe2|6456.38|25.229| 6.347|      | 25.100| 26.210| 24.554| 25.020|  6.347|  6.359|  6.330|  6.354
Fe2|6432.68|10.312| 6.261|      | 10.000|       |  9.848| 11.450|  6.290|       |  6.280|  6.214

