#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:52:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbd695c20	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea7}&key:source=J/A+A/592/A70/tablea7&HTTPPRM:&
#-source=J/A+A/592/A70/tablea7
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea7:
#Name: J/A+A/592/A70/tablea7
#Title: HD 201891 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5441.34| 7.318| 6.480|      |       |       |  4.704|  9.450|       |       |  6.550|  6.634
Fe1|5466.40|26.625| 6.424| 0.030| 25.200| 26.610| 26.666| 27.400|  6.451|  6.448|  6.480|  6.542
Fe1|5473.90|26.501| 6.521| 0.020| 25.800| 25.810| 27.327| 26.270|  6.428|  6.390|  6.380|  6.497
Fe1|5522.45| 6.636| 6.445|      |       |       |  7.601|  6.340|       |       |  6.490|  6.552
Fe1|5543.94|15.752| 6.516| 0.020| 14.500| 15.210| 15.832| 17.460|  6.415|       |  6.450|  6.469
Fe1|5546.51|10.768| 6.481|      |  8.800|       |  9.917| 12.900|  6.477|       |  6.530|  6.541
Fe1|5560.21|10.925| 6.392|      |  8.800|       | 10.620| 13.250|  6.415|       |  6.500|  6.529
Fe1|5576.09|53.845| 6.381| 0.030| 52.600| 53.010| 57.043| 51.180|  6.359|  6.326|  6.430|  6.454
Fe1|5618.63| 9.133| 6.392|      |  7.800|       |  9.815| 10.170|  6.332|       |  6.410|  6.400
Fe1|5633.95|15.793| 6.375| 0.030|       | 16.210| 16.007| 15.140|       |       |  6.360|  6.425
Fe1|5638.26|23.181| 6.477| 0.020| 21.600| 23.110| 23.393| 23.380|  6.359|  6.361|  6.340|  6.440
Fe1|5652.32| 6.293| 6.427|      |       |       |  2.894|  9.320|       |       |  6.490|  6.464
Fe1|5662.52|38.184| 6.482| 0.030| 34.900| 36.210| 38.709| 41.990|  6.422|  6.413|  6.360|  6.512
Fe1|5679.02|10.952| 6.399| 0.030| 10.600| 11.110| 12.114|  9.780|  6.432|       |  6.490|  6.524
Fe1|5701.54|30.654| 6.438| 0.030| 28.400| 29.310| 29.637| 34.260|  6.386|  6.364|  6.400|  6.445
Fe1|5705.46|13.502| 6.493|      |       |       |  7.551| 20.370|       |       |  6.470|  6.405
Fe1|5956.69|10.418| 6.439|      | 10.400| 11.010|  9.736| 10.590|  6.588|       |  6.550|  6.604
Fe1|6136.99|16.195| 6.458| 0.030| 16.200| 16.310| 15.440| 17.280|  6.451|       |  6.410|  6.456
Fe1|6151.62| 8.516| 6.496|      |  8.000|       |  8.931|  9.160|  6.419|       |  6.460|  6.494
Fe1|6173.33|19.317| 6.450| 0.030| 19.100| 19.610| 18.685| 20.520|  6.493|       |  6.470|  6.524
Fe1|6200.31|20.430| 6.502| 0.030| 20.500| 21.010| 19.777| 20.790|  6.454|  6.425|  6.420|  6.499
Fe1|6219.28|39.934| 6.472| 0.030| 40.300| 40.910| 39.258| 39.470|  6.509|  6.486|  6.480|  6.534
Fe1|6265.13|33.816| 6.540| 0.030| 34.100| 34.710| 33.381| 33.170|  6.476|  6.451|  6.450|  6.511
Fe1|6297.79|27.355| 6.470|      | 27.100| 27.810| 26.018| 28.820|  6.552|  6.527|  6.520|  6.561
Fe1|6322.69|22.496| 6.398| 0.030| 22.300| 22.710| 22.171| 23.160|  6.474|  6.443|  6.460|  6.503
Fe1|6335.33|48.071| 6.519| 0.030| 48.200| 48.810| 48.117| 46.990|  6.404|  6.388|  6.390|  6.410
Fe1|6430.85|64.004| 6.463|      | 63.700| 64.210| 63.570| 63.850|  6.511|  6.508|  6.510|  6.547
Fe1|6481.87|14.514| 6.453| 0.030| 13.900| 14.310| 14.924| 14.820|  6.462|       |  6.490|  6.436
Fe1|6593.87|30.001| 6.504| 0.030| 29.000| 29.810| 28.395| 31.490|  6.465|  6.444|  6.440|  6.461
Fe1|6609.11|15.832| 6.509| 0.030| 14.500| 16.810| 15.422| 16.490|  6.457|       |  6.480|  6.574
Fe1|5653.87| 8.089| 6.418|      |       |       |  4.518| 11.190|       |       |  6.500|  6.518
Fe1|5883.82|15.645| 6.402| 0.020| 15.700| 15.210| 16.158| 16.260|  6.417|       |  6.420|
Fe1|5905.67|12.149| 6.429| 0.030| 13.000| 12.710| 12.913| 11.160|  6.397|       |  6.380|  6.428
Fe1|5930.18|32.202| 6.463| 0.030| 31.500| 32.110| 31.869| 34.360|  6.431|  6.410|  6.430|  6.446
Fe1|6003.01|25.507| 6.497| 0.020| 25.400| 25.510| 25.542| 26.560|  6.467|  6.431|  6.440|  6.515
Fe1|6079.01| 8.350| 6.523|      |  7.800|       |  8.212|  9.390|  6.473|       |  6.490|  6.529
Fe1|6096.66| 7.343| 6.464|      |  5.500|       |  5.543|  9.650|  6.495|       |  6.490|  6.584
Fe1|6165.36| 8.169| 6.476|      |  7.300|       |  8.413|  9.550|  6.422|       |  6.480|  6.491
Fe1|6187.99| 9.207| 6.549|      |  8.300|       |  9.642| 10.140|  6.436|       |  6.500|  6.493
Fe1|6496.47|22.553| 6.515|      | 19.400|       | 19.369| 24.980|  6.562|       |  6.560|  6.525
Fe1|6597.56| 8.664| 6.345|      |  7.100|       |  7.705| 10.500|  6.495|       |  6.530|  6.519
Fe1|6246.32|50.974| 6.343| 0.030| 50.400| 51.210| 52.491| 50.650|  6.334|  6.312|  6.350|  6.383
Fe1|6270.22| 9.384| 6.352|      |  9.400|       |  9.240|  9.500|  6.319|       |  6.290|  6.419
Fe1|6336.82|43.004| 6.354| 0.030| 42.500| 43.210| 44.168| 42.160|  6.346|  6.320|  6.360|  6.383
Fe1|6301.50|53.042| 6.354| 0.030| 52.100| 53.210| 53.400| 53.500|  6.345|  6.329|  6.360|  6.381
Fe1|5060.08| 8.940| 6.393| 0.040|  9.800| 10.810|  4.006| 12.100|  6.609|       |  6.160|  6.292
Fe1|5445.04|53.613| 6.509| 0.040| 51.000| 52.810| 55.520| 54.420|  6.353|  6.345|  6.430|  6.446
Fe2|4993.36|10.493| 6.414|      | 10.800| 10.310| 11.459| 10.680|  6.416|       |  6.430|  6.395
Fe2|5264.81|16.825| 6.407|      | 14.300| 16.610| 16.936| 19.570|  6.391|       |  6.470|  6.361
Fe2|5316.78|31.319| 6.411|      | 31.900| 31.910| 28.934|  0.000|  6.475|  6.415|  6.390|  6.365
Fe2|5414.07| 6.995| 6.401|      |       |       |  6.902|  8.340|       |       |  6.450|  6.353
Fe2|5425.26|13.073| 6.405|      |       | 12.310| 14.013| 13.500|       |       |  6.420|  6.391
Fe2|5534.85|25.358| 6.429|      |       | 25.010| 25.872| 24.690|       |  6.390|  6.460|  6.437
Fe2|6456.38|30.524| 6.460|      | 29.800| 31.110| 29.988| 30.780|  6.477|  6.456|  6.470|  6.436
Fe2|6432.68|13.082| 6.389|      | 12.900| 12.410| 12.784| 14.330|  6.413|       |  6.390|  6.365

