#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:53:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbdaf6ea7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea10}&key:source=J/A+A/592/A70/tablea10&HTTPPRM:&
#-source=J/A+A/592/A70/tablea10
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea10:
#Name: J/A+A/592/A70/tablea10
#Title: HD 298986 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5253.46|10.333| 6.075| 0.050| 10.200| 10.210| 10.486| 10.570|  6.046|       |  6.060|  6.120
Fe1|5322.04| 5.599| 5.993|      |       |       |  4.534|  6.720|       |       |  5.970|  6.017
Fe1|5373.71| 6.940| 6.102|      |  6.400|       |  7.259|  7.840|  6.078|       |  6.080|  6.149
Fe1|5379.57| 5.881| 6.133|      |  5.700|       |  6.962|  5.760|  6.082|       |  6.170|  6.148
Fe1|5389.48|15.819| 6.127| 0.050| 15.500| 15.110| 15.972| 16.340|  6.109|       |  6.120|  6.151
Fe1|5398.28|10.803| 6.135| 0.050|  9.600| 10.510|       | 12.000|  6.116|       |       |  6.155
Fe1|5466.40|12.733| 6.202| 0.050| 11.900| 12.710| 13.436| 13.330|  6.153|       |  6.210|  6.242
Fe1|5473.90|11.966| 6.109| 0.050| 11.800| 11.610| 12.094| 11.780|  6.116|       |  6.050|  6.161
Fe1|5506.78|52.471| 6.196|      | 51.300| 53.110| 50.730| 52.560|  6.185|  6.202|  6.170|  6.228
Fe1|5543.94| 6.445| 6.134|      |  5.900|       |  7.274|  7.150|  6.088|       |  6.180|  6.135
Fe1|5546.51| 5.569| 6.261|      |       |       |  4.351|  6.190|       |       |  6.250|  6.272
Fe1|5560.21| 6.063| 6.285|      |       |       |  5.104|  6.450|       |       |  6.260|  6.311
Fe1|5576.09|29.803| 6.076| 0.050| 28.800| 29.410| 30.124| 29.160|  6.056|  6.049|  6.080|  6.120
Fe1|5633.95| 7.292| 6.143|      |       |       |  8.476|  7.170|       |       |  6.130|  6.156
Fe1|5638.26|11.076| 6.108| 0.050| 10.600| 11.010| 11.290| 11.010|  6.097|       |  6.070|  6.158
Fe1|5662.52|19.468| 6.124| 0.050| 17.900| 18.610| 19.005| 21.380|  6.131|       |  6.030|  6.212
Fe1|5701.54|13.713| 6.100| 0.050| 12.400| 12.710|       | 15.330|  6.088|       |       |  6.112
Fe1|5705.46| 6.700| 6.276|      |       |       |       |  6.700|       |       |       |  6.104
Fe1|5731.76| 5.908| 6.146|      |  5.400|       |  5.876|  5.330|  6.236|       |  6.270|  6.322
Fe1|6065.48|38.753| 6.205| 0.050| 40.000| 40.210| 37.101| 38.600|  6.165|  6.153|  6.100|  6.165
Fe1|6173.33| 8.922| 6.200|      |  7.400|       |  7.714| 10.470|  6.194|       |  6.210|  6.211
Fe1|6200.31| 8.295| 6.180|      |  8.700|       |  8.967|  8.180|  6.179|       |  6.190|  6.232
Fe1|6219.28|17.991| 6.180| 0.050| 18.900| 18.410| 17.836| 17.620|  6.196|       |  6.160|  6.183
Fe1|6252.56|42.417| 6.170| 0.060|       | 43.710| 40.784| 41.790|       |  6.198|  6.150|  6.193
Fe1|6297.79|26.286| 6.186|      |       |       | 24.920| 27.430|       |  6.772|  6.700|  6.819
Fe1|6322.69| 8.361| 6.077|      |  9.200|       |  9.314|  7.600|  6.179|       |  6.180|  6.199
Fe1|6335.33|23.279| 6.164| 0.050| 24.800| 24.610| 23.347| 20.620|  6.093|  6.070|  6.050|  6.095
Fe1|6430.85|37.632| 6.170| 0.050| 37.500| 36.910| 36.014| 39.720|  6.176|  6.149|  6.140|  6.190
Fe1|6593.87|13.877| 6.320| 0.050| 13.600| 14.110| 13.176| 13.470|  6.210|       |  6.190|  6.111
Fe1|5883.82|14.120| 6.204|      | 10.800|       |  9.591| 17.960|  6.351|       |  6.290|
Fe1|5930.18|18.050| 6.122| 0.060| 18.600| 17.610| 17.640| 19.670|  6.223|       |  6.190|  6.199
Fe1|6165.36| 6.463| 6.133|      |  5.200|       |  4.730|  8.860|  6.378|       |  6.330|  6.412
Fe1|6496.47| 6.795| 5.981|      |  7.000|       |  7.739|  7.250|  6.148|       |  6.190|  6.062
Fe1|5215.18|33.642| 6.069| 0.050| 32.900| 34.610| 32.233| 34.100|  5.979|  5.994|  5.950|  6.000
Fe1|6246.32|29.513| 6.069| 0.050| 29.800| 30.310| 27.690| 30.650|  6.090|  6.086|  6.030|  6.071
Fe1|6336.82|21.878| 6.048| 0.050| 23.100| 23.010| 21.771| 19.840|  6.085|  6.065|  6.040|  6.088
Fe1|6301.50|47.860| 6.169|      | 45.700|       |       | 47.860|  6.380|       |       |  6.375
Fe1|4994.13|39.337| 5.997| 0.060| 40.200| 40.510| 37.613| 38.560|  6.186|  6.166|  6.130|  6.195
Fe1|5302.30|41.047| 6.007| 0.050| 40.300| 41.310| 40.327| 41.280|  5.985|  5.987|  6.000|  6.017
Fe1|5367.47|44.973| 5.978|      | 43.000| 44.910|       | 46.000|  5.882|  5.906|       |  5.935
Fe1|5569.62|46.406| 6.157| 0.060| 45.200| 45.810| 46.313| 46.080|  5.951|  5.949|  6.000|  6.014
Fe1|6494.98|63.001| 5.966| 0.060| 64.300| 62.710| 62.647| 61.070|  6.176|  6.142|  6.140|  6.170
Fe1|5001.86|47.096| 6.156| 0.060| 47.000| 48.510| 45.755| 46.840|  5.967|  5.976|  5.940|  5.981
Fe1|5083.34|42.943| 6.126| 0.060| 43.300| 44.410| 41.264| 42.100|  6.164|  6.161|  6.120|  6.178
Fe2|4993.36| 6.679| 6.153|      |  6.900|       |  7.676|  6.700|  6.140|       |  6.180|  6.139
Fe2|5264.81|11.063| 6.151|      |  9.900| 11.410| 11.146| 12.350|  6.132|       |  6.180|  6.140
Fe2|5316.78|23.645| 6.150|      | 22.900| 23.110| 21.113|  0.000|  6.179|  6.161|  6.120|  6.142
Fe2|5534.85|19.172| 6.215|      |       | 19.110| 19.030| 18.880|       |       |  6.200|  6.230
Fe2|6456.38|23.352| 6.216|      | 23.600| 23.810| 23.070| 22.750|  6.226|  6.215|  6.200|  6.222
Fe2|6432.68| 9.347| 6.089|      |  7.500|       |  7.833| 13.400|  6.082|       |  6.090|  6.095

