#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:21:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61400726e432b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea4}&key:source=J/A+A/592/A70/tablea4&HTTPPRM:&
#-source=J/A+A/592/A70/tablea4
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea4:
#Name: J/A+A/592/A70/tablea4
#Title: HD 126681 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5473.90|29.545| 6.318| 0.010| 28.000| 29.010| 30.897| 29.150|  6.298|  6.288|  6.270|  6.417
Fe1|5522.45| 7.219| 6.411|      |       |       |  8.327|  7.230|       |       |  6.380|  6.442
Fe1|5543.94|15.243| 6.317| 0.010| 14.700| 14.910| 16.906| 14.680|  6.259|       |  6.320|  6.373
Fe1|5546.51|10.371| 6.429|      |  9.600|       | 10.875|  9.950|  6.368|       |  6.430|  6.489
Fe1|5560.21|11.150| 6.400| 0.010|  9.800| 10.910| 11.845| 12.000|  6.318|       |  6.410|  6.472
Fe1|5618.63|10.349| 6.325|      |  9.100|       | 11.702| 10.920|  6.247|       |  6.340|  6.388
Fe1|5633.95|16.665| 6.339| 0.010|       | 16.110| 18.380| 16.180|       |       |  6.310|  6.369
Fe1|5638.26|26.358| 6.298| 0.010| 25.100| 26.110| 27.606| 25.330|  6.273|  6.266|  6.260|  6.393
Fe1|5662.52|41.751| 6.320| 0.010| 38.700| 39.910| 43.895| 43.050|  6.300|  6.287|  6.240|  6.453
Fe1|5679.02|12.953| 6.422| 0.010| 12.100| 12.510| 13.813| 12.580|  6.355|       |  6.420|  6.490
Fe1|5701.54|37.796| 6.331| 0.020| 36.400| 37.310| 38.066| 37.570|  6.300|  6.287|  6.320|  6.417
Fe1|5705.46| 6.517| 6.267|      |  5.100|       |  7.765|  7.630|  6.144|       |  6.330|  6.326
Fe1|5731.76|13.228| 6.423| 0.010| 12.400| 13.110| 13.884| 12.920|  6.364|       |  6.420|  6.486
Fe1|5927.79| 8.167| 6.343|      |  8.600|       |  8.301|  9.860|  6.355|       |  6.330|  6.344
Fe1|6136.99|24.396| 6.405| 0.010| 25.000| 24.510| 22.530| 25.360|  6.430|  6.389|  6.360|  6.440
Fe1|6151.62|13.653| 6.450| 0.010| 14.100| 13.910| 13.494| 13.110|  6.435|       |  6.410|  6.506
Fe1|6173.33|25.587| 6.400| 0.010| 25.800| 25.010| 25.145| 26.310|  6.402|  6.355|  6.380|  6.463
Fe1|6200.31|28.527| 6.407| 0.010| 28.800| 28.610| 27.820| 28.780|  6.408|  6.374|  6.380|  6.465
Fe1|6219.28|48.934| 6.413| 0.020| 50.900| 49.710| 48.158| 46.470|  6.426|  6.378|  6.370|  6.478
Fe1|6265.13|43.341| 6.402| 0.020| 44.500| 43.910| 43.151| 41.250|  6.401|  6.364|  6.370|  6.472
Fe1|6297.79|32.108| 6.401| 0.010| 32.300| 32.210| 31.414| 31.880|  6.395|  6.366|  6.370|  6.473
Fe1|6322.69|29.708| 6.401| 0.010| 30.400| 29.510| 28.793| 29.450|  6.412|  6.364|  6.370|  6.459
Fe1|6335.33|56.415| 6.295| 0.020| 57.800| 56.810| 58.269| 52.390|  6.288|  6.246|  6.280|  6.368
Fe1|6481.87|20.643| 6.439| 0.010| 21.300| 21.710| 20.672| 18.140|  6.429|  6.412|  6.410|  6.507
Fe1|6593.87|40.697| 6.427| 0.010| 40.300| 40.410| 39.388| 41.070|  6.428|  6.402|  6.410|  6.470
Fe1|6609.11|19.476| 6.404| 0.010| 20.400| 19.910| 19.544| 17.420|  6.391|       |  6.360|  6.462
Fe1|6703.57| 7.716| 6.463|      |  7.300|       |  7.148|  7.720|  6.440|       |  6.430|  6.519
Fe1|5653.87| 6.586| 6.475|      |  5.000|       |  5.544|  7.510|  6.405|       |  6.460|  6.560
Fe1|5883.82|18.104| 6.302| 0.010| 17.600| 16.610| 18.626| 20.580|  6.295|       |  6.310|
Fe1|5905.67|14.255| 6.372| 0.010| 15.600| 14.610| 16.034| 12.220|  6.344|       |  6.350|  6.423
Fe1|5930.18|37.369| 6.379| 0.010| 38.000| 36.310| 38.075| 36.860|  6.378|  6.315|  6.370|  6.454
Fe1|6003.01|30.778| 6.364| 0.010| 30.000| 29.810| 30.294| 33.020|  6.366|  6.328|  6.340|  6.421
Fe1|6079.01| 9.237| 6.422|      |  8.800|       |  9.335|  9.370|  6.390|       |  6.420|  6.457
Fe1|6165.36|10.058| 6.412|      |  9.700|       |  9.646| 10.690|  6.396|       |  6.390|  6.449
Fe1|6187.99| 9.969| 6.320|      |  8.400|       |  9.463| 13.380|  6.265|       |  6.310|  6.384
Fe1|6315.81|11.031| 6.447|      | 10.100|       |  8.406| 14.080|  6.479|       |  6.410|  6.451
Fe1|6496.47|14.444| 6.272| 0.010| 14.600| 13.210| 16.402| 13.920|  6.271|       |  6.320|  6.224
Fe1|6597.56| 9.937| 6.413|      |  7.500|       |  8.145| 11.100|  6.387|       |  6.430|  6.423
Fe1|6336.82|51.642| 6.273| 0.010| 51.600| 50.610| 56.323| 47.470|  6.249|  6.189|  6.290|  6.363
Fe1|5060.08|15.339| 6.339| 0.020| 16.400| 17.610|  9.695| 18.200|  6.496|       |  6.200|  6.320
Fe1|5653.86| 6.586| 6.475|      |  5.000|       |  5.544|  7.510|  6.405|       |  6.460|  6.560
Fe2|4993.36| 7.583| 6.399|      |  7.900|       |  7.960|  7.920|  6.425|       |  6.400|  6.372
Fe2|5264.81|10.378| 6.338|      |  8.800| 10.410| 10.635| 11.800|  6.323|       |  6.390|  6.302
Fe2|5316.78|34.985| 6.302|      |       | 23.910|       | 46.060|       |  6.375|       |  6.229
Fe2|5414.07| 5.925| 6.407|      |       |       |  4.434|  6.830|       |       |  6.410|  6.405
Fe2|5425.26| 8.021| 6.299|      |       |       |  8.867|  8.510|       |       |  6.350|  6.248
Fe2|5534.85|16.640| 6.361|      |       | 16.610| 17.123| 15.990|       |       |  6.380|  6.342
Fe2|6456.38|21.333| 6.396|      | 21.000| 21.010| 19.787| 23.280|  6.463|  6.377|  6.400|  6.344

