#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:18:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61400667e1eb6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea9}&key:source=J/A+A/592/A70/tablea9&HTTPPRM:&
#-source=J/A+A/592/A70/tablea9
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea9:
#Name: J/A+A/592/A70/tablea9
#Title: HD 241253 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5398.28|19.636| 6.412| 0.030| 18.600| 19.010| 20.264| 20.460|  6.384|       |  6.420|  6.431
Fe1|5417.03| 5.594| 6.550|      |       |       |  3.813|  6.760|       |       |  6.530|  6.571
Fe1|5466.40|24.363| 6.453| 0.030| 22.900| 24.210| 24.752| 25.000|  6.432|  6.428|  6.470|  6.483
Fe1|5473.90|23.925| 6.394| 0.030| 22.900| 23.410| 24.842| 23.720|  6.396|  6.370|  6.360|  6.452
Fe1|5522.45| 6.902| 6.486|      |       |       |  7.208|  6.610|       |       |  6.500|  6.473
Fe1|5543.94|13.325| 6.407| 0.030| 12.600| 12.810| 13.999| 14.030|  6.379|       |  6.420|  6.423
Fe1|5546.51| 9.066| 6.449|      |  5.800|       |  8.916|  9.850|  6.315|       |  6.510|  6.521
Fe1|5560.21| 9.787| 6.465|      |  8.000|       |  9.745| 11.430|  6.403|       |  6.490|  6.501
Fe1|5576.09|50.834| 6.377| 0.030| 48.700| 49.510| 53.264| 50.700|  6.347|  6.321|  6.420|  6.420
Fe1|5618.63| 9.227| 6.422|      |  7.800|       | 10.056| 10.320|  6.369|       |  6.460|  6.436
Fe1|5633.95|14.353| 6.372| 0.040|       | 14.310| 15.183| 13.660|       |       |  6.360|  6.384
Fe1|5638.26|21.381| 6.370| 0.030| 20.400| 21.210| 22.289| 20.770|  6.365|  6.349|  6.350|  6.418
Fe1|5662.52|34.278| 6.396| 0.030| 31.600| 32.810| 35.234| 35.900|  6.395|  6.385|  6.330|  6.474
Fe1|5679.02|11.090| 6.498| 0.030| 10.500| 10.610| 11.821| 10.640|  6.459|       |  6.510|  6.524
Fe1|5701.54|29.285| 6.433| 0.030| 27.700| 28.410| 28.928| 30.450|  6.425|  6.397|  6.440|  6.471
Fe1|5705.46| 7.432| 6.436|      |       |       |  6.887|  9.020|       |       |  6.460|  6.412
Fe1|5731.76|10.743| 6.505|      |       |       | 11.419| 10.480|       |       |  6.510|  6.499
Fe1|5956.69| 8.773| 6.584|      |  9.000|       |  8.398|  8.620|  6.592|       |  6.550|  6.609
Fe1|6136.99|16.189| 6.494| 0.030| 16.100| 15.910| 15.953| 17.290|  6.507|       |  6.490|  6.486
Fe1|6151.62|10.039| 6.549|      |  9.100|       |  9.075| 11.600|  6.541|       |  6.530|  6.575
Fe1|6173.33|15.721| 6.442| 0.030| 15.700| 15.810| 15.977| 16.170|  6.446|       |  6.440|  6.439
Fe1|6200.31|19.306| 6.470| 0.030| 19.400| 19.710| 18.907| 19.480|  6.478|       |  6.450|  6.483
Fe1|6219.28|35.982| 6.471| 0.040| 36.700| 36.810| 35.131| 35.200|  6.496|  6.459|  6.450|  6.479
Fe1|6265.13|32.688| 6.499| 0.040| 33.200| 33.310| 32.435| 31.780|  6.517|  6.479|  6.490|  6.510
Fe1|6297.79|22.254| 6.470| 0.030| 22.000| 22.910| 21.235| 22.740|  6.484|  6.464|  6.450|  6.482
Fe1|6322.69|18.852| 6.435| 0.030| 19.300| 18.910| 18.898| 18.480|  6.447|       |  6.420|  6.438
Fe1|6335.33|46.881| 6.433| 0.040| 47.300| 47.610| 46.581| 46.060|  6.448|  6.424|  6.420|  6.441
Fe1|6430.85|61.723| 6.531| 0.040| 62.500| 61.810| 61.052| 60.680|  6.552|  6.523|  6.520|  6.529
Fe1|6481.87|14.108| 6.509| 0.030| 13.500| 13.910| 14.128| 14.400|  6.506|       |  6.520|  6.501
Fe1|6593.87|29.470| 6.505| 0.030| 29.200| 29.610| 28.409| 29.580|  6.528|  6.497|  6.500|  6.495
Fe1|6609.11|13.148| 6.459| 0.030| 13.100| 13.910| 13.665| 12.270|  6.461|       |  6.470|  6.447
Fe1|5883.82|13.185| 6.347| 0.030| 12.800| 12.710| 12.881| 15.220|  6.354|       |  6.340|
Fe1|5905.67|11.356| 6.388| 0.030| 11.900| 11.710| 11.876| 10.950|  6.386|       |  6.370|  6.408
Fe1|5930.18|32.653| 6.490| 0.040| 33.300| 33.010| 32.387| 33.060|  6.504|  6.466|  6.480|  6.508
Fe1|6003.01|25.191| 6.474| 0.030| 25.100| 25.710| 24.165| 26.470|  6.504|  6.479|  6.450|  6.463
Fe1|6079.01| 8.103| 6.513|      |  7.500|       |  8.171|  8.400|  6.487|       |  6.520|  6.531
Fe1|6165.36| 7.902| 6.425|      |  6.500|       |  7.508|  9.010|  6.404|       |  6.460|  6.410
Fe1|6187.99| 7.014| 6.387|      |  6.800|       |  7.000|  8.450|  6.382|       |  6.380|  6.400
Fe1|6496.47|13.409| 6.368| 0.030| 13.200| 12.410| 13.733| 14.800|  6.392|       |  6.400|  6.311
Fe1|6246.32|49.591| 6.359| 0.040| 49.600| 50.210| 49.335| 49.280|  6.375|  6.352|  6.350|  6.361
Fe1|6270.22| 7.909| 6.295|      |  8.200|       |  7.973|  7.670|  6.305|       |  6.270|  6.311
Fe1|6336.82|39.926| 6.342| 0.030| 39.900| 40.210| 40.390| 39.240|  6.350|  6.318|  6.340|  6.361
Fe1|6301.50|49.882| 6.354| 0.040| 49.500| 50.410| 50.210| 49.610|  6.356|  6.339|  6.360|  6.363
Fe1|5060.08| 7.682| 6.336|      |  8.500|       |  3.321| 11.210|  6.624|       |  6.160|  6.225
Fe1|5445.04|50.553| 6.391| 0.040| 48.600| 49.610| 52.829| 50.340|  6.356|  6.337|  6.430|  6.440
Fe2|4993.36| 9.716| 6.337|      | 10.000|       | 10.458|  9.340|  6.347|       |  6.350|  6.313
Fe2|5264.81|15.652| 6.370|      | 14.100| 15.410| 16.282| 16.900|  6.349|       |  6.410|  6.351
Fe2|5316.78|29.961| 6.345|      | 30.600| 30.310| 28.045|  0.000|  6.408|  6.346|  6.330|  6.298
Fe2|5414.07| 6.036| 6.361|      |       |       |  6.573|  7.560|       |       |  6.390|  6.332
Fe2|5534.85|24.473| 6.364|      |       | 24.010| 25.067| 24.660|       |  6.334|  6.400|  6.359
Fe2|6456.38|28.395| 6.356|      | 27.800| 28.810| 27.366| 28.410|  6.387|  6.365|  6.360|  6.312
Fe2|5991.38| 7.539| 6.424|      |  6.900|       |  7.847|  9.280|  6.413|       |  6.460|  6.398

