#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:17:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6140063de1898	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea8}&key:source=J/A+A/592/A70/tablea8&HTTPPRM:&
#-source=J/A+A/592/A70/tablea8
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea8:
#Name: J/A+A/592/A70/tablea8
#Title: HD 218857 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5466.40|14.074| 5.537| 0.060| 12.600| 13.210| 13.901| 15.450|  5.602|       |  5.650|  5.652
Fe1|5473.90|13.336| 5.607| 0.060| 12.500| 13.010| 13.961| 13.750|  5.525|       |  5.500|  5.585
Fe1|5543.94| 7.387| 5.661|      |  7.000|       |  8.190|  7.950|  5.560|       |  5.630|  5.631
Fe1|5560.21| 5.710| 5.525|      |       |       |  4.739|  7.410|       |       |  5.660|  5.662
Fe1|5576.09|40.212| 5.630| 0.070| 38.900| 38.310| 41.031| 41.180|  5.507|  5.481|  5.540|  5.573
Fe1|5619.60| 5.698| 5.576|      |       |       |  2.255|  8.490|       |       |  5.790|  5.951
Fe1|5633.95| 5.731| 5.533|      |       |       |  7.349|  5.090|       |       |  5.590|  5.563
Fe1|5638.26|11.480| 5.545| 0.060| 11.300| 11.410| 12.285| 10.860|  5.519|       |  5.500|  5.581
Fe1|5662.52|21.066| 5.578| 0.070| 19.100| 18.810| 21.256| 24.190|  5.548|       |  5.470|  5.618
Fe1|5701.54|26.434| 5.700| 0.080| 25.400| 25.010| 26.892| 27.150|  5.564|  5.535|  5.590|  5.623
Fe1|5731.76| 6.739| 5.741|      |  5.700|       |  6.103|  7.070|  5.658|       |  5.690|  5.751
Fe1|5956.69|14.232| 5.658| 0.080| 14.700| 13.510| 12.697| 15.260|  5.765|       |  5.690|  5.769
Fe1|6136.99|16.514| 5.653| 0.070| 16.600| 15.910| 16.070| 18.030|  5.662|       |  5.640|  5.673
Fe1|6151.62| 7.876| 5.741|      |  8.400|       |  8.433|  7.650|  5.643|       |  5.640|  5.675
Fe1|6173.33|21.851| 5.611| 0.070| 21.700| 20.210| 20.020| 24.770|  5.763|  5.704|  5.720|  5.778
Fe1|6200.31|16.798| 5.670| 0.070| 17.100| 16.510| 16.634| 17.620|  5.613|       |  5.590|  5.630
Fe1|6219.28|39.738| 5.676| 0.080| 41.700| 39.610| 38.276| 38.660|  5.708|  5.653|  5.640|  5.678
Fe1|6265.13|34.929| 5.694| 0.080| 36.300| 34.610| 34.041| 34.270|  5.697|  5.647|  5.650|  5.712
Fe1|6297.79|25.367| 5.682| 0.070| 26.100| 24.710| 24.404| 26.000|  5.721|  5.669|  5.680|  5.707
Fe1|6322.69|21.406| 5.574| 0.070| 20.900| 17.410| 19.887| 25.940|  5.689|       |  5.660|  5.698
Fe1|6335.33|48.228| 5.661| 0.080| 49.900| 47.810| 48.305| 46.700|  5.597|  5.547|  5.560|  5.591
Fe1|6481.87|12.943| 5.662| 0.070| 13.200| 12.810| 13.342| 12.340|  5.648|       |  5.650|  5.684
Fe1|6593.87|27.934| 5.643| 0.070| 28.300| 27.310| 27.021| 28.240|  5.672|  5.633|  5.640|  5.702
Fe1|6609.11|12.284| 5.644| 0.070| 12.500| 12.010| 12.960| 11.980|  5.635|       |  5.650|  5.643
Fe1|5883.82|10.915| 5.603|      |  9.800|       |  9.706| 14.220|  5.648|       |  5.640|
Fe1|5930.18|15.819| 5.674| 0.080| 16.000| 15.010| 15.585| 17.350|  5.610|       |  5.590|  5.610
Fe1|6003.01|17.439| 5.661| 0.060| 16.700| 15.610| 16.198| 21.840|  5.688|       |  5.650|  5.684
Fe1|6496.47| 7.878| 5.430|      |       |       |  7.518|  8.930|       |       |  5.670|  5.652
Fe1|5215.18|45.157| 5.479| 0.070| 45.000| 44.210| 45.578| 45.170|  5.432|  5.404|  5.420|  5.465
Fe1|6246.32|36.451| 5.579| 0.070| 37.100| 35.610| 35.473| 37.180|  5.511|  5.470|  5.460|  5.474
Fe1|6270.22| 7.451| 5.450|      |  7.600|       |  9.160|  6.810|  5.518|       |  5.600|  5.619
Fe1|6336.82|26.045| 5.653| 0.070| 26.800| 25.610| 26.574| 24.600|  5.462|  5.420|  5.440|  5.480
Fe1|6301.50|50.710| 5.720|      | 47.700|       |       | 50.710|  5.698|       |       |  5.609
Fe1|5060.08|17.389| 5.441| 0.100| 17.700| 18.710| 13.892| 19.930|  5.791|       |  5.660|  5.710
Fe1|5415.20|53.615| 5.563|      | 51.100| 52.210| 54.080| 54.830|  5.240|  5.256|  5.280|  5.277
Fe2|4993.36| 9.215| 5.606|      |  9.500|       | 10.280|  8.830|  5.594|       |  5.640|  5.584
Fe2|5264.81|13.662| 5.662|      | 12.800| 12.810| 14.031| 14.640|  5.632|       |  5.690|  5.663
Fe2|5316.78|26.874| 5.604|      |       | 29.110| 24.153|  0.000|       |  5.684|  5.580|  5.548
Fe2|5414.07| 5.861| 5.617|      |       |       |  5.286|  7.220|       |       |  5.650|  5.585
Fe2|5425.26|10.813| 5.604|      |       | 10.510| 11.389| 11.910|       |       |  5.630|  5.579
Fe2|5534.85|22.788| 5.681|      |       | 21.710| 22.962| 22.640|       |  5.649|  5.700|  5.693
Fe2|6456.38|27.307| 5.746|      | 27.000| 25.910| 24.358| 30.490|  5.786|  5.759|  5.740|  5.699
Fe2|6432.68|15.242| 5.703|      | 14.800| 13.410| 13.626| 18.230|  5.727|       |  5.700|  5.683

