#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:51:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbd3d51ac	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea5}&key:source=J/A+A/592/A70/tablea5&HTTPPRM:&
#-source=J/A+A/592/A70/tablea5
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea5:
#Name: J/A+A/592/A70/tablea5
#Title: HD 175305 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
Fe1|5543.94|21.688| 6.192| 0.040| 20.200| 20.610| 22.493| 22.960|  6.023|  6.020|  6.080|  6.174
Fe1|5546.51|13.940| 6.154| 0.040| 12.600| 13.310| 13.966| 15.320|  6.112|       |  6.170|  6.294
Fe1|5560.21|14.352| 6.030| 0.040| 13.000| 13.310| 14.859| 15.580|  6.077|       |  6.150|  6.235
Fe1|5619.60| 6.740| 6.070|      |       |       |  6.065|  8.430|       |       |  6.170|  6.272
Fe1|5633.95|19.150| 6.028| 0.060|       | 18.010| 19.946| 20.260|       |       |  6.040|  6.100
Fe1|5638.26|32.656| 6.060| 0.040| 29.000| 31.210| 34.359| 33.350|  5.965|  6.003|  6.020|  6.123
Fe1|5679.02|17.792| 6.055|      | 16.500| 16.710| 17.646| 19.390|  6.162|       |  6.210|  6.298
Fe1|5705.46| 6.792| 6.144|      |  5.600|       |  7.473|  6.980|  5.785|       |  5.900|  6.020
Fe1|5731.76|16.921| 6.158| 0.040| 15.700| 16.110| 17.699| 17.210|  6.081|       |  6.150|  6.202
Fe1|5741.85| 6.045| 6.069|      |  5.500|       |       |  6.090|  6.042|       |       |  6.274
Fe1|5927.79| 9.524| 6.189|      |  9.800|       |  9.541| 10.510|  6.060|       |  6.040|  6.108
Fe1|5956.69|38.569| 6.130| 0.060| 39.000| 38.710| 38.052| 39.750|  6.180|  6.157|  6.170|  6.250
Fe1|6136.99|42.154| 6.117| 0.050| 42.400| 41.610| 41.945| 43.150|  6.117|  6.092|  6.110|  6.203
Fe1|6151.62|25.304| 6.123| 0.050| 25.100| 24.510| 26.035| 25.950|  6.089|  6.059|  6.110|  6.210
Fe1|6173.33|43.624| 6.095| 0.060| 44.000| 43.310| 44.324| 43.580|  6.102|  6.079|  6.110|  6.202
Fe1|6200.31|43.002| 6.119| 0.050| 43.000| 41.810| 43.340| 44.150|  6.076|  6.042|  6.080|  6.184
Fe1|6297.79|51.683| 6.212| 0.060| 52.100| 50.810| 53.123| 51.330|  6.097|  6.068|  6.120|  6.190
Fe1|6322.69|50.923| 6.129|      | 51.000| 50.310| 51.287| 51.940|  6.187|  6.166|  6.210|  6.284
Fe1|6481.87|36.016| 6.125| 0.050| 35.500| 34.710| 36.844| 36.660|  6.091|  6.063|  6.120|  6.244
Fe1|6593.87|57.914| 6.113| 0.060| 57.200| 55.710| 59.608| 58.640|  6.095|  6.062|  6.150|  6.194
Fe1|6609.11|34.468| 6.141| 0.050| 33.300| 33.410| 35.172| 35.720|  6.071|  6.062|  6.110|  6.209
Fe1|5653.87| 7.769| 6.046|      |  6.200|       |  7.311|  8.750|  6.113|       |  6.200|  6.350
Fe1|5883.82|24.050| 6.056| 0.040| 24.600| 23.810| 24.993| 24.030|  6.055|  6.023|  6.060|
Fe1|5905.67|16.546| 6.089| 0.040| 16.600| 16.010| 17.202| 17.300|  6.028|       |  6.040|  6.100
Fe1|5930.18|37.778| 6.122| 0.060| 38.100| 37.310| 38.815| 38.210|  6.074|  6.052|  6.090|  6.142
Fe1|6003.01|37.464| 6.149| 0.040| 37.800| 36.610| 38.601| 38.020|  6.103|  6.070|  6.100|  6.213
Fe1|6079.01|10.725| 6.129|      | 10.100|       | 10.885| 11.560|  6.100|       |  6.140|  6.207
Fe1|6096.66| 9.291| 6.116|      |  8.600|       |  8.832| 10.880|  6.097|       |  6.110|  6.180
Fe1|6165.36|12.298| 6.046| 0.050| 11.800| 11.610| 13.278| 12.820|  6.069|       |  6.130|  6.150
Fe1|6187.99|13.608| 6.083| 0.040| 11.500| 11.310| 13.428| 16.430|  5.979|       |  6.050|  6.110
Fe1|6315.81|11.337| 6.032|      | 10.000|       | 10.970| 13.020|  6.044|       |  6.110|  6.095
Fe1|6496.47|18.326| 6.171| 0.050| 17.200| 16.910| 18.199| 20.900|  6.025|       |  6.050|  6.020
Fe1|6597.56|10.281| 5.988|      |  9.000|       |  9.726| 11.590|  6.134|       |  6.180|  6.199
Fe1|6270.22|23.050| 6.009|      | 22.100| 22.310| 23.630| 24.530|  5.956|  5.947|  5.980|  6.068
Fe1|6336.82|59.022| 6.123| 0.050| 58.500| 57.510| 61.670| 58.880|  5.977|  5.960|  6.030|  6.070
Fe2|4993.36|22.222| 6.039|      | 21.300| 21.610| 22.516| 24.370|  6.033|  6.032|  6.080|  6.011
Fe2|5264.81|27.949| 6.081|      | 25.800| 26.910| 29.310| 29.710|  6.044|  6.063|  6.150|  6.067
Fe2|5316.78|45.946| 6.030|      | 47.700| 46.810| 42.347|  0.000|  6.103|  6.090|  6.010|  5.916
Fe2|5414.07|12.509| 6.057|      | 10.900| 11.210| 13.133| 14.570|  6.007|       |  6.120|  6.044
Fe2|5425.26|22.753| 6.013|      |       | 21.310| 24.170| 23.710|       |  5.973|  6.070|  5.997
Fe2|5534.85|39.326| 6.072|      |       | 38.110| 39.560| 40.980|       |  6.056|  6.110|  6.049
Fe2|6456.38|41.028| 6.130|      | 40.000| 39.910| 42.377| 42.560|  6.114|  6.119|  6.200|  6.086
Fe2|5991.38|14.518| 6.114|      | 13.800| 14.110| 14.434| 16.270|  6.102|       |  6.150|  6.089

