#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-12T19:35:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6165e31607b0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/645/613/table1
#-nav=cat:J/ApJ/645/613&tab:{J/ApJ/645/613/table1}&key:source=J/ApJ/645/613/table1&HTTPPRM:&&-ref=VIZ6165e31607b0&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=El&-out=Abd&-out=Z&Z=26&-out=Ion&-out=Wave&-out=f_Wave&-out=ExtPot&-out=log(gf)&-out=EW&-out=f_EW&-out=l_log(e)&-out=log(e)&-out=l_[X/Fe]&-out=[X/Fe]&-out=Note&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/645/613/table1
#-source=J/ApJ/645/613/table1
#-out=El
#-out=Abd
#-out=Z
#Z=26
#-out=Ion
#-out=Wave
#-out=f_Wave
#-out=ExtPot
#-out=log(gf)
#-out=EW
#-out=f_EW
#-out=l_log(e)
#-out=log(e)
#-out=l_[X/Fe]
#-out=[X/Fe]
#-out=Note
#

#RESOURCE=yCat_16450613
#Name: J/ApJ/645/613
#Title: Abundances of HD 221170 (Ivans+, 2006)
#Table	J_ApJ_645_613_table1:
#Name: J/ApJ/645/613/table1
#Title: Abundances derived from individual features
#Column	El	(A2)	Element	[ucd=phys.atmol.element]
#Column	Abd	(F5.2)	Adopted Solar Abundance for El (H=12)	[ucd=meta.note]
#Column	Z	(I2)	Atomic number of El	[ucd=phys.atmol.number]
#Column	Ion	(A2)	Ionization State	[ucd=phys]
#Column	Wave	(F7.2)	? Wavelength in Angstroms	[ucd=em.wl]
#Column	f_Wave	(A2)	Flag on Wavelength (1)	[ucd=meta.code]
#Column	ExtPot	(F5.2)	? Excitation Potential	[ucd=phys.atmol.excitation]
#Column	log(gf)	(F7.3)	? Log of the Oscillator Strength	[ucd=phys.atmol.oscStrength]
#Column	EW	(F5.1)	? Equivalent Width in m{AA}	[ucd=spect.line.eqWidth]
#Column	f_EW	(A3)	[syn ] EW derived from synthetic spectrum (2)	[ucd=meta.code]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error]
#Column	log(e)	(F6.2)	? Log {epsilon} abundance (H=12)	[ucd=phys.abund]
#Column	l_[X/Fe]	(A1)	Limit flag on [X/Fe]	[ucd=meta.code.error;phys.abund]
#Column	[X/Fe]	(F6.2)	? [X/Fe] abundance (3)	[ucd=phys.abund]
#Column	Note	(a8)	Additional note (4)	[ucd=meta.note]
El|Abd|Z|Ion|Wave|f_Wave|ExtPot|log(gf)|EW|f_EW|l_log(e)|log(e)|l_[X/Fe]|[X/Fe]|Note
Fe| 7.52|26|I |5014.94|  | 3.94| -0.303| 50.1|   | |  5.27| | -2.25|
Fe| 7.52|26|I |5049.83|  | 2.28| -1.355|105.2|   | |  5.36| | -2.16|
Fe| 7.52|26|I |5051.64|  | 0.92| -2.764|127.0|   | |  5.38| | -2.14|
Fe| 7.52|26|I |5068.77|  | 2.94| -1.041| 76.1|   | |  5.24| | -2.28|
Fe| 7.52|26|I |5074.75|  | 4.22| -0.160| 49.7|   | |  5.45| | -2.07|
Fe| 7.52|26|I |5079.74|  | 0.99| -3.245|108.5|   | |  5.58| | -1.94|
Fe| 7.52|26|I |5083.35|  | 0.96| -2.842|115.8|   | |  5.28| | -2.24|
Fe| 7.52|26|I |5110.44|  | 0.00| -3.758|142.9|   | |  5.36| | -2.16|
Fe| 7.52|26|I |5125.12|  | 4.22| -0.080| 52.6|   | |  5.42| | -2.10|
Fe| 7.52|26|I |5127.37|  | 0.92| -3.249|104.3|   | |  5.39| | -2.13|
Fe| 7.52|26|I |5131.48|  | 2.22| -2.515| 58.9|   | |  5.46| | -2.06|
Fe| 7.52|26|I |5133.69|  | 4.18|  0.200| 67.1|   | |  5.36| | -2.16|
Fe| 7.52|26|I |5141.74|  | 2.42| -2.238| 55.1|   | |  5.37| | -2.15|
Fe| 7.52|26|I |5145.09|  | 2.20| -2.876| 22.9|   | |  5.11| | -2.41|
Fe| 7.52|26|I |5150.85|  | 0.99| -3.037|108.3|   | |  5.34| | -2.18|
Fe| 7.52|26|I |5151.92|  | 1.01| -3.321| 97.5|   | |  5.43| | -2.09|
Fe| 7.52|26|I |5162.28|  | 4.18|  0.020| 58.4|   | |  5.37| | -2.15|
Fe| 7.52|26|I |5166.28|  | 0.00| -4.123|122.8|   | |  5.32| | -2.20|
Fe| 7.52|26|I |5171.61|  | 1.49| -1.721|133.2|   | |  5.19| | -2.33|
Fe| 7.52|26|I |5191.47|  | 3.04| -0.551|109.5|   | |  5.57| | -1.95|
Fe| 7.52|26|I |5192.35|  | 3.00| -0.421|103.5|   | |  5.27| | -2.25|
Fe| 7.52|26|I |5194.95|  | 1.56| -2.021|115.9|   | |  5.24| | -2.28|
Fe| 7.52|26|I |5198.71|  | 2.22| -2.091| 76.2|   | |  5.35| | -2.17|
Fe| 7.52|26|I |5202.34|  | 2.18| -1.871|101.1|   | |  5.60| | -1.92|
Fe| 7.52|26|I |5216.28|  | 1.61| -2.082|112.7|   | |  5.30| | -2.22|
Fe| 7.52|26|I |5217.40|  | 3.21| -1.162| 60.3|   | |  5.37| | -2.15|
Fe| 7.52|26|I |5225.53|  | 0.11| -4.755| 85.0|   | |  5.39| | -2.13|
Fe| 7.52|26|I |5232.95|  | 2.94| -0.057|122.9|   | |  5.22| | -2.30|
Fe| 7.52|26|I |5242.46|  | 3.63| -0.967| 46.6|   | |  5.45| | -2.07|
Fe| 7.52|26|I |5266.56|  | 3.00| -0.385|106.3|   | |  5.27| | -2.25|
Fe| 7.52|26|I |5281.80|  | 3.04| -0.833| 84.3|   | |  5.29| | -2.23|
Fe| 7.52|26|I |5283.63|  | 3.24| -0.524| 90.8|   | |  5.37| | -2.15|
Fe| 7.52|26|I |5288.52|  | 3.68| -1.508| 12.8|   | |  5.26| | -2.26|
Fe| 7.52|26|I |5302.31|  | 3.28| -0.720| 74.8|   | |  5.29| | -2.23|
Fe| 7.52|26|I |5307.37|  | 1.61| -2.912| 74.5|   | |  5.33| | -2.19|
Fe| 7.52|26|I |5324.19|  | 3.21| -0.103|106.0|   | |  5.23| | -2.29|
Fe| 7.52|26|I |5322.01|  | 2.28| -2.802| 28.0|   | |  5.23| | -2.29|
Fe| 7.52|26|I |5328.54|  | 1.56| -1.850|133.2|   | |  5.36| | -2.16|
Fe| 7.52|26|I |5332.92|  | 1.56| -2.776| 83.2|   | |  5.29| | -2.23|
Fe| 7.52|26|I |5339.94|  | 3.27| -0.720| 78.5|   | |  5.33| | -2.19|
Fe| 7.52|26|I |5364.87|  | 4.45|  0.228| 47.9|   | |  5.27| | -2.25|
Fe| 7.52|26|I |5365.40|  | 3.56| -1.020| 30.3|   | |  5.09| | -2.43|
Fe| 7.52|26|I |5367.47|  | 4.42|  0.443| 57.0|   | |  5.19| | -2.33|
Fe| 7.52|26|I |5369.97|  | 4.37|  0.536| 60.2|   | |  5.10| | -2.42|
Fe| 7.52|26|I |5371.50|  | 0.96| -1.644|179.0|   | |  5.08| | -2.44|
Fe| 7.52|26|I |5379.58|  | 3.69| -1.514| 14.0|   | |  5.32| | -2.20|
Fe| 7.52|26|I |5383.38|  | 4.31|  0.645| 70.6|   | |  5.11| | -2.41|
Fe| 7.52|26|I |5393.18|  | 3.24| -0.715| 77.6|   | |  5.26| | -2.26|
Fe| 7.52|26|I |5397.14|  | 0.92| -1.982|164.0|   | |  5.12| | -2.40|
Fe| 7.52|26|I |5405.78|  | 0.99| -1.852|162.6|   | |  5.06| | -2.46|
Fe| 7.52|26|I |5410.91|  | 4.47|  0.298| 48.8|   | |  5.25| | -2.27|
Fe| 7.52|26|I |5415.20|  | 4.39|  0.643| 65.4|   | |  5.10| | -2.42|
Fe| 7.52|26|I |5424.08|  | 4.32|  0.520| 75.4|   | |  5.33| | -2.19|
Fe| 7.52|26|I |5429.71|  | 0.96| -1.881|170.9|   | |  5.17| | -2.35|
Fe| 7.52|26|I |5434.53|  | 1.01| -2.126|150.0|   | |  5.14| | -2.38|
Fe| 7.52|26|I |5445.04|  | 4.39|  0.040| 43.3|   | |  5.29| | -2.23|
Fe| 7.52|26|I |5446.92|  | 0.99| -1.914|169.2|   | |  5.21| | -2.31|
Fe| 7.52|26|I |5501.48|  | 0.96| -3.046|117.5|   | |  5.38| | -2.14|
Fe| 7.52|26|I |5506.79|  | 0.99| -2.789|126.5|   | |  5.33| | -2.19|
Fe| 7.52|26|I |5560.21|  | 4.43| -1.040|  7.8|   | |  5.45| | -2.07|
Fe| 7.52|26|I |5569.63|  | 3.42| -0.500| 75.9|   | |  5.21| | -2.31|
Fe| 7.52|26|I |5572.85|  | 3.40| -0.275| 89.1|   | |  5.22| | -2.30|
Fe| 7.52|26|I |5576.10|  | 3.43| -0.900| 58.3|   | |  5.30| | -2.22|
Fe| 7.52|26|I |5586.77|  | 3.37| -0.144| 99.6|   | |  5.27| | -2.25|
Fe| 7.52|26|I |5615.66|  | 3.33|  0.050|109.9|   | |  5.24| | -2.28|
Fe| 7.52|26|I |5618.64|  | 4.21| -1.275|  6.0|   | |  5.28| | -2.24|
Fe| 7.52|26|I |5662.52|  | 4.18| -0.573| 31.5|   | |  5.40| | -2.12|
Fe| 7.52|26|I |5686.53|  | 4.55| -0.445| 12.6|   | |  5.22| | -2.30|
Fe| 7.52|26|I |5753.12|  | 4.26| -0.688| 17.9|   | |  5.28| | -2.24|
Fe| 7.52|26|I |5775.09|  | 4.22| -1.297|  7.7|   | |  5.42| | -2.10|
Fe| 7.52|26|I |5816.38|  | 4.55| -0.601| 10.7|   | |  5.28| | -2.24|
Fe| 7.52|26|I |6065.48|  | 2.61| -1.410| 91.0|   | |  5.30| | -2.22|
Fe| 7.52|26|I |6136.62|  | 2.45| -1.410|105.6|   | |  5.37| | -2.15|
Fe| 7.52|26|I |6137.70|  | 2.59| -1.346| 97.8|   | |  5.33| | -2.19|
Fe| 7.52|26|I |6151.62|  | 2.18| -3.371| 23.1|   | |  5.48| | -2.04|
Fe| 7.52|26|I |6191.57|  | 2.43| -1.416|104.3|   | |  5.31| | -2.21|
Fe| 7.52|26|I |6079.01|  | 4.65| -0.970|  4.7|   | |  5.37| | -2.15|
Fe| 7.52|26|I |6229.23|  | 2.84| -3.000|  8.0|   | |  5.40| | -2.12|
Fe| 7.52|26|I |6230.74|  | 2.56| -1.276|110.8|   | |  5.45| | -2.07|
Fe| 7.52|26|I |6240.66|  | 2.22| -3.173| 20.3|   | |  5.26| | -2.26|
Fe| 7.52|26|I |6246.32|  | 3.60| -0.877| 53.7|   | |  5.34| | -2.18|
Fe| 7.52|26|I |6252.56|  | 2.40| -1.767|101.0|   | |  5.55| | -1.97|
Fe| 7.52|26|I |6265.13|  | 2.18| -2.540| 68.1|   | |  5.43| | -2.09|
Fe| 7.52|26|I |6297.80|  | 2.22| -2.640| 60.7|   | |  5.46| | -2.06|
Fe| 7.52|26|I |6301.50|  | 3.65| -0.720| 67.8|   | |  5.48| | -2.04|
Fe| 7.52|26|I |6311.51|  | 2.83| -3.220|  5.7|   | |  5.45| | -2.07|
Fe| 7.52|26|I |6322.68|  | 2.59| -2.469| 49.4|   | |  5.57| | -1.95|
Fe| 7.52|26|I |6344.15|  | 2.43| -2.877| 28.5|   | |  5.41| | -2.11|
Fe| 7.52|26|I |6355.04|  | 2.84| -2.291| 26.8|   | |  5.30| | -2.22|
Fe| 7.52|26|I |6358.69|  | 0.90| -4.470| 55.7|   | |  5.50| | -2.02|
Fe| 7.52|26|I |6393.61|  | 2.43| -1.576|100.1|   | |  5.36| | -2.16|
Fe| 7.52|26|I |6400.01|  | 3.60| -0.290| 76.8|   | |  5.14| | -2.38|
Fe| 7.52|26|I |6411.65|  | 3.65| -0.717| 61.7|   | |  5.36| | -2.16|
Fe| 7.52|26|I |6419.96|  | 4.73| -0.240| 19.1|   | |  5.40| | -2.12|
Fe| 7.52|26|I |6421.36|  | 2.28| -2.014| 89.6|   | |  5.38| | -2.14|
Fe| 7.52|26|I |6430.85|  | 2.18| -1.946| 98.7|   | |  5.36| | -2.16|
Fe| 7.52|26|I |6481.87|  | 2.28| -3.010| 33.0|   | |  5.43| | -2.09|
Fe| 7.52|26|I |6494.98|  | 2.40| -1.239|118.7|   | |  5.30| | -2.22|
Fe| 7.52|26|I |6498.94|  | 0.96| -4.689| 37.0|   | |  5.48| | -2.04|
Fe| 7.52|26|I |6518.37|  | 2.83| -2.297| 19.2|   | |  5.10| | -2.42|
Fe| 7.52|26|I |6592.91|  | 2.73| -1.473| 83.3|   | |  5.30| | -2.22|
Fe| 7.52|26|I |6593.87|  | 2.44| -2.366| 54.8|   | |  5.34| | -2.18|
Fe| 7.52|26|I |6609.11|  | 2.56| -2.661| 28.8|   | |  5.34| | -2.18|
Fe| 7.52|26|I |6677.99|  | 2.69| -1.418| 95.1|   | |  5.40| | -2.12|
Fe| 7.52|26|I |6750.16|  | 2.42| -2.584| 47.1|   | |  5.40| | -2.12|
Fe| 7.52|26|I |7132.99|  | 4.08| -1.628|  6.6|   | |  5.42| | -2.10|
Fe| 7.52|26|I |7187.38|  | 4.10| -0.147| 64.6|   | |  5.35| | -2.17|
Fe| 7.52|26|I |7223.64|  | 3.02| -2.208| 23.4|   | |  5.31| | -2.21|
Fe| 7.52|26|II|4178.86|  | 2.57| -2.480| 72.3|   | |  5.23| | -2.29|
Fe| 7.52|26|II|4491.40|  | 2.84| -2.690| 53.8|   | |  5.23| | -2.29|
Fe| 7.52|26|II|4508.28|  | 2.84| -2.220| 75.1|   | |  5.23| | -2.29|
Fe| 7.52|26|II|4520.23|  | 2.84| -2.610| 66.0|   | |  5.41| | -2.11|
Fe| 7.52|26|II|4541.52|  | 2.84| -3.050| 45.4|   | |  5.40| | -2.12|
Fe| 7.52|26|II|4555.89|  | 2.82| -2.280| 76.0|   | |  5.27| | -2.25|
Fe| 7.52|26|II|4576.33|  | 2.83| -3.040| 47.2|   | |  5.41| | -2.11|
Fe| 7.52|26|II|4582.84|  | 2.83| -3.090| 35.2|   | |  5.21| | -2.31|
Fe| 7.52|26|II|4923.92|  | 2.89| -1.320|123.3|   | |  5.39| | -2.13|
Fe| 7.52|26|II|5234.62|  | 3.22| -2.050| 65.4|   | |  5.15| | -2.37|
Fe| 7.52|26|II|5284.09|  | 2.88| -3.200| 37.7|   | |  5.34| | -2.18|
Fe| 7.52|26|II|5264.80|  | 3.22| -3.190| 19.7|   | |  5.34| | -2.18|
Fe| 7.52|26|II|5275.99|  | 3.20| -1.940| 76.6|   | |  5.23| | -2.29|
Fe| 7.52|26|II|5325.56|  | 3.21| -3.200| 17.9|   | |  5.28| | -2.24|
Fe| 7.52|26|II|6149.25|  | 3.89| -2.720| 11.1|   | |  5.32| | -2.20|
Fe| 7.52|26|II|6247.56|  | 3.87| -2.520| 24.9|   | |  5.52| | -2.00|
Fe| 7.52|26|II|6416.93|  | 3.89| -2.790| 10.2|   | |  5.33| | -2.19|
Fe| 7.52|26|II|6432.68|  | 2.89| -3.710| 21.0|   | |  5.41| | -2.11|
Fe| 7.52|26|II|6516.08|  | 2.89| -3.450| 34.0|   | |  5.43| | -2.09|

