#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-11T23:07:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6164c3506d8b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/430/255/table1
#-nav=cat:J/A+A/430/255&tab:{J/A+A/430/255/table1}&key:source=J/A+A/430/255/table1&HTTPPRM:&&-ref=VIZ6164c3506d8b&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&-out=Ion&-out=EW&-out=loggf&-out=Elow&-out=logN&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/430/255/table1
#-source=J/A+A/430/255/table1
#-out=lambda
#-out=Ion
#-out=EW
#-out=loggf
#-out=Elow
#-out=logN
#

#RESOURCE=yCat_34300255
#Name: J/A+A/430/255
#Title: Abundances of HD221170 (Yushchenko+, 2005)
#Table	J_A_A_430_255_table1:
#Name: J/A+A/430/255/table1
#Title: Iron lines in the spectrum of HD 221170
#Column	lambda	(F8.3)	Wavelength	[ucd=em.wl]
#Column	Ion	(a5)	Ion	[ucd=phys.atmol.ionStage]
#Column	EW	(F5.1)	Equivalent width	[ucd=spect.line.eqWidth]
#Column	loggf	(F5.2)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	Elow	(F6.3)	Energy of lower level	[ucd=phys.energy;phys.atmol.level]
#Column	logN	(F6.3)	Abundance, in logN(H)=12 scale	[ucd=phys.abund]
lambda|Ion|EW|loggf|Elow|logN
4918.020|Fe I |  7.0|-1.36| 4.230| 5.504
4924.770|Fe I | 78.0|-2.22| 2.278| 5.572
4938.810|Fe I | 86.0|-1.08| 2.875| 5.388
4950.100|Fe I | 28.0|-1.67| 3.417| 5.522
4967.890|Fe I | 28.0|-0.62| 4.191| 5.435
4969.920|Fe I | 20.0|-0.71| 4.217| 5.359
4983.270|Fe I | 45.0|-0.16| 4.154| 5.274
4983.870|Fe I | 60.0|-0.07| 4.103| 5.408
4985.250|Fe I | 47.5|-0.49| 3.928| 5.369
4985.550|Fe I | 70.0|-1.51| 2.865| 5.460
4994.130|Fe I |122.0|-2.96| 0.915| 5.406
5001.860|Fe I | 70.0|-0.03| 3.881| 5.285
5005.710|Fe I | 66.0|-0.18| 3.883| 5.355
5006.120|Fe I |111.0|-0.77| 2.832| 5.540
5014.940|Fe I | 58.0|-0.25| 3.943| 5.343
5022.240|Fe I | 44.0|-0.53| 3.984| 5.411
5044.210|Fe I | 34.0|-2.15| 2.851| 5.406
5048.430|Fe I | 16.0|-1.26| 3.959| 5.467
5049.820|Fe I |117.0|-1.42| 2.278| 5.556
5051.630|Fe I |137.0|-2.80| 0.915| 5.564
5079.220|Fe I | 86.0|-2.07| 2.198| 5.441
5083.340|Fe I |118.0|-2.96| 0.958| 5.347
5090.770|Fe I | 29.0|-0.40| 4.256| 5.309
5097.000|Fe I | 35.0|-0.28| 4.283| 5.348
5123.720|Fe I |120.0|-3.07| 1.011| 5.559
5127.360|Fe I |112.0|-3.31| 0.915| 5.487
5137.400|Fe I | 43.0|-0.40| 4.177| 5.487
5141.740|Fe I | 62.0|-2.15| 2.424| 5.349
5151.910|Fe I |109.0|-3.32| 1.011| 5.567
5162.290|Fe I | 65.5| 0.02| 4.177| 5.501
5166.280|Fe I |130.0|-4.20| 0.000| 5.473
5194.940|Fe I |122.0|-2.09| 1.557| 5.352
5195.470|Fe I | 43.0|-0.23| 4.220| 5.366
5196.080|Fe I | 22.0|-0.70| 4.256| 5.433
5198.710|Fe I | 85.0|-2.13| 2.223| 5.492
5215.180|Fe I | 68.0|-0.93| 3.266| 5.320
5216.270|Fe I |120.0|-2.15| 1.608| 5.422
5217.390|Fe I | 63.0|-1.10| 3.211| 5.325
5225.520|Fe I | 93.0|-4.79| 0.110| 5.439
5242.490|Fe I | 46.0|-0.97| 3.634| 5.422
5247.050|Fe I | 84.0|-4.95| 0.087| 5.405
5250.210|Fe I | 83.0|-4.94| 0.121| 5.419
5250.650|Fe I | 89.0|-2.05| 2.198| 5.438
5253.020|Fe I |  4.5|-3.94| 2.278| 5.392
5253.460|Fe I | 32.0|-1.67| 3.283| 5.410
5263.310|Fe I | 73.0|-0.97| 3.266| 5.447
5281.790|Fe I | 90.0|-0.83| 3.038| 5.359
5307.360|Fe I | 77.0|-2.99| 1.608| 5.377
5322.040|Fe I | 28.0|-3.03| 2.278| 5.402
5364.860|Fe I | 53.0| 0.22| 4.445| 5.371
5367.480|Fe I | 62.0| 0.35| 4.415| 5.382
5369.960|Fe I | 67.0| 0.35| 4.371| 5.414
5379.570|Fe I | 17.0|-1.48| 3.694| 5.364
5389.480|Fe I | 26.0|-0.41| 4.415| 5.426
5391.460|Fe I | 23.0|-0.82| 4.154| 5.440
5393.170|Fe I | 88.0|-0.71| 3.241| 5.431
5398.280|Fe I | 13.0|-0.67| 4.445| 5.346
5400.500|Fe I | 38.0|-0.16| 4.371| 5.373
5403.820|Fe I | 15.0|-1.03| 4.076| 5.318
5410.910|Fe I | 54.0| 0.28| 4.473| 5.361
5415.190|Fe I | 70.0| 0.50| 4.386| 5.335
5436.590|Fe I | 20.0|-3.24| 2.278| 5.410
5445.040|Fe I | 48.0|-0.02| 4.386| 5.437
5462.950|Fe I | 29.0|-0.23| 4.473| 5.387
5466.390|Fe I | 21.0|-0.63| 4.371| 5.467
5473.900|Fe I | 21.0|-0.76| 4.154| 5.322
5483.100|Fe I |  4.5|-1.58| 4.154| 5.386
5497.520|Fe I |134.0|-2.85| 1.011| 5.483
5501.460|Fe I |121.0|-3.05| 0.958| 5.349
5506.780|Fe I |132.0|-2.80| 0.990| 5.363
5522.450|Fe I |  4.0|-1.55| 4.209| 5.370
5554.880|Fe I | 20.0|-0.44| 4.548| 5.463
5560.210|Fe I |  5.5|-1.19| 4.434| 5.429
5565.700|Fe I | 19.0|-0.28| 4.607| 5.343
5576.090|Fe I | 63.0|-1.00| 3.430| 5.465
5618.630|Fe I |  6.5|-1.38| 4.209| 5.415
5624.040|Fe I |  4.0|-1.48| 4.386| 5.517
5633.980|Fe I |  9.0|-0.27| 4.991| 5.418
5638.260|Fe I | 19.0|-0.87| 4.220| 5.452
5653.890|Fe I |  2.0|-1.64| 4.386| 5.369
5662.520|Fe I | 32.0|-0.54| 4.177| 5.373
5686.520|Fe I | 15.0|-0.63| 4.548| 5.488
5701.540|Fe I | 55.0|-2.22| 2.559| 5.407
5717.840|Fe I | 11.0|-1.13| 4.284| 5.509
5752.020|Fe I |  5.5|-1.00| 4.548| 5.373
5753.120|Fe I | 21.5|-0.76| 4.260| 5.454
5760.350|Fe I |  3.0|-2.49| 3.641| 5.469
5775.080|Fe I |  9.0|-1.20| 4.220| 5.396
5862.350|Fe I | 25.0|-0.36| 4.548| 5.490
5883.810|Fe I | 17.0|-1.36| 3.959| 5.541
5916.250|Fe I | 23.0|-2.99| 2.453| 5.422
5930.170|Fe I | 26.0|-0.23| 4.652| 5.508
5956.690|Fe I | 44.0|-4.61| 0.859| 5.358
5976.770|Fe I | 15.0|-1.31| 3.943| 5.402
5984.810|Fe I | 19.0|-0.34| 4.733| 5.536
6003.010|Fe I | 25.0|-1.12| 3.881| 5.410
6007.960|Fe I |  9.2|-0.66| 4.652| 5.390
6008.550|Fe I | 25.0|-1.08| 3.883| 5.376
6012.210|Fe I |  5.0|-4.04| 2.223| 5.429
6024.050|Fe I | 36.0|-0.12| 4.548| 5.473
6027.050|Fe I | 15.0|-1.21| 4.076| 5.467
6055.990|Fe I | 12.5|-0.46| 4.733| 5.435
6065.480|Fe I | 90.0|-1.53| 2.608| 5.355
6082.710|Fe I | 17.0|-3.57| 2.223| 5.532
6136.990|Fe I | 40.0|-2.95| 2.198| 5.371
6137.690|Fe I |105.0|-1.40| 2.588| 5.447
6151.620|Fe I | 22.0|-3.30| 2.176| 5.330
6173.340|Fe I | 41.0|-2.88| 2.223| 5.348
6180.200|Fe I | 18.0|-2.78| 2.727| 5.412
6191.560|Fe I |109.0|-1.42| 2.433| 5.334
6200.310|Fe I | 35.0|-2.44| 2.608| 5.299
6213.430|Fe I | 64.0|-2.48| 2.223| 5.316
6219.280|Fe I | 75.0|-2.43| 2.198| 5.412
6232.640|Fe I | 30.0|-1.27| 3.653| 5.363
6240.650|Fe I | 26.0|-3.23| 2.223| 5.409
6246.320|Fe I | 57.0|-0.96| 3.602| 5.478
6252.550|Fe I |100.0|-1.69| 2.404| 5.386
6265.130|Fe I | 70.5|-2.55| 2.176| 5.421
6270.220|Fe I | 20.0|-2.46| 2.858| 5.306
6290.970|Fe I |  9.0|-0.67| 4.733| 5.472
6297.790|Fe I | 51.0|-2.74| 2.223| 5.360
6302.490|Fe I | 28.0|-1.20| 3.686| 5.288
6311.500|Fe I |  6.0|-3.23| 2.831| 5.455
6318.020|Fe I | 86.0|-1.80| 2.453| 5.297
6322.690|Fe I | 44.0|-2.43| 2.588| 5.411
6335.330|Fe I | 84.0|-2.23| 2.198| 5.344
6336.820|Fe I | 42.0|-1.05| 3.686| 5.406
6344.150|Fe I | 31.0|-2.92| 2.433| 5.469
6355.030|Fe I | 32.0|-2.37| 2.845| 5.467
6393.600|Fe I |105.0|-1.62| 2.433| 5.413
6400.000|Fe I | 81.0|-0.52| 3.602| 5.429
6408.020|Fe I | 38.0|-1.05| 3.686| 5.327
6411.650|Fe I | 62.0|-0.82| 3.653| 5.471
6419.940|Fe I | 19.0|-0.24| 4.733| 5.411
6421.350|Fe I | 91.0|-2.03| 2.278| 5.381
6430.840|Fe I |105.0|-2.01| 2.176| 5.435
6475.630|Fe I | 21.5|-2.94| 2.559| 5.426
6481.870|Fe I | 33.0|-2.98| 2.278| 5.351
6494.980|Fe I |132.0|-1.27| 2.404| 5.477
6518.370|Fe I | 23.0|-2.46| 2.831| 5.329
6546.240|Fe I | 92.0|-1.54| 2.758| 5.523
6575.020|Fe I | 26.0|-2.82| 2.588| 5.444
6581.210|Fe I | 10.0|-4.68| 1.485| 5.383
6592.910|Fe I | 90.0|-1.60| 2.727| 5.498
6593.870|Fe I | 51.0|-2.42| 2.433| 5.290
6609.110|Fe I | 28.0|-2.69| 2.559| 5.315
6750.150|Fe I | 48.0|-2.62| 2.424| 5.418
6828.590|Fe I |  7.0|-0.92| 4.638| 5.453
6839.830|Fe I |  9.5|-3.42| 2.559| 5.471
6843.650|Fe I |  8.0|-0.93| 4.548| 5.412
6855.160|Fe I | 16.0|-0.49| 4.558| 5.326
6945.200|Fe I | 49.0|-2.48| 2.424| 5.278
6978.850|Fe I | 53.0|-2.50| 2.484| 5.434
7016.060|Fe I | 17.0|-3.21| 2.424| 5.363
7022.950|Fe I | 13.0|-1.25| 4.191| 5.510
7038.220|Fe I | 10.0|-1.30| 4.217| 5.466
7086.720|Fe I |  2.5|-2.68| 3.602| 5.425
7090.380|Fe I | 13.5|-1.21| 4.230| 5.535
7130.920|Fe I | 28.0|-0.79| 4.217| 5.492
7151.470|Fe I |  7.5|-3.68| 2.484| 5.503
7164.440|Fe I | 41.0|-0.53| 4.191| 5.448
7219.680|Fe I |  6.0|-1.69| 4.076| 5.426
7445.750|Fe I | 47.0|-0.24| 4.256| 5.325
7461.520|Fe I |  8.0|-3.55| 2.559| 5.478
7491.650|Fe I | 12.0|-1.01| 4.301| 5.345
7511.020|Fe I | 79.0| 0.11| 4.177| 5.398
7568.890|Fe I | 25.0|-0.68| 4.283| 5.377
7583.790|Fe I | 47.0|-1.89| 3.017| 5.374
7710.360|Fe I | 14.0|-1.05| 4.220| 5.348
7723.200|Fe I | 14.0|-3.62| 2.278| 5.435
7748.270|Fe I | 59.0|-1.76| 2.949| 5.329
7832.190|Fe I | 52.0| 0.02| 4.434| 5.348
7912.860|Fe I | 41.0|-4.85| 0.859| 5.382
7945.840|Fe I | 61.0| 0.12| 4.386| 5.324
7998.940|Fe I | 52.0|-0.27| 4.371| 5.543
8028.310|Fe I | 11.0|-0.94| 4.473| 5.413
8047.620|Fe I | 50.0|-4.70| 0.859| 5.350
8085.180|Fe I | 42.0|-0.24| 4.445| 5.435
8387.770|Fe I |152.0|-1.49| 2.176| 5.358
8439.560|Fe I | 13.0|-0.70| 4.548| 5.328
8468.400|Fe I |111.0|-2.07| 2.223| 5.388
8515.110|Fe I | 53.0|-1.92| 3.017| 5.425
8582.260|Fe I | 34.0|-2.13| 2.990| 5.287
8611.800|Fe I | 68.0|-1.90| 2.845| 5.400
8621.600|Fe I | 36.0|-2.32| 2.949| 5.460
8674.740|Fe I | 81.0|-1.85| 2.831| 5.510
8688.620|Fe I |179.0|-1.21| 2.176| 5.395
8757.180|Fe I | 54.0|-2.03| 2.845| 5.309
8838.420|Fe I | 61.0|-2.05| 2.858| 5.440
8866.920|Fe I | 44.0|-0.06| 4.548| 5.362
8868.430|Fe I | 18.0|-2.65| 3.017| 5.471
8999.560|Fe I |110.0|-1.30| 2.831| 5.366
9088.310|Fe I | 85.0|-1.89| 2.845| 5.584
4508.290|Fe II| 74.5|-2.21| 2.855| 5.202
4515.340|Fe II| 70.0|-2.48| 2.844| 5.373
4520.220|Fe II| 65.0|-2.60| 2.806| 5.325
4541.520|Fe II| 54.7|-3.05| 2.855| 5.609
4555.890|Fe II| 75.0|-2.29| 2.828| 5.258
4576.340|Fe II| 48.0|-3.04| 2.844| 5.445
4582.840|Fe II| 30.7|-3.10| 2.844| 5.142
4620.520|Fe II| 30.2|-3.28| 2.828| 5.289
4666.760|Fe II| 32.0|-3.33| 2.828| 5.383
4731.450|Fe II| 44.1|-3.36| 2.891| 5.732
4993.360|Fe II| 18.0|-3.65| 2.806| 5.293
5100.660|Fe II|  8.4|-4.37| 2.806| 5.620
5197.580|Fe II| 68.9|-2.10| 3.230| 5.338
5234.630|Fe II| 71.1|-2.05| 3.221| 5.316
5256.940|Fe II|  9.0|-4.25| 2.891| 5.620
5264.810|Fe II| 23.3|-3.19| 3.230| 5.478
5276.000|Fe II| 82.0|-1.94| 3.199| 5.399
5284.110|Fe II| 40.0|-3.19| 2.891| 5.428
5325.550|Fe II| 22.0|-2.60| 3.221| 4.842
5362.870|Fe II| 55.0|-2.74| 3.199| 5.646
5414.070|Fe II|  9.0|-3.79| 3.221| 5.555
5425.260|Fe II| 19.6|-3.36| 3.199| 5.504
5534.850|Fe II| 34.0|-2.93| 3.245| 5.470
5991.380|Fe II| 13.0|-3.56| 3.153| 5.406
6084.110|Fe II|  7.6|-3.81| 3.199| 5.446
6247.560|Fe II| 27.0|-2.33| 3.891| 5.473
6432.680|Fe II| 18.0|-3.71| 2.891| 5.383
6456.380|Fe II| 40.0|-2.08| 3.903| 5.504
6516.080|Fe II| 31.3|-3.45| 2.891| 5.441
7711.720|Fe II| 14.0|-2.54| 3.903| 5.253

