#
#   VizieR Astronomical Server vizier
#    Date: 2021-10-02T02:32:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157c4720cb5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/PASJ/63/1035&tab:{J/PASJ/63/1035/table9}&key:source=J/PASJ/63/1035/table9&HTTPPRM:&&-ref=VIZ6157c4720cb5&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/PASJ/63/1035/table9&-out=HD&HD=185351&-out=lambda&-out=El&El=Fe&-out=ion&-out=Eplow&-out=loggf&-out=Egam&-out=EW&-out=logA&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/PASJ/63/1035/table9
#-source=J/PASJ/63/1035/table9
#-out=HD
#HD=185351
#-out=lambda
#-out=El
#El=Fe
#-out=ion
#-out=Eplow
#-out=loggf
#-out=Egam
#-out=EW
#-out=logA
#

#RESOURCE=yCat_100631035
#Name: J/PASJ/63/1035
#Title: Stellar parameters and abundances of 99 giants (Wang+, 2011)
#Table	J_PASJ_63_1035_table9:
#Name: J/PASJ/63/1035/table9
#Title: List of measured equivalent widths and calculated abundance values log(A) for the 99 program stars and the Sun
#Column	HD	(I6)	HD number, 0 for the Sun.	[ucd=meta.id;meta.main]
#Column	lambda	(F8.3)	Wavelength in Angstrom	[ucd=em.wl]
#Column	El	(A2)	Element	[ucd=phys.atmol.element]
#Column	ion	(I1)	[1/2] Ionization stage (1=neutral)	[ucd=phys.atmol.ionStage]
#Column	Eplow	(F6.3)	Excitation potential of lower state	[ucd=phys.atmol.excitation]
#Column	loggf	(F6.3)	Oscillation strength log(gf)	[ucd=phys.atmol.collStrength]
#Column	Egam	(F4.1)	[0.8/3.0] Enhancement factor E_{gamma}_	[ucd=phys.damping]
#Column	EW	(F5.1)	Equivalent width in m{AA} (10^-13^m)	[ucd=spect.line.eqWidth;em.radio.20-100MHz]
#Column	logA	(F6.3)	Relative abundance of El (log scale {epsilon})	[ucd=phys.abund]
HD|lambda|El|ion|Eplow|loggf|Egam|EW|logA
185351|6786.856|Fe|1| 4.190|-2.060| 1.4| 48.8| 7.618
185351|6806.856|Fe|1| 2.730|-3.210| 1.4| 74.8| 7.550
185351|6810.267|Fe|1| 4.610|-1.120| 1.4| 63.2| 7.409
185351|6820.374|Fe|1| 4.640|-1.220| 1.4| 66.9| 7.610
185351|6828.596|Fe|1| 4.640|-0.920| 1.4| 75.2| 7.458
185351|6839.835|Fe|1| 2.560|-3.450| 1.4| 75.5| 7.599
185351|6841.341|Fe|1| 4.610|-0.750| 1.4| 94.8| 7.599
185351|6842.689|Fe|1| 4.640|-1.320| 1.4| 61.7| 7.614
185351|6843.655|Fe|1| 4.550|-0.930| 1.4| 85.3| 7.550
185351|6855.166|Fe|1| 4.560|-0.740| 1.4| 96.9| 7.570
185351|6858.155|Fe|1| 4.610|-1.060| 1.4| 74.3| 7.547
185351|7022.957|Fe|1| 4.190|-1.250| 1.4| 92.9| 7.590
185351|7024.065|Fe|1| 4.070|-2.210| 1.4| 59.3| 7.808
185351|7038.220|Fe|1| 4.220|-1.300| 1.4| 90.4| 7.629
185351|7071.866|Fe|1| 4.610|-1.700| 1.4| 47.9| 7.700
185351|7090.390|Fe|1| 4.230|-1.210| 1.4| 97.4| 7.670
185351|7112.170|Fe|1| 2.990|-2.990| 1.4| 78.3| 7.672
185351|7132.985|Fe|1| 4.070|-1.750| 1.4| 69.9| 7.532
185351|7142.517|Fe|1| 4.950|-0.820| 1.4| 69.3| 7.576
185351|7145.312|Fe|1| 4.610|-1.040| 1.4| 79.6| 7.603
185351|7212.440|Fe|1| 4.950|-0.950| 1.4| 55.9| 7.466
185351|7219.680|Fe|1| 4.070|-1.690| 1.4| 73.9| 7.538
185351|7221.204|Fe|1| 4.560|-1.070| 1.4| 87.1| 7.705
185351|7284.842|Fe|1| 4.140|-1.750| 1.4| 67.5| 7.559
185351|7288.741|Fe|1| 4.220|-0.810| 1.4|111.5| 7.475
185351|7306.570|Fe|1| 4.180|-1.740| 1.4| 68.9| 7.615
185351|7401.691|Fe|1| 4.190|-1.690| 1.4| 67.8| 7.550
185351|7418.672|Fe|1| 4.140|-1.590| 1.4| 76.1| 7.540
185351|7440.919|Fe|1| 4.910|-0.530| 1.4| 82.6| 7.451
185351|7443.026|Fe|1| 4.190|-1.820| 1.4| 67.9| 7.679
185351|7447.400|Fe|1| 4.950|-0.900| 1.4| 57.1| 7.423
185351|7507.273|Fe|1| 4.410|-0.840| 1.4| 97.5| 7.461
185351|7710.367|Fe|1| 4.220|-1.110| 1.4| 92.9| 7.421
185351|6369.462|Fe|2| 2.890|-4.360| 2.5| 24.1| 7.565
185351|6416.928|Fe|2| 3.890|-2.740| 2.5| 50.9| 7.669
185351|6432.683|Fe|2| 2.890|-3.740| 2.5| 48.6| 7.543
185351|6456.391|Fe|2| 3.900|-2.300| 2.5| 66.8| 7.603
185351|6516.083|Fe|2| 2.890|-3.450| 2.5| 65.2| 7.583
185351|7222.394|Fe|2| 3.890|-3.300| 2.5| 31.0| 7.738
185351|7479.694|Fe|2| 3.890|-3.680| 2.5| 18.7| 7.745
185351|6353.840|Fe|1| 0.910|-6.480| 1.2| 17.7| 7.616
185351|6385.730|Fe|1| 4.730|-1.820| 1.4| 28.3| 7.599
185351|6392.537|Fe|1| 2.280|-4.010| 1.4| 52.4| 7.463
185351|6591.351|Fe|1| 4.590|-1.980| 1.4| 24.8| 7.507
185351|6648.080|Fe|1| 1.010|-5.920| 1.2| 49.4| 7.792
185351|6745.928|Fe|1| 4.070|-2.680| 1.4| 19.2| 7.476
185351|6864.320|Fe|1| 4.560|-2.300| 1.4| 15.5| 7.521
185351|6898.265|Fe|1| 4.220|-2.060| 1.4| 31.8| 7.320

