#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T14:30:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f3264380abb	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/PASJ/57/27/tablee2
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&&-ref=VIZ614f3264380abb&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=HD&HD=186427&-out=Line&-out=Elem&-out=lambda&-out=Chi&-out=loggf&-out=EW&-out=abund1&-out=abund2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/PASJ/57/27/tablee2
#-source=J/PASJ/57/27/tablee2
#-out=HD
#HD=186427
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
186427| 128| 26.00| 6240.645|  2.220| -3.269|  53.6|   7.621|  -7.621
186427| 129| 26.00| 6265.131|  2.176| -2.578|  89.4|   7.600|  -7.600
186427| 130| 26.00| 6271.276|  3.330| -2.751|  25.6|   7.592|  -7.592
186427| 132| 26.00| 6297.792|  2.223| -2.740|  79.2|   7.605|  -7.605
186427| 133| 26.00| 6311.500|  2.832| -3.141|  31.9|   7.640|  -7.640
186427| 134| 26.00| 6322.690|  2.588| -2.326|  82.5|   7.637|  -7.637
186427| 136| 26.00| 6481.869|  2.279| -2.933|  71.1|   7.671|  -7.671
186427| 137| 26.00| 6498.937|  0.958| -4.632|  49.9|   7.611|  -7.611
186427| 138| 26.00| 6518.365|  2.830| -2.564|  67.4|   7.773|  -7.773
186427| 139| 26.00| 6574.225|  0.990| -4.980|  32.3|   7.640|  -7.640
186427| 141| 26.00| 6593.871|  2.433| -2.359|  89.1|   7.613|  -7.613
186427| 142| 26.00| 6609.110|  2.559| -2.616|  68.0|   7.566|  -7.566
186427| 143| 26.00| 6625.021|  1.010| -5.307|  17.3|   7.600|  -7.600
186427| 146| 26.00| 6739.520|  1.557| -4.790|  13.8|   7.506|  -7.506
186427| 147| 26.00| 6750.150|  2.424| -2.570|  80.8|   7.642|  -7.642
186427| 148| 26.00| 6752.705|  4.640| -1.186|  40.7|   7.603|  -7.603
186427| 149| 26.00| 6793.252|  4.080| -2.366|  17.1|   7.674|  -7.674
186427| 151| 26.00| 6804.275|  4.580| -1.776|  18.8|   7.617|  -7.617
186427| 152| 26.00| 6837.016|  4.590| -1.750|  17.8|   7.568|  -7.568
186427| 153| 26.00| 6854.838|  4.590| -1.876|  14.4|   7.578|  -7.578
186427| 154| 26.00| 6945.203|  2.424| -2.456|  85.5|   7.599|  -7.599
186427| 155| 26.00| 6971.933|  3.020| -3.344|  16.2|   7.580|  -7.580
186427| 156| 26.00| 6978.850|  2.484| -2.461|  82.0|   7.592|  -7.592
186427| 157| 26.00| 7112.168|  2.990| -2.906|  39.2|   7.666|  -7.666
186427|1029| 26.00| 5197.929|  4.301| -1.438|  39.9|   7.605|  -7.605
186427|1030| 26.00| 5206.801|  4.283| -2.396|   7.6|   7.555|  -7.555
186427|1031| 26.00| 5223.187|  3.635| -2.231|  34.0|   7.635|  -7.635
186427|1032| 26.00| 5242.491|  3.634| -0.906|  90.8|   7.600|  -7.600
186427|1033| 26.00| 5253.023|  2.279| -3.819|  21.8|   7.601|  -7.601
186427|1034| 26.00| 5279.654|  3.301| -3.544|   5.6|   7.620|  -7.620
186427|1035| 26.00| 5285.118|  4.434| -1.465|  33.9|   7.620|  -7.620
186427|1036| 26.00| 5288.528|  3.695| -1.525|  61.2|   7.595|  -7.595
186427|1037| 26.00| 5300.412|  4.593| -2.234|   6.5|   7.608|  -7.608
186427|1038| 26.00| 5301.327|  4.386| -2.702|   3.7|   7.618|  -7.618
186427|1040| 26.00| 5320.039|  3.642| -2.486|  22.8|   7.615|  -7.615
186427|1041| 26.00| 5321.109|  4.434| -1.198|  45.1|   7.604|  -7.604
186427|1042| 26.00| 5365.396|  3.573| -1.202|  78.0|   7.529|  -7.529
186427|1043| 26.00| 5376.826|  4.294| -1.983|  18.1|   7.597|  -7.597
186427|1044| 26.00| 5379.574|  3.695| -1.447|  63.6|   7.563|  -7.563
186427|1045| 26.00| 5385.579|  3.695| -3.008|   8.0|   7.626|  -7.626
186427|1046| 26.00| 5389.479|  4.415| -0.285|  86.3|   7.539|  -7.539
186427|1047| 26.00| 5395.215|  4.446| -1.682|  25.2|   7.637|  -7.637
186427|1048| 26.00| 5398.277|  4.446| -0.483|  77.3|   7.564|  -7.564
186427|1049| 26.00| 5401.264|  4.320| -1.666|  30.7|   7.636|  -7.636
186427|1050| 26.00| 5406.770|  4.371| -1.394|  40.5|   7.615|  -7.615
186427|1051| 26.00| 5409.133|  4.371| -0.934|  60.2|   7.582|  -7.582
186427|1052| 26.00| 5417.039|  4.415| -1.347|  38.7|   7.585|  -7.585
186427|1054| 26.00| 5436.297|  4.386| -1.250|  45.1|   7.601|  -7.601
186427|1055| 26.00| 5436.587|  2.279| -3.264|  50.5|   7.675|  -7.675
186427|1056| 26.00| 5441.354|  4.312| -1.511|  36.6|   7.602|  -7.602
186427|1057| 26.00| 5443.409|  4.103| -2.752|   4.7|   7.503|  -7.503
186427|1058| 26.00| 5464.278|  4.143| -1.545|  42.9|   7.621|  -7.621
186427|1059| 26.00| 5470.092|  4.446| -1.522|  33.0|   7.660|  -7.660
186427|1060| 26.00| 5473.164|  4.191| -1.946|  21.1|   7.541|  -7.541
186427|1061| 26.00| 5473.900|  4.154| -0.634|  83.5|   7.534|  -7.534
186427|1062| 26.00| 5517.069|  4.209| -1.979|  21.7|   7.612|  -7.612
186427|1063| 26.00| 5522.447|  4.209| -1.373|  47.6|   7.597|  -7.597
186427|1064| 26.00| 5546.500|  4.371| -1.018|  54.1|   7.548|  -7.548
186427|1065| 26.00| 5549.948|  3.695| -2.762|  13.1|   7.619|  -7.619
186427|1066| 26.00| 5552.691|  4.956| -1.704|   9.5|   7.589|  -7.589
186427|1067| 26.00| 5559.638|  4.988| -1.614|  10.8|   7.596|  -7.596
186427|1068| 26.00| 5568.072|  4.154| -2.889|   4.7|   7.682|  -7.682
186427|1069| 26.00| 5568.867|  3.635| -2.817|  10.8|   7.516|  -7.516
186427|1070| 26.00| 5577.031|  5.033| -1.446|  12.2|   7.529|  -7.529
186427|1071| 26.00| 5587.573|  4.143| -1.593|  39.7|   7.573|  -7.573
186427|1072| 26.00| 5595.075|  5.064| -1.633|   9.2|   7.603|  -7.603
186427|1073| 26.00| 5608.974|  4.209| -2.287|  13.4|   7.642|  -7.642
186427|1074| 26.00| 5618.631|  4.209| -1.233|  53.0|   7.567|  -7.567
186427|1075| 26.00| 5619.587|  4.386| -1.409|  38.8|   7.605|  -7.605
186427|1076| 26.00| 5636.696|  3.640| -2.495|  23.4|   7.622|  -7.622
186427|1077| 26.00| 5638.262|  4.220| -0.663|  82.0|   7.583|  -7.583
186427|1078| 26.00| 5650.020|  5.099| -0.749|  39.6|   7.581|  -7.581
186427|1079| 26.00| 5650.704|  5.085| -0.672|  43.5|   7.627|  -7.627
186427|1080| 26.00| 5651.470|  4.473| -1.747|  22.4|   7.641|  -7.641
186427|1081| 26.00| 5652.320|  4.260| -1.731|  31.1|   7.637|  -7.637
186427|1082| 26.00| 5653.889|  4.386| -1.334|  41.3|   7.567|  -7.567
186427|1084| 26.00| 5679.025|  4.652| -0.626|  63.0|   7.586|  -7.586
186427|1085| 26.00| 5680.241|  4.186| -2.306|  13.5|   7.642|  -7.642
186427|1086| 26.00| 5731.762|  4.256| -1.050|  63.1|   7.619|  -7.619
186427|1087| 26.00| 5732.275|  4.991| -1.400|  16.9|   7.611|  -7.611
186427|1088| 26.00| 5752.023|  4.548| -0.846|  59.1|   7.616|  -7.616
186427|1089| 26.00| 5753.121|  4.260| -0.594|  77.8|   7.484|  -7.484
186427|1090| 26.00| 5760.345|  3.642| -2.438|  25.1|   7.604|  -7.604
186427|1091| 26.00| 5775.080|  4.220| -1.059|  65.0|   7.624|  -7.624
186427|1092| 26.00| 5793.913|  4.220| -1.578|  36.9|   7.566|  -7.566
186427|1093| 26.00| 5814.805|  4.283| -1.797|  26.7|   7.612|  -7.612
186427|1094| 26.00| 5827.875|  3.283| -3.165|  13.8|   7.635|  -7.635
186427|1095| 26.00| 5835.098|  4.256| -2.113|  17.3|   7.641|  -7.641
186427|1096| 26.00| 5837.700|  4.294| -2.255|  11.5|   7.603|  -7.603
186427|1097| 26.00| 5845.266|  5.033| -1.673|   8.2|   7.548|  -7.548
186427|1098| 26.00| 5849.682|  3.695| -2.885|   9.5|   7.564|  -7.564
186427|1099| 26.00| 5852.217|  4.548| -1.127|  46.2|   7.631|  -7.631
186427|1100| 26.00| 5853.149|  1.485| -5.089|   9.0|   7.577|  -7.577
186427|1101| 26.00| 5856.083|  4.294| -1.513|  36.5|   7.571|  -7.571
186427|1102| 26.00| 5858.779|  4.220| -2.156|  15.8|   7.598|  -7.598
186427|1103| 26.00| 5859.578|  4.548| -0.489|  73.7|   7.495|  -7.495
186427|1104| 26.00| 5861.107|  4.283| -2.327|  10.9|   7.634|  -7.634
186427|1105| 26.00| 5880.029|  4.558| -1.877|  19.3|   7.753|  -7.753
186427|1106| 26.00| 5881.279|  4.607| -1.741|  22.5|   7.755|  -7.755
186427|1108| 26.00| 5905.689|  4.652| -0.650|  66.8|   7.693|  -7.693
186427|1109| 26.00| 5916.249|  2.453| -2.882|  57.8|   7.579|  -7.579
186427|1110| 26.00| 5927.786|  4.652| -0.987|  47.5|   7.619|  -7.619
186427|1111| 26.00| 5929.667|  4.548| -1.140|  43.8|   7.594|  -7.594
186427|1112| 26.00| 5934.653|  3.929| -1.015|  80.0|   7.594|  -7.594
186427|1115| 26.00| 5984.814|  4.733| -0.129|  85.2|   7.543|  -7.543
186427|1116| 26.00| 5987.066|  4.795| -0.307|  70.8|   7.525|  -7.525
186427|1117| 26.00| 6003.010|  3.882| -0.903|  85.9|   7.543|  -7.543
186427|1118| 26.00| 6027.050|  4.076| -1.065|  68.5|   7.597|  -7.597
186427|1119| 26.00| 6034.033|  4.312| -2.335|   9.6|   7.600|  -7.600
186427|1120| 26.00| 6093.666|  4.607| -1.297|  35.6|   7.618|  -7.618
186427|1121| 26.00| 6094.364|  4.652| -1.557|  23.8|   7.639|  -7.639
186427|1122| 26.00| 6096.662|  3.984| -1.758|  42.3|   7.614|  -7.614
186427|1123| 26.00| 6105.152|  4.548| -1.916|  14.1|   7.595|  -7.595
186427|1124| 26.00| 6127.909|  4.143| -1.352|  52.6|   7.594|  -7.594
186427|1125| 26.00| 6165.361|  4.143| -1.434|  49.4|   7.607|  -7.607
186427|1126| 26.00| 6187.398|  2.832| -4.094|   5.2|   7.631|  -7.631
186427|1127| 26.00| 6187.987|  3.943| -1.587|  52.7|   7.610|  -7.610
186427|1128| 26.00| 6199.507|  2.559| -4.283|   6.8|   7.677|  -7.677
186427|1129| 26.00| 6213.429|  2.223| -2.562|  89.4|   7.643|  -7.643
186427|1130| 26.00| 6220.776|  3.882| -2.322|  21.6|   7.599|  -7.599
186427|1132| 26.00| 6226.730|  3.883| -2.055|  33.5|   7.619|  -7.619
186427|1133| 26.00| 6229.225|  2.845| -2.877|  43.6|   7.641|  -7.641
186427|1135| 26.00| 6330.838|  4.733| -1.152|  38.2|   7.622|  -7.622
186427|1136| 26.00| 6335.328|  2.198| -2.349|  99.7|   7.575|  -7.575
186427|1138| 26.00| 6392.538|  2.279| -3.939|  21.7|   7.642|  -7.642
186427|1139| 26.00| 6436.411|  4.186| -2.337|  12.8|   7.610|  -7.610
186427|1142| 26.00| 6496.469|  4.795| -0.483|  68.8|   7.637|  -7.637
186427|1143| 26.00| 6591.325|  4.593| -1.957|  11.9|   7.575|  -7.575
186427|1144| 26.00| 6608.024|  2.279| -3.952|  16.9|   7.501|  -7.501
186427|1146| 26.00| 6646.932|  2.608| -3.931|  12.0|   7.624|  -7.624
186427|1149| 26.00| 6703.568|  2.759| -3.008|  40.2|   7.584|  -7.584
186427|1150| 26.00| 6710.316|  1.485| -4.813|  19.3|   7.638|  -7.638
186427|1152| 26.00| 6725.353|  4.103| -2.178|  19.9|   7.592|  -7.592
186427|1153| 26.00| 6726.661|  4.607| -1.003|  52.2|   7.608|  -7.608
186427|1154| 26.00| 6732.070|  4.584| -2.111|   9.6|   7.604|  -7.604
186427|1155| 26.00| 6733.151|  4.638| -1.403|  32.9|   7.653|  -7.653
186427|1156| 26.00| 6745.090|  4.580| -2.065|  11.5|   7.643|  -7.643
186427|1157| 26.00| 6745.955|  4.076| -2.632|   9.4|   7.627|  -7.627
186427|1161| 26.00| 6801.864|  1.608| -5.779|   2.7|   7.772|  -7.772
186427|1162| 26.00| 6806.847|  2.727| -3.098|  39.9|   7.630|  -7.630
186427|1163| 26.00| 6810.257|  4.607| -0.927|  54.4|   7.589|  -7.589
186427|1165| 26.00| 6828.590|  4.638| -0.790|  59.4|   7.575|  -7.575
186427|1166| 26.00| 6833.224|  4.638| -1.988|  12.9|   7.675|  -7.675
186427|1167| 26.00| 6839.831|  2.559| -3.362|  33.0|   7.583|  -7.583
186427|1168| 26.00| 6843.648|  4.548| -0.764|  65.2|   7.583|  -7.583
186427|1169| 26.00| 6855.159|  4.558| -0.575|  78.2|   7.616|  -7.616
186427|1170| 26.00| 6857.243|  4.076| -2.053|  26.9|   7.626|  -7.626
186427|1172| 26.00| 6861.945|  2.424| -3.787|  23.0|   7.639|  -7.639
186427|1173| 26.00| 6862.492|  4.558| -1.405|  34.4|   7.608|  -7.608
186427|1174| 26.00| 6898.289|  4.220| -2.108|  20.8|   7.652|  -7.652
186427|1175| 26.00| 6916.678|  4.154| -1.197|  63.6|   7.578|  -7.578
186427|1176| 26.00| 6960.338|  4.593| -1.890|  17.5|   7.697|  -7.697
186427|1177| 26.00| 6988.523|  2.404| -3.442|  39.2|   7.627|  -7.627
186427|1178| 26.00| 6999.878|  4.103| -1.351|  61.2|   7.630|  -7.630
186427|1179| 26.00| 7000.618|  4.143| -2.106|  22.2|   7.616|  -7.616
186427|1180| 26.00| 7007.963|  4.178| -1.830|  34.9|   7.664|  -7.664
186427|1182| 26.00| 7022.953|  4.191| -1.061|  74.8|   7.680|  -7.680
186427|1185| 26.00| 7038.222|  4.217| -1.115|  67.0|   7.612|  -7.612
186427|1187| 26.00| 7069.533|  2.559| -4.296|   9.0|   7.774|  -7.774
186427|1189| 26.00| 7083.395|  4.913| -1.250|  25.4|   7.566|  -7.566
186427|1190| 26.00| 7086.722|  3.602| -2.507|  31.1|   7.693|  -7.693
186427|1191| 26.00| 7090.378|  4.230| -0.992|  69.2|   7.539|  -7.539
186427|1192| 26.00| 7107.460|  4.186| -1.935|  29.2|   7.656|  -7.656
186427|1193| 26.00| 7114.549|  2.692| -3.936|  10.4|   7.614|  -7.614
186427|1194| 26.00| 7132.979|  4.076| -1.595|  44.3|   7.533|  -7.533
186427|1195| 26.00| 7142.503|  4.956| -0.892|  42.7|   7.625|  -7.625
186427|1197| 26.00| 7158.474|  3.654| -2.759|  19.9|   7.717|  -7.717
186427| 204| 26.01| 5234.625|  3.221| -2.271|  87.9|  -7.608|   7.608
186427| 205| 26.01| 5264.812|  3.230| -3.108|  49.6|  -7.607|   7.607
186427| 206| 26.01| 5414.073|  3.221| -3.568|  33.5|  -7.673|   7.673
186427| 207| 26.01| 5525.125|  3.267| -4.007|  14.6|  -7.596|   7.596
186427| 208| 26.01| 6432.680|  2.891| -3.579|  46.7|  -7.631|   7.631
186427| 209| 26.01| 6516.080|  2.891| -3.302|  64.9|  -7.733|   7.733
186427|2002| 26.01| 5325.553|  3.221| -3.210|  45.3|  -7.602|   7.602
186427|2003| 26.01| 5425.257|  3.199| -3.221|  44.3|  -7.564|   7.564
186427|2004| 26.01| 5427.826|  6.724| -1.487|   5.7|  -7.625|   7.625
186427|2005| 26.01| 5991.376|  3.153| -3.540|  35.7|  -7.615|   7.615
186427|2006| 26.01| 6084.111|  3.199| -3.791|  23.9|  -7.608|   7.608
186427|2007| 26.01| 6141.033|  3.230| -4.872|   2.4|  -7.542|   7.542
186427|2008| 26.01| 6149.258|  3.889| -2.720|  39.5|  -7.574|   7.574
186427|2009| 26.01| 6239.953|  3.889| -3.423|  11.7|  -7.452|   7.452
186427|2010| 26.01| 6247.557|  3.892| -2.336|  57.6|  -7.593|   7.593
186427|2011| 26.01| 6269.967|  3.245| -4.355|   8.1|  -7.603|   7.603
186427|2012| 26.01| 6446.410|  6.222| -1.938|   6.3|  -7.719|   7.719
186427|2013| 26.01| 6456.383|  3.903| -2.142|  67.4|  -7.600|   7.600

