#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T15:21:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f35f8389be0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/MNRAS/495/3961/tablea1
#-nav=cat:J/MNRAS/495/3961&tab:{J/MNRAS/495/3961/tablea1}&key:source=J/MNRAS/495/3961/tablea1&HTTPPRM:&&-ref=VIZ614f35f8389be0&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=lambda&-out=Species&-out=LEP&-out=loggf&-out=HIP98767&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/495/3961/tablea1
#-source=J/MNRAS/495/3961/tablea1
#-out=lambda
#-out=Species
#-out=LEP
#-out=loggf
#-out=HIP98767
#

#RESOURCE=yCat_74953961
#Name: J/MNRAS/495/3961
#Title: Planet-hosting stars chemical compositions (Liu+, 2020)
#Table	J_MNRAS_495_3961_tablea1:
#Name: J/MNRAS/495/3961/tablea1
#Title: Line list and equivalent width measurements adopted for our analysis
#Column	lambda	(F7.2)	Wavelength	[ucd=em.wl]
#Column	Species	(F4.1)	Species	[ucd=meta.note]
#Column	LEP	(F5.2)	Lower excitation potential	[ucd=phys.atmol.excitation;stat.min]
#Column	loggf	(F5.2)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	HIP98767	(F5.1)	? Equivalent width for HIP98767	[ucd=spect.line.eqWidth]
lambda|Species|LEP|loggf|HIP98767
4555.48|22.0| 0.85|-0.43| 80.6
4617.28|22.0| 1.75| 0.45| 81.3
4759.27|22.0| 2.26| 0.57| 62.9
4778.26|22.0| 2.24|-0.22| 30.9
4840.88|22.0| 0.90|-0.45| 83.9
5071.49|22.0| 1.46|-0.80| 55.3
5113.44|22.0| 1.44|-0.73| 46.8
5295.77|22.0| 1.07|-1.58| 27.2
5471.20|22.0| 1.44|-1.40| 19.3
5490.15|22.0| 1.46|-0.88| 39.9
6126.22|22.0| 1.07|-1.42| 43.8
6258.10|22.0| 1.44|-0.30| 73.4
6261.10|22.0| 1.43|-0.48| 75.5
6743.13|22.0| 0.90|-1.63| 39.2
4583.41|22.1| 1.17|-2.87| 40.4
5418.77|22.1| 1.58|-2.11| 58.3
5670.83|23.0| 1.08|-0.42| 44.0
5727.03|23.0| 1.08|-0.01| 72.4
6081.42|23.0| 1.05|-0.58| 34.0
6111.65|23.0| 1.04|-0.71| 28.9
6216.33|23.0| 0.28|-0.83| 63.9
4545.94|24.0| 0.94|-1.31|107.4
4626.18|24.0| 0.97|-1.47| 98.6
4789.34|24.0| 2.54|-0.35| 79.7
5214.14|24.0| 3.37|-0.78| 27.4
5238.96|24.0| 2.71|-1.43| 28.8
5247.57|24.0| 0.96|-1.62| 99.8
5783.07|24.0| 3.23|-0.48| 49.4
5787.93|24.0| 3.32|-0.08| 61.4
6330.10|24.0| 0.94|-2.90| 47.1
4709.69|25.0| 2.89|-0.34| 87.4
4739.07|25.0| 2.94|-0.49| 80.9
5399.45|25.0| 3.85|-0.10| 65.0
4445.47|26.0| 0.09|-5.44| 59.8
4602.00|26.0| 1.61|-3.15| 84.0
4630.12|26.0| 2.28|-2.52| 90.9
4745.80|26.0| 3.65|-1.27| 95.4
4779.44|26.0| 3.42|-2.16| 56.2
4799.41|26.0| 3.64|-2.13| 48.8
4808.15|26.0| 3.25|-2.69| 43.2
4924.77|26.0| 2.28|-2.17|124.5
4950.10|26.0| 3.42|-1.56| 95.6
5067.14|26.0| 4.22|-0.86| 83.8
5225.53|26.0| 0.11|-4.79| 97.1
5242.49|26.0| 3.63|-0.99| 98.9
5243.77|26.0| 4.26|-0.99| 74.7
5247.05|26.0| 0.09|-4.96| 81.6
5253.46|26.0| 3.28|-1.57| 93.5
5322.04|26.0| 2.28|-2.89| 75.5
5379.57|26.0| 3.69|-1.51| 75.8
5386.33|26.0| 4.15|-1.67| 46.3
5389.48|26.0| 4.41|-0.45| 96.4
5409.13|26.0| 4.37|-1.06| 72.3
5441.34|26.0| 4.31|-1.63| 49.4
5464.28|26.0| 4.14|-1.58| 50.2
5491.83|26.0| 4.18|-2.19| 23.3
5546.51|26.0| 4.37|-1.21| 66.3
5554.89|26.0| 4.55|-0.36|119.3
5560.21|26.0| 4.43|-1.09| 64.0
5661.35|26.0| 4.28|-1.76| 38.2
5679.02|26.0| 4.65|-0.75| 71.6
5701.54|26.0| 2.56|-2.16|102.8
5778.45|26.0| 2.59|-3.44| 37.6
5806.73|26.0| 4.61|-0.95| 69.7
5809.22|26.0| 3.88|-1.71| 67.0
5852.22|26.0| 4.55|-1.23| 55.3
5855.08|26.0| 4.61|-1.48| 34.2
5856.09|26.0| 4.29|-1.46| 47.0
5859.59|26.0| 4.55|-0.58| 85.0
5905.67|26.0| 4.65|-0.69| 70.5
6079.01|26.0| 4.65|-1.02| 60.8
6127.91|26.0| 4.14|-1.40| 63.4
6151.62|26.0| 2.18|-3.28| 65.5
6157.72|26.0| 4.07|-1.20| 74.4
6165.36|26.0| 4.14|-1.46| 58.7
6170.51|26.0| 4.80|-0.38|107.0
6173.34|26.0| 2.22|-2.88| 84.4
6180.20|26.0| 2.73|-2.63| 75.7
6187.99|26.0| 3.94|-1.62| 63.1
6213.43|26.0| 2.22|-2.52| 98.7
6219.28|26.0| 2.20|-2.43|108.3
6229.23|26.0| 2.85|-2.83| 55.2
6265.13|26.0| 2.18|-2.55|104.4
6271.28|26.0| 3.33|-2.70| 38.7
6322.69|26.0| 2.59|-2.43| 92.5
6335.33|26.0| 2.20|-2.26|117.0
6380.74|26.0| 4.19|-1.32| 66.9
6498.94|26.0| 0.96|-4.70| 67.6
6593.87|26.0| 2.43|-2.39|104.4
6597.56|26.0| 4.80|-0.97| 57.4
6609.11|26.0| 2.56|-2.68| 84.7
6625.02|26.0| 1.01|-5.34| 33.5
6703.57|26.0| 2.76|-3.02| 53.8
6705.10|26.0| 4.61|-0.98| 63.1
6713.74|26.0| 4.80|-1.40| 32.0
6726.67|26.0| 4.61|-1.03| 61.6
6739.52|26.0| 1.56|-4.79| 23.0
6750.15|26.0| 2.42|-2.62| 91.4
6752.71|26.0| 4.64|-1.22| 52.0
6806.85|26.0| 2.73|-3.11| 52.7
6810.26|26.0| 4.61|-0.99| 64.6
6828.59|26.0| 4.64|-0.82| 70.2
6839.83|26.0| 2.56|-3.35| 51.1
6842.69|26.0| 4.64|-1.22| 55.8
6843.66|26.0| 4.55|-0.83| 76.6
6858.15|26.0| 4.61|-0.94| 67.2
7090.38|26.0| 4.23|-1.11| 85.0
7132.99|26.0| 4.08|-1.65| 56.4
7401.69|26.0| 4.19|-1.50|
7583.79|26.0| 3.02|-1.88|
4576.33|26.1| 2.84|-2.95| 68.8
5197.58|26.1| 3.23|-2.22| 84.0
5234.62|26.1| 3.22|-2.18| 86.6
5325.55|26.1| 3.22|-3.25| 45.5
5425.26|26.1| 3.20|-3.22| 47.7
6084.09|26.1| 3.20|-3.83| 24.1
6247.55|26.1| 3.89|-2.38| 54.6
6369.46|26.1| 2.89|-4.11| 22.1
6432.68|26.1| 2.89|-3.57| 44.0
7711.72|26.1| 3.90|-2.50|
6454.95|27.0| 3.63|-0.25| 31.6
6814.97|27.0| 1.96|-1.82| 41.5
4913.98|28.0| 3.74|-0.66| 68.8
4953.21|28.0| 3.74|-0.58| 67.4
5010.94|28.0| 3.63|-0.90| 60.1
5082.35|28.0| 3.66|-0.59| 85.1
5084.11|28.0| 3.68|-0.06|109.3
5094.42|28.0| 3.83|-1.07| 39.9
5694.99|28.0| 4.09|-0.63| 58.5
5748.36|28.0| 1.68|-3.24| 47.9
5805.22|28.0| 4.17|-0.62| 55.1
5847.01|28.0| 1.68|-3.41| 46.2
6086.29|28.0| 4.27|-0.46| 58.8
6108.12|28.0| 1.68|-2.43| 84.8
6111.08|28.0| 4.09|-0.81| 50.0
6128.98|28.0| 1.68|-3.36| 42.5
6130.14|28.0| 4.27|-0.94| 33.8
6175.37|28.0| 4.09|-0.55| 64.3
6223.99|28.0| 4.11|-1.05| 43.6
6230.10|28.0| 4.11|-1.13| 36.1
6327.60|28.0| 1.68|-3.06| 60.1
6378.26|28.0| 4.15|-0.97| 47.4
6598.61|28.0| 4.24|-0.91| 38.0
6635.13|28.0| 4.42|-0.72| 39.8
6643.64|28.0| 1.68|-2.03|115.9
6767.78|28.0| 1.83|-2.10| 94.8
6842.04|28.0| 3.66|-1.50| 43.8
7110.90|28.0| 1.94|-2.88| 62.3
4722.16|30.0| 4.03|-0.38| 90.9
4810.54|30.0| 4.08|-0.15| 87.5
4854.87|39.1| 0.99|-0.38| 56.8
4883.69|39.1| 1.08| 0.07| 62.8
5087.42|39.1| 1.08|-0.17| 52.2
5200.41|39.1| 0.99|-0.57| 45.2

