#
#   VizieR Astronomical Server vizier.iucaa.in
#    Date: 2021-10-02T01:56:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157bb4055f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/450/397&tab:{J/MNRAS/450/397/tablee1}&key:source=J/MNRAS/450/397/tablee1&HTTPPRM:&
#-source=J/MNRAS/450/397/tablee1
#-order=I
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW(Fe)48
#EW(Fe)48=!=0
#-out=logeps(Fe)48
#

#RESOURCE=yCat_74500397
#Name: J/MNRAS/450/397
#Title: Spectroscopic study of RGs in the Kepler field (Takeda+, 2015)
#Table	J_MNRAS_450_397_tablee1:
#Name: J/MNRAS/450/397/tablee1
#Title: EWs of Fe I/Fe II lines and corresponding Fe abundance
#Column	Line	(I4)	[102/2014] Line number (cf. Takeda et al. 2005, J/PASJ/57/27)	[ucd=meta.number]
#Column	Elem	(F6.2)	[26/26.01] Element code (26.00 for Fe I, 26.01 for Fe II)	[ucd=phys.atmol.number]
#Column	lambda	(F9.3)	[4365.8/7495.06] Line (air) wavelength ({AA})	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	[0.087/6.724] Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F7.3)	[-6.477/0.083] log(gf) value (dex)	[ucd=stat.value;arith.zp]
#Column	EW(Fe)48	(F6.1)	[0/118.6] Fe line equivalent width for KIC 10323222 (m{AA}) (3)	[ucd=spect.line.eqWidth]
#Column	logeps(Fe)48	(F5.2)	[0/7.92] Line-by-line Fe abundance for KIC 10323222 (dex) (3)	[ucd=phys.abund.Fe]
Line|Elem|lambda|EP(low)|loggf|EW(Fe)48|logeps(Fe)48
 151| 26.00| 6804.275| 4.580| -1.776|  39.5| 7.49
 152| 26.00| 6837.016| 4.590| -1.750|  40.7| 7.50
 153| 26.00| 6854.838| 4.590| -1.876|  29.3| 7.38
 155| 26.00| 6971.933| 3.020| -3.344|  61.5| 7.53
 157| 26.00| 7112.168| 2.990| -2.906| 101.8| 7.84
 158| 26.00| 7189.151| 3.070| -2.658|  89.7| 7.45
 159| 26.00| 7401.688| 4.190| -1.549|  73.8| 7.45
 201| 26.01| 4576.340| 2.844| -2.966|  85.6| 7.71
 202| 26.01| 4620.521| 2.828| -3.226|  65.8| 7.48
 204| 26.01| 5234.625| 3.221| -2.271|  87.6| 7.49
 205| 26.01| 5264.812| 3.230| -3.108|  50.0| 7.44
 206| 26.01| 5414.073| 3.221| -3.568|  32.5| 7.43
 207| 26.01| 5525.125| 3.267| -4.007|  25.6| 7.70
 208| 26.01| 6432.680| 2.891| -3.579|  47.4| 7.49
 209| 26.01| 6516.080| 2.891| -3.302|  68.3| 7.69
1002| 26.00| 4432.566| 3.573| -1.658|  87.0| 7.54
1004| 26.00| 4551.649| 3.943| -1.893|  70.6| 7.70
1005| 26.00| 4574.215| 3.211| -2.320|  71.7| 7.25
1006| 26.00| 4598.118| 3.283| -1.307| 111.4| 7.39
1008| 26.00| 4607.092| 3.415| -3.491|  25.2| 7.57
1010| 26.00| 4631.486| 4.548| -1.859|  34.2| 7.49
1011| 26.00| 4635.846| 2.845| -2.349|  90.2| 7.35
1012| 26.00| 4661.534| 4.558| -1.101|  59.9| 7.36
1013| 26.00| 4690.136| 3.686| -1.449|  90.7| 7.43
1014| 26.00| 4741.529| 2.832| -1.923| 118.3| 7.53
1016| 26.00| 4780.811| 3.251| -3.205|  39.2| 7.39
1017| 26.00| 4785.957| 4.143| -1.755|  52.2| 7.32
1018| 26.00| 4790.746| 3.251| -3.226|  36.7| 7.35
1019| 26.00| 4807.708| 3.368| -1.947|  88.9| 7.49
1020| 26.00| 4808.147| 3.251| -2.605|  67.1| 7.42
1021| 26.00| 4813.116| 3.274| -2.688|  74.5| 7.72
1022| 26.00| 4835.869| 4.103| -1.262|  92.6| 7.76
1023| 26.00| 4882.144| 3.417| -1.375| 115.0| 7.61
1024| 26.00| 4907.733| 3.430| -1.639| 104.6| 7.64
1025| 26.00| 4950.104| 3.417| -1.342| 113.1| 7.51
1026| 26.00| 4961.915| 3.634| -2.259|  71.3| 7.64
1027| 26.00| 4962.565| 4.178| -1.103|  80.9| 7.38
1028| 26.00| 4969.916| 4.217| -0.585| 108.1| 7.53
1029| 26.00| 5197.929| 4.301| -1.438|  68.8| 7.54
1030| 26.00| 5206.801| 4.283| -2.396|  22.5| 7.41
1031| 26.00| 5223.187| 3.635| -2.231|  67.8| 7.49
1033| 26.00| 5253.023| 2.279| -3.819|  71.7| 7.44
1034| 26.00| 5279.654| 3.301| -3.544|  30.8| 7.57
1035| 26.00| 5285.118| 4.434| -1.465|  54.4| 7.39
1036| 26.00| 5288.528| 3.695| -1.525|  89.9| 7.42
1037| 26.00| 5300.412| 4.593| -2.234|  19.6| 7.53
1038| 26.00| 5301.327| 4.386| -2.702|   8.6| 7.32
1039| 26.00| 5308.707| 4.256| -2.361|  24.9| 7.40
1040| 26.00| 5320.039| 3.642| -2.486|  61.0| 7.57
1041| 26.00| 5321.109| 4.434| -1.198|  70.7| 7.50
1042| 26.00| 5365.396| 3.573| -1.202| 106.1| 7.35
1043| 26.00| 5376.826| 4.294| -1.983|  36.5| 7.34
1044| 26.00| 5379.574| 3.695| -1.447| 100.7| 7.60
1045| 26.00| 5385.579| 3.695| -3.008|  28.9| 7.47
1046| 26.00| 5389.479| 4.415| -0.285| 104.3| 7.34
1047| 26.00| 5395.215| 4.446| -1.682|  53.8| 7.60
1048| 26.00| 5398.277| 4.446| -0.483|  92.4| 7.30
1050| 26.00| 5406.770| 4.371| -1.394|  67.8| 7.54
1051| 26.00| 5409.133| 4.371| -0.934|  95.1| 7.72
1052| 26.00| 5417.039| 4.415| -1.347|  66.3| 7.51
1054| 26.00| 5436.297| 4.386| -1.250|  67.4| 7.40
1056| 26.00| 5441.354| 4.312| -1.511|  66.9| 7.56
1057| 26.00| 5443.409| 4.103| -2.752|  14.7| 7.30
1058| 26.00| 5464.278| 4.143| -1.545|  73.7| 7.56
1059| 26.00| 5470.092| 4.446| -1.522|  62.3| 7.63
1060| 26.00| 5473.164| 4.191| -1.946|  52.4| 7.51
1061| 26.00| 5473.900| 4.154| -0.634|  99.7| 7.22
1062| 26.00| 5517.069| 4.209| -1.979|  54.7| 7.62
1063| 26.00| 5522.447| 4.209| -1.373|  73.5| 7.45
1064| 26.00| 5546.500| 4.371| -1.018|  90.2| 7.68
1065| 26.00| 5549.948| 3.695| -2.762|  42.0| 7.50
1066| 26.00| 5552.691| 4.956| -1.704|  22.9| 7.51
1067| 26.00| 5559.638| 4.988| -1.614|  28.6| 7.61
1068| 26.00| 5568.072| 4.154| -2.889|  17.9| 7.60
1069| 26.00| 5568.867| 3.635| -2.817|  35.6| 7.34
1070| 26.00| 5577.031| 5.033| -1.446|  27.4| 7.46
1071| 26.00| 5587.573| 4.143| -1.593|  65.7| 7.39
1072| 26.00| 5595.075| 5.064| -1.633|  23.0| 7.57
1073| 26.00| 5608.974| 4.209| -2.287|  44.7| 7.71
1074| 26.00| 5618.631| 4.209| -1.233|  74.8| 7.33
1075| 26.00| 5619.587| 4.386| -1.409|  72.9| 7.67
1076| 26.00| 5636.696| 3.640| -2.495|  54.6| 7.43
1078| 26.00| 5650.020| 5.099| -0.749|  58.3| 7.51
1079| 26.00| 5650.704| 5.085| -0.672|  67.4| 7.61
1080| 26.00| 5651.470| 4.473| -1.747|  45.3| 7.50
1081| 26.00| 5652.320| 4.260| -1.731|  58.3| 7.51
1082| 26.00| 5653.889| 4.386| -1.334|  66.4| 7.44
1083| 26.00| 5672.267| 4.584| -2.836|   9.4| 7.72
1084| 26.00| 5679.025| 4.652| -0.626|  81.3| 7.41
1085| 26.00| 5680.241| 4.186| -2.306|  41.7| 7.63
1086| 26.00| 5731.762| 4.256| -1.050|  86.8| 7.45
1087| 26.00| 5732.275| 4.991| -1.400|  34.7| 7.53
1088| 26.00| 5752.023| 4.548| -0.846|  74.6| 7.33
1089| 26.00| 5753.121| 4.260| -0.594|  93.8| 7.18
1090| 26.00| 5760.345| 3.642| -2.438|  60.7| 7.49
1091| 26.00| 5775.080| 4.220| -1.059|  89.7| 7.47
1092| 26.00| 5793.913| 4.220| -1.578|  68.8| 7.52
1093| 26.00| 5814.805| 4.283| -1.797|  55.5| 7.52
1094| 26.00| 5827.875| 3.283| -3.165|  53.0| 7.60
1095| 26.00| 5835.098| 4.256| -2.113|  38.9| 7.45
1096| 26.00| 5837.700| 4.294| -2.255|  33.1| 7.52
1097| 26.00| 5845.266| 5.033| -1.673|  21.7| 7.53
1098| 26.00| 5849.682| 3.695| -2.885|  36.9| 7.50
1100| 26.00| 5853.149| 1.485| -5.089|  63.3| 7.43
1101| 26.00| 5856.083| 4.294| -1.513|  69.6| 7.58
1102| 26.00| 5858.779| 4.220| -2.156|  41.6| 7.51
1103| 26.00| 5859.578| 4.548| -0.489|  97.3| 7.46
1104| 26.00| 5861.107| 4.283| -2.327|  31.2| 7.53
1105| 26.00| 5880.029| 4.558| -1.877|  27.5| 7.32
1106| 26.00| 5881.279| 4.607| -1.741|  46.3| 7.67
1107| 26.00| 5902.485| 4.593| -1.783|  35.8| 7.47
1108| 26.00| 5905.689| 4.652| -0.650|  83.7| 7.47
1109| 26.00| 5916.249| 2.453| -2.882| 105.9| 7.42
1110| 26.00| 5927.786| 4.652| -0.987|  66.3| 7.41
1111| 26.00| 5929.667| 4.548| -1.140|  67.6| 7.46
1112| 26.00| 5934.653| 3.929| -1.015| 104.6| 7.42
1113| 26.00| 5969.559| 4.283| -2.732|  22.6| 7.72
1114| 26.00| 5976.157| 4.294| -3.155|   7.8| 7.59
1115| 26.00| 5984.814| 4.733| -0.129| 108.7| 7.54
1116| 26.00| 5987.066| 4.795| -0.307| 100.8| 7.65
1117| 26.00| 6003.010| 3.882| -0.903| 113.8| 7.43
1118| 26.00| 6027.050| 4.076| -1.065|  94.3| 7.42
1119| 26.00| 6034.033| 4.312| -2.335|  35.2| 7.66
1120| 26.00| 6093.666| 4.607| -1.297|  60.7| 7.53
1121| 26.00| 6094.364| 4.652| -1.557|  48.9| 7.59
1122| 26.00| 6096.662| 3.984| -1.758|  73.9| 7.51
1123| 26.00| 6105.152| 4.548| -1.916|  39.3| 7.61
1124| 26.00| 6127.909| 4.143| -1.352|  87.6| 7.62
1125| 26.00| 6165.361| 4.143| -1.434|  75.4| 7.42
1126| 26.00| 6187.398| 2.832| -4.094|  33.6| 7.55
1127| 26.00| 6187.987| 3.943| -1.587|  86.4| 7.56
1128| 26.00| 6199.507| 2.559| -4.283|  40.6| 7.53
1130| 26.00| 6220.776| 3.882| -2.322|  45.4| 7.33
1131| 26.00| 6221.670| 0.859| -6.441|  37.6| 7.20
1132| 26.00| 6226.730| 3.883| -2.055|  65.0| 7.47
1133| 26.00| 6229.225| 2.845| -2.877|  96.4| 7.64
1134| 26.00| 6302.494| 3.686| -1.163| 118.6| 7.45
1135| 26.00| 6330.838| 4.733| -1.152|  57.7| 7.46
1137| 26.00| 6367.111| 4.795| -2.373|   7.2| 7.35
1138| 26.00| 6392.538| 2.279| -3.939|  75.5| 7.49
1139| 26.00| 6436.411| 4.186| -2.337|  42.0| 7.64
1140| 26.00| 6472.150| 4.371| -3.140|   9.2| 7.73
1142| 26.00| 6496.469| 4.795| -0.483|  96.6| 7.68
1143| 26.00| 6591.325| 4.593| -1.957|  35.2| 7.60
1144| 26.00| 6608.024| 2.279| -3.952|  77.3| 7.52
1145| 26.00| 6627.540| 4.548| -1.452|  65.1| 7.67
1146| 26.00| 6646.932| 2.608| -3.931|  66.3| 7.71
1147| 26.00| 6667.417| 2.453| -4.315|  46.6| 7.52
1149| 26.00| 6703.568| 2.759| -3.008|  92.7| 7.52
1150| 26.00| 6710.316| 1.485| -4.813|  94.3| 7.68
1151| 26.00| 6712.441| 4.988| -2.071|  23.3| 7.90
1152| 26.00| 6725.353| 4.103| -2.178|  53.7| 7.59
1153| 26.00| 6726.661| 4.607| -1.003|  73.0| 7.44
1154| 26.00| 6732.070| 4.584| -2.111|  26.4| 7.54
1155| 26.00| 6733.151| 4.638| -1.403|  57.3| 7.56
1156| 26.00| 6745.090| 4.580| -2.065|  29.7| 7.57
1157| 26.00| 6745.955| 4.076| -2.632|  27.3| 7.46
1158| 26.00| 6746.953| 2.608| -4.337|  37.8| 7.56
1159| 26.00| 6783.264| 2.559| -4.550|  30.5| 7.53
1161| 26.00| 6801.864| 1.608| -5.779|  28.3| 7.53
1162| 26.00| 6806.847| 2.727| -3.098|  94.2| 7.58
1163| 26.00| 6810.257| 4.607| -0.927|  79.7| 7.51
1165| 26.00| 6828.590| 4.638| -0.790|  81.0| 7.43
1166| 26.00| 6833.224| 4.638| -1.988|  35.3| 7.68
1167| 26.00| 6839.831| 2.559| -3.362|  98.0| 7.70
1168| 26.00| 6843.648| 4.548| -0.764|  94.7| 7.58
1169| 26.00| 6855.159| 4.558| -0.575| 101.6| 7.51
1170| 26.00| 6857.243| 4.076| -2.053|  56.1| 7.49
1171| 26.00| 6859.477| 2.845| -4.644|  16.8| 7.66
1172| 26.00| 6861.945| 2.424| -3.787|  79.0| 7.55
1173| 26.00| 6862.492| 4.558| -1.405|  63.1| 7.57
1174| 26.00| 6898.289| 4.220| -2.108|  44.5| 7.48
1175| 26.00| 6916.678| 4.154| -1.197|  89.5| 7.39
1177| 26.00| 6988.523| 2.404| -3.442|  99.3| 7.58
1178| 26.00| 6999.878| 4.103| -1.351|  90.2| 7.48
1179| 26.00| 7000.618| 4.143| -2.106|  61.7| 7.74
1180| 26.00| 7007.963| 4.178| -1.830|  66.6| 7.59
1181| 26.00| 7010.333| 4.580| -1.888|  54.7| 7.92
1182| 26.00| 7022.953| 4.191| -1.061|  96.7| 7.43
1183| 26.00| 7024.059| 4.076| -1.934|  77.7| 7.82
1184| 26.00| 7031.420| 4.988| -2.408|  11.9| 7.85
1185| 26.00| 7038.222| 4.217| -1.115| 117.2| 7.88
1186| 26.00| 7057.950| 3.654| -3.420|  24.9| 7.66
1187| 26.00| 7069.533| 2.559| -4.296|  42.1| 7.52
1189| 26.00| 7083.395| 4.913| -1.250|  45.2| 7.47
1190| 26.00| 7086.722| 3.602| -2.507|  69.4| 7.59
1191| 26.00| 7090.378| 4.230| -0.992| 115.7| 7.74
1192| 26.00| 7107.460| 4.186| -1.935|  71.5| 7.82
1193| 26.00| 7114.549| 2.692| -3.936|  51.9| 7.51
1194| 26.00| 7132.979| 4.076| -1.595|  75.7| 7.42
1195| 26.00| 7142.503| 4.956| -0.892|  79.0| 7.83
1196| 26.00| 7151.470| 2.484| -3.563| 105.1| 7.88
1197| 26.00| 7158.474| 3.654| -2.759|  61.2| 7.74
1198| 26.00| 7179.993| 1.485| -4.772| 106.6| 7.82
1199| 26.00| 7212.432| 4.956| -0.992|  57.6| 7.51
1201| 26.00| 7219.678| 4.076| -1.519|  81.2| 7.44
1202| 26.00| 7284.838| 4.143| -1.578|  73.9| 7.43
1203| 26.00| 7348.498| 4.143| -2.751|  39.1| 7.89
1204| 26.00| 7351.545| 4.956| -0.699|  73.6| 7.52
1205| 26.00| 7396.504| 4.988| -1.555|  28.6| 7.49
1206| 26.00| 7418.320| 4.143| -2.857|  19.3| 7.53
1207| 26.00| 7430.541| 2.588| -3.777|  70.5| 7.54
1208| 26.00| 7440.952| 4.913| -0.607|  85.4| 7.57
1209| 26.00| 7443.018| 4.186| -1.655|  84.1| 7.78
1210| 26.00| 7454.001| 4.186| -2.285|  54.1| 7.78
1211| 26.00| 7461.521| 2.559| -3.458|  98.9| 7.72
1214| 26.00| 7491.649| 4.301| -0.966|  96.9| 7.43
2001| 26.01| 4508.288| 2.855| -2.446|  89.3| 7.28
2002| 26.01| 5325.553| 3.221| -3.210|  41.5| 7.32
2003| 26.01| 5425.257| 3.199| -3.221|  49.4| 7.52
2004| 26.01| 5427.826| 6.724| -1.487|   7.1| 7.91
2005| 26.01| 5991.376| 3.153| -3.540|  44.3| 7.67
2006| 26.01| 6084.111| 3.199| -3.791|  32.7| 7.67
2008| 26.01| 6149.258| 3.889| -2.720|  35.2| 7.47
2010| 26.01| 6247.557| 3.892| -2.336|  42.9| 7.31
2011| 26.01| 6269.967| 3.245| -4.355|  14.7| 7.68
2012| 26.01| 6446.410| 6.222| -1.938|   2.8| 7.45
2013| 26.01| 6456.383| 3.903| -2.142|  59.3| 7.54

