#
#   VizieR Astronomical Server vizier
#    Date: 2021-10-02T18:28:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61589645336d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/450/397&tab:{J/MNRAS/450/397/tablee1}&key:source=J/MNRAS/450/397/tablee1&HTTPPRM:&&-ref=VIZ61589645336d&-out.src=J/MNRAS/450/397/tablee1&-out=Line&-out=Elem&-out=lambda&-out=EP(low)&-out=loggf&-out=EW(Fe)29&EW(Fe)29=not null&-out=logeps(Fe)29&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-order=I&-oc.form=dec&-out.max=unlimited&-out.form=| -Separated-Values&undefined=CDS, France&
#-source=J/MNRAS/450/397/tablee1
#-order=I
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW(Fe)29
#EW(Fe)29=!=0
#-out=logeps(Fe)29
#

#RESOURCE=yCat_74500397
#Name: J/MNRAS/450/397
#Title: Spectroscopic study of RGs in the Kepler field (Takeda+, 2015)
#Table	J_MNRAS_450_397_tablee1:
#Name: J/MNRAS/450/397/tablee1
#Title: EWs of Fe I/Fe II lines and corresponding Fe abundance
#Column	Line	(I4)	[102/2014] Line number (cf. Takeda et al. 2005, J/PASJ/57/27)	[ucd=meta.number]
#Column	Elem	(F6.2)	[26/26.01] Element code (26.00 for Fe I, 26.01 for Fe II)	[ucd=phys.atmol.number]
#Column	lambda	(F9.3)	[4365.8/7495.06] Line (air) wavelength ({AA})	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	[0.087/6.724] Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F7.3)	[-6.477/0.083] log(gf) value (dex)	[ucd=stat.value;arith.zp]
#Column	EW(Fe)29	(F6.1)	[0/118.4] Fe line equivalent width for KIC 05737655 (m{AA}) (1)	[ucd=spect.line.eqWidth]
#Column	logeps(Fe)29	(F5.2)	[0/7.12] Line-by-line Fe abundance for KIC 05737655 (dex) (1)	[ucd=phys.abund.Fe]
Line|Elem|lambda|EP(low)|loggf|EW(Fe)29|logeps(Fe)29
 141| 26.00| 6593.871| 2.433| -2.359| 103.3| 6.95
 142| 26.00| 6609.110| 2.559| -2.616|  81.0| 6.91
 143| 26.00| 6625.021| 1.010| -5.307|  35.1| 6.96
 144| 26.00| 6667.725| 4.580| -2.125|   8.7| 7.09
 145| 26.00| 6699.162| 4.590| -2.081|   7.0| 6.95
 146| 26.00| 6739.520| 1.557| -4.790|  21.0| 6.77
 147| 26.00| 6750.150| 2.424| -2.570|  93.1| 6.94
 148| 26.00| 6752.705| 4.640| -1.186|  28.9| 6.86
 149| 26.00| 6793.252| 4.080| -2.366|  11.3| 6.89
 150| 26.00| 6804.001| 4.650| -1.522|  20.2| 6.99
 151| 26.00| 6804.275| 4.580| -1.776|  12.0| 6.89
 152| 26.00| 6837.016| 4.590| -1.750|  15.6| 7.01
 153| 26.00| 6854.838| 4.590| -1.876|   9.0| 6.86
 154| 26.00| 6945.203| 2.424| -2.456| 103.1| 7.00
 155| 26.00| 6971.933| 3.020| -3.344|  21.8| 7.01
 156| 26.00| 6978.850| 2.484| -2.461|  87.6| 6.76
 158| 26.00| 7189.151| 3.070| -2.658|  38.3| 6.72
 159| 26.00| 7401.688| 4.190| -1.549|  44.0| 6.99
 204| 26.01| 5234.625| 3.221| -2.271|  95.1| 6.86
 205| 26.01| 5264.812| 3.230| -3.108|  54.8| 6.83
 206| 26.01| 5414.073| 3.221| -3.568|  34.5| 6.84
 207| 26.01| 5525.125| 3.267| -4.007|  18.7| 6.93
 210| 26.01| 7222.394| 3.889| -3.175|  25.3| 6.91
 211| 26.01| 7224.487| 3.889| -3.196|  25.2| 6.92
1029| 26.00| 5197.929| 4.301| -1.438|  30.4| 6.85
1030| 26.00| 5206.801| 4.283| -2.396|   4.2| 6.76
1031| 26.00| 5223.187| 3.635| -2.231|  29.8| 6.88
1032| 26.00| 5242.491| 3.634| -0.906|  92.4| 6.89
1033| 26.00| 5253.023| 2.279| -3.819|  26.7| 6.87
1035| 26.00| 5285.118| 4.434| -1.465|  22.7| 6.83
1036| 26.00| 5288.528| 3.695| -1.525|  61.1| 6.87
1037| 26.00| 5300.412| 4.593| -2.234|   6.4| 7.12
1038| 26.00| 5301.327| 4.386| -2.702|   2.4| 6.92
1039| 26.00| 5308.707| 4.256| -2.361|   4.1| 6.68
1040| 26.00| 5320.039| 3.642| -2.486|  21.5| 6.94
1041| 26.00| 5321.109| 4.434| -1.198|  35.9| 6.86
1042| 26.00| 5365.396| 3.573| -1.202|  85.3| 6.93
1043| 26.00| 5376.826| 4.294| -1.983|  12.0| 6.85
1044| 26.00| 5379.574| 3.695| -1.447|  66.2| 6.89
1045| 26.00| 5385.579| 3.695| -3.008|   4.1| 6.70
1046| 26.00| 5389.479| 4.415| -0.285|  76.4| 6.75
1047| 26.00| 5395.215| 4.446| -1.682|  17.3| 6.90
1048| 26.00| 5398.277| 4.446| -0.483|  67.0| 6.78
1049| 26.00| 5401.264| 4.320| -1.666|  23.1| 6.91
1050| 26.00| 5406.770| 4.371| -1.394|  31.9| 6.90
1051| 26.00| 5409.133| 4.371| -0.934|  53.7| 6.88
1052| 26.00| 5417.039| 4.415| -1.347|  29.4| 6.85
1054| 26.00| 5436.297| 4.386| -1.250|  31.1| 6.75
1055| 26.00| 5436.587| 2.279| -3.264|  60.8| 6.96
1056| 26.00| 5441.354| 4.312| -1.511|  26.6| 6.83
1058| 26.00| 5464.278| 4.143| -1.545|  37.8| 6.92
1059| 26.00| 5470.092| 4.446| -1.522|  19.7| 6.81
1060| 26.00| 5473.164| 4.191| -1.946|  16.4| 6.85
1061| 26.00| 5473.900| 4.154| -0.634|  73.0| 6.71
1062| 26.00| 5517.069| 4.209| -1.979|  12.6| 6.77
1063| 26.00| 5522.447| 4.209| -1.373|  38.1| 6.82
1064| 26.00| 5546.500| 4.371| -1.018|  48.7| 6.85
1065| 26.00| 5549.948| 3.695| -2.762|  12.3| 6.97
1066| 26.00| 5552.691| 4.956| -1.704|   5.0| 6.86
1067| 26.00| 5559.638| 4.988| -1.614|   5.9| 6.89
1068| 26.00| 5568.072| 4.154| -2.889|   2.8| 6.86
1069| 26.00| 5568.867| 3.635| -2.817|   8.6| 6.78
1070| 26.00| 5577.031| 5.033| -1.446|   6.9| 6.84
1071| 26.00| 5587.573| 4.143| -1.593|  33.8| 6.88
1072| 26.00| 5595.075| 5.064| -1.633|   4.1| 6.82
1073| 26.00| 5608.974| 4.209| -2.287|  10.1| 6.96
1074| 26.00| 5618.631| 4.209| -1.233|  46.0| 6.83
1075| 26.00| 5619.587| 4.386| -1.409|  27.6| 6.83
1076| 26.00| 5636.696| 3.640| -2.495|  18.7| 6.85
1077| 26.00| 5638.262| 4.220| -0.663|  73.6| 6.82
1078| 26.00| 5650.020| 5.099| -0.749|  23.4| 6.84
1079| 26.00| 5650.704| 5.085| -0.672|  28.9| 6.88
1080| 26.00| 5651.470| 4.473| -1.747|  14.7| 6.90
1081| 26.00| 5652.320| 4.260| -1.731|  21.0| 6.84
1082| 26.00| 5653.889| 4.386| -1.334|  31.6| 6.84
1084| 26.00| 5679.025| 4.652| -0.626|  48.9| 6.77
1085| 26.00| 5680.241| 4.186| -2.306|   9.5| 6.92
1086| 26.00| 5731.762| 4.256| -1.050|  54.8| 6.86
1087| 26.00| 5732.275| 4.991| -1.400|  10.8| 6.96
1088| 26.00| 5752.023| 4.548| -0.846|  46.8| 6.83
1089| 26.00| 5753.121| 4.260| -0.594|  73.2| 6.78
1090| 26.00| 5760.345| 3.642| -2.438|  23.2| 6.91
1091| 26.00| 5775.080| 4.220| -1.059|  55.0| 6.83
1092| 26.00| 5793.913| 4.220| -1.578|  29.9| 6.85
1093| 26.00| 5814.805| 4.283| -1.797|  17.7| 6.83
1094| 26.00| 5827.875| 3.283| -3.165|  12.9| 6.92
1095| 26.00| 5835.098| 4.256| -2.113|  12.6| 6.94
1096| 26.00| 5837.700| 4.294| -2.255|   6.9| 6.83
1097| 26.00| 5845.266| 5.033| -1.673|   4.6| 6.87
1098| 26.00| 5849.682| 3.695| -2.885|   8.0| 6.86
1099| 26.00| 5852.217| 4.548| -1.127|  34.3| 6.86
1100| 26.00| 5853.149| 1.485| -5.089|  13.1| 6.80
1101| 26.00| 5856.083| 4.294| -1.513|  28.9| 6.84
1102| 26.00| 5858.779| 4.220| -2.156|  10.6| 6.85
1103| 26.00| 5859.578| 4.548| -0.489|  65.1| 6.82
1104| 26.00| 5861.107| 4.283| -2.327|   6.8| 6.88
1105| 26.00| 5880.029| 4.558| -1.877|   5.7| 6.65
1106| 26.00| 5881.279| 4.607| -1.741|  12.2| 6.93
1107| 26.00| 5902.485| 4.593| -1.783|   9.4| 6.83
1108| 26.00| 5905.689| 4.652| -0.650|  53.3| 6.87
1109| 26.00| 5916.249| 2.453| -2.882|  70.0| 6.91
1110| 26.00| 5927.786| 4.652| -0.987|  34.4| 6.83
1111| 26.00| 5929.667| 4.548| -1.140|  34.0| 6.86
1112| 26.00| 5934.653| 3.929| -1.015|  77.5| 6.90
1113| 26.00| 5969.559| 4.283| -2.732|   3.6| 6.99
1114| 26.00| 5976.157| 4.294| -3.155|   1.8| 7.11
1115| 26.00| 5984.814| 4.733| -0.129|  69.5| 6.75
1116| 26.00| 5987.066| 4.795| -0.307|  61.8| 6.84
1117| 26.00| 6003.010| 3.882| -0.903|  77.2| 6.72
1118| 26.00| 6027.050| 4.076| -1.065|  65.2| 6.86
1119| 26.00| 6034.033| 4.312| -2.335|   7.9| 6.98
1120| 26.00| 6093.666| 4.607| -1.297|  22.3| 6.81
1121| 26.00| 6094.364| 4.652| -1.557|  12.8| 6.82
1122| 26.00| 6096.662| 3.984| -1.758|  36.0| 6.88
1123| 26.00| 6105.152| 4.548| -1.916|   9.3| 6.90
1124| 26.00| 6127.909| 4.143| -1.352|  45.7| 6.81
1125| 26.00| 6165.361| 4.143| -1.434|  43.0| 6.87
1126| 26.00| 6187.398| 2.832| -4.094|   5.1| 6.87
1127| 26.00| 6187.987| 3.943| -1.587|  45.5| 6.84
1128| 26.00| 6199.507| 2.559| -4.283|   6.7| 6.88
1129| 26.00| 6213.429| 2.223| -2.562| 102.4| 6.92
1130| 26.00| 6220.776| 3.882| -2.322|  16.1| 6.84
1132| 26.00| 6226.730| 3.883| -2.055|  26.0| 6.84
1133| 26.00| 6229.225| 2.845| -2.877|  49.0| 6.94
1134| 26.00| 6302.494| 3.686| -1.163|  84.5| 6.87
1135| 26.00| 6330.838| 4.733| -1.152|  26.6| 6.90
1136| 26.00| 6335.328| 2.198| -2.349| 118.4| 6.96
1138| 26.00| 6392.538| 2.279| -3.939|  24.7| 6.87
1143| 26.00| 6591.325| 4.593| -1.957|   8.0| 6.90
1144| 26.00| 6608.024| 2.279| -3.952|  25.4| 6.88
1145| 26.00| 6627.540| 4.548| -1.452|  22.0| 6.86
1146| 26.00| 6646.932| 2.608| -3.931|  15.6| 6.97
1147| 26.00| 6667.417| 2.453| -4.315|   9.5| 6.93
1149| 26.00| 6703.568| 2.759| -3.008|  45.2| 6.87
1150| 26.00| 6710.316| 1.485| -4.813|  26.5| 6.84
1152| 26.00| 6725.353| 4.103| -2.178|  16.3| 6.92
1153| 26.00| 6726.661| 4.607| -1.003|  38.3| 6.83
1154| 26.00| 6732.070| 4.584| -2.111|   6.6| 6.94
1155| 26.00| 6733.151| 4.638| -1.403|  21.7| 6.90
1156| 26.00| 6745.090| 4.580| -2.065|   5.4| 6.80
1158| 26.00| 6746.953| 2.608| -4.337|   7.6| 7.01
1159| 26.00| 6783.264| 2.559| -4.550|   4.2| 6.72
1161| 26.00| 6801.864| 1.608| -5.779|   3.8| 6.98
1162| 26.00| 6806.847| 2.727| -3.098|  43.4| 6.89
1163| 26.00| 6810.257| 4.607| -0.927|  39.7| 6.78
1165| 26.00| 6828.590| 4.638| -0.790|  48.1| 6.84
1166| 26.00| 6833.224| 4.638| -1.988|   8.4| 6.99
1167| 26.00| 6839.831| 2.559| -3.362|  38.9| 6.87
1168| 26.00| 6843.648| 4.548| -0.764|  53.9| 6.82
1169| 26.00| 6855.159| 4.558| -0.575|  69.2| 6.92
1170| 26.00| 6857.243| 4.076| -2.053|  19.3| 6.85
1171| 26.00| 6859.477| 2.845| -4.644|   1.6| 6.88
1172| 26.00| 6861.945| 2.424| -3.787|  24.9| 6.86
1173| 26.00| 6862.492| 4.558| -1.405|  26.0| 6.91
1175| 26.00| 6916.678| 4.154| -1.197|  57.2| 6.86
1176| 26.00| 6960.338| 4.593| -1.890|  10.1| 6.93
1177| 26.00| 6988.523| 2.404| -3.442|  44.8| 6.87
1178| 26.00| 6999.878| 4.103| -1.351|  50.5| 6.83
1179| 26.00| 7000.618| 4.143| -2.106|  16.2| 6.88
1180| 26.00| 7007.963| 4.178| -1.830|  26.1| 6.91
1181| 26.00| 7010.333| 4.580| -1.888|   8.3| 6.81
1182| 26.00| 7022.953| 4.191| -1.061|  63.7| 6.88
1183| 26.00| 7024.059| 4.076| -1.934|  20.2| 6.75
1185| 26.00| 7038.222| 4.217| -1.115|  56.8| 6.83
1186| 26.00| 7057.950| 3.654| -3.420|   3.9| 6.96
1187| 26.00| 7069.533| 2.559| -4.296|   5.3| 6.73
1188| 26.00| 7072.814| 4.076| -2.722|   6.7| 6.98
1194| 26.00| 7132.979| 4.076| -1.595|  38.2| 6.81
1199| 26.00| 7212.432| 4.956| -0.992|  19.8| 6.77
1200| 26.00| 7213.830| 4.260| -2.269|   6.7| 6.73
1201| 26.00| 7219.678| 4.076| -1.519|  44.1| 6.84
1202| 26.00| 7284.838| 4.143| -1.578|  34.4| 6.78
1203| 26.00| 7348.498| 4.143| -2.751|   7.0| 7.09
1204| 26.00| 7351.545| 4.956| -0.699|  40.9| 6.93
1205| 26.00| 7396.504| 4.988| -1.555|  10.5| 7.03
1207| 26.00| 7430.541| 2.588| -3.777|  18.8| 6.84
1208| 26.00| 7440.952| 4.913| -0.607|  44.0| 6.85
1209| 26.00| 7443.018| 4.186| -1.655|  32.1| 6.85
1211| 26.00| 7461.521| 2.559| -3.458|  34.4| 6.84
1212| 26.00| 7463.412| 5.064| -1.636|   4.4| 6.78
1213| 26.00| 7484.297| 5.085| -1.556|   9.4| 7.08
1214| 26.00| 7491.649| 4.301| -0.966|  60.5| 6.82
1215| 26.00| 7495.060| 4.220|  0.083| 115.7| 6.67
2002| 26.01| 5325.553| 3.221| -3.210|  51.5| 6.84
2003| 26.01| 5425.257| 3.199| -3.221|  50.7| 6.82
2004| 26.01| 5427.826| 6.724| -1.487|   2.7| 6.94
2005| 26.01| 5991.376| 3.153| -3.540|  40.5| 6.86
2006| 26.01| 6084.111| 3.199| -3.791|  26.9| 6.85
2007| 26.01| 6141.033| 3.230| -4.872|   3.0| 6.83
2008| 26.01| 6149.258| 3.889| -2.720|  39.2| 6.81
2009| 26.01| 6239.953| 3.889| -3.423|  16.9| 6.93
2010| 26.01| 6247.557| 3.892| -2.336|  58.3| 6.83
2011| 26.01| 6269.967| 3.245| -4.355|  11.0| 6.95

