#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-25T15:41:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614f42ad3a8831	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/449/127/table1
#-nav=cat:J/A+A/449/127&tab:{J/A+A/449/127/table1}&key:source=J/A+A/449/127/table1&HTTPPRM:&&-ref=VIZ614f42ad3a8831&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&Name=HD207978&-out=Lambda&-out=El&El=Fe&-out=Ion&-out=LEP&-out=loggf&-out=Egamma&-out=EW&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/449/127/table1
#-source=J/A+A/449/127/table1
#-out=Name
#Name=HD207978
#-out=Lambda
#-out=El
#El=Fe
#-out=Ion
#-out=LEP
#-out=loggf
#-out=Egamma
#-out=EW
#

#RESOURCE=yCat_34490127
#Name: J/A+A/449/127
#Title: Chemical abundances of 32 mildly metal-poor stars (Zhang+, 2006)
#Table	J_A_A_449_127_table1:
#Name: J/A+A/449/127/table1
#Title: Equivalent widths data
#Column	Name	(a9)	Star name	[ucd=meta.id;meta.main]
#Column	Lambda	(F8.3)	Wavelength	[ucd=em.wl]
#Column	El	(A2)	Element	[ucd=phys.atmol.element]
#Column	Ion	(A1)	Ionisation	[ucd=phys.atmol.ionStage;phys.atmol.ionization]
#Column	LEP	(F5.2)	Lower excitation potential	[ucd=phys.atmol.excitation;stat.min]
#Column	loggf	(F6.3)	log of oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	Egamma	(F4.1)	Correction factor to Unsoeld broadening	[ucd=instr.param]
#Column	EW	(F5.1)	? Equivalent width	[ucd=spect.line.eqWidth]
Name|Lambda|El|Ion|LEP|loggf|Egamma|EW
HD207978 |6297.799|Fe|1| 2.22|-2.733| 1.2|
HD207978 |6301.508|Fe|1| 3.65|-0.718| 1.4| 81.0
HD207978 |6322.694|Fe|1| 2.59|-2.446| 1.3| 20.5
HD207978 |6335.337|Fe|1| 2.20|-2.293| 1.2| 59.7
HD207978 |6336.830|Fe|1| 3.69|-0.856| 1.4| 60.7
HD207978 |6344.155|Fe|1| 2.43|-2.897| 1.3|
HD207978 |6358.687|Fe|1| 0.86|-4.166| 1.1| 21.4
HD207978 |6380.750|Fe|1| 4.19|-1.290| 1.4| 17.7
HD207978 |6393.612|Fe|1| 2.43|-1.561| 1.3| 82.0
HD207978 |6408.026|Fe|1| 3.69|-1.011| 1.4|
HD207978 |6411.658|Fe|1| 3.65|-0.646| 1.4| 72.5
HD207978 |6430.856|Fe|1| 2.18|-1.976| 1.2| 61.0
HD207978 |6481.878|Fe|1| 2.28|-2.972| 1.2| 17.4
HD207978 |6494.994|Fe|1| 2.40|-1.304| 1.3|
HD207978 |6498.945|Fe|1| 0.96|-4.699| 1.1|
HD207978 |6518.373|Fe|1| 2.83|-2.455| 1.4|
HD207978 |6593.884|Fe|1| 2.43|-2.422| 1.3| 38.8
HD207978 |6609.118|Fe|1| 2.56|-2.661| 1.4| 25.0
HD207978 |6677.997|Fe|1| 2.69|-1.418| 1.4| 78.0
HD207978 |6750.164|Fe|1| 2.42|-2.604| 1.3| 29.0
HD207978 |6752.716|Fe|1| 4.64|-1.280| 1.4| 12.3
HD207978 |6810.267|Fe|1| 4.61|-0.986| 1.4| 10.4
HD207978 |6855.166|Fe|1| 4.56|-0.614| 1.4| 27.0
HD207978 |6858.155|Fe|1| 4.61|-0.930| 1.4|
HD207978 |6945.210|Fe|1| 2.42|-2.452| 1.3| 28.0
HD207978 |6978.862|Fe|1| 2.48|-2.490| 1.3|
HD207978 |7219.680|Fe|1| 4.07|-1.621| 1.4|
HD207978 |7401.691|Fe|1| 4.19|-1.599| 1.4|  7.8
HD207978 |7418.672|Fe|1| 4.14|-1.445| 1.4| 14.2
HD207978 |7511.031|Fe|1| 4.18| 0.099| 1.4| 84.0
HD207978 |7710.367|Fe|1| 4.22|-1.112| 1.4| 28.0
HD207978 |7723.210|Fe|1| 2.28|-3.513| 1.2|
HD207978 |7748.284|Fe|1| 2.95|-1.751| 1.4|
HD207978 |7912.870|Fe|1| 0.86|-4.848| 1.1|
HD207978 |8220.388|Fe|1| 4.32| 0.275| 1.4|
HD207978 |8327.061|Fe|1| 2.20|-1.440| 1.2|
HD207978 |5991.378|Fe|2| 3.15|-3.557| 2.5| 28.4
HD207978 |6149.249|Fe|2| 3.89|-2.724| 2.5| 30.0
HD207978 |6247.562|Fe|2| 3.89|-2.329| 2.5| 54.0
HD207978 |6416.928|Fe|2| 3.89|-2.740| 2.5| 31.5
HD207978 |6432.683|Fe|2| 2.89|-3.500| 2.5| 31.0
HD207978 |6456.391|Fe|2| 3.90|-2.075| 2.5|
HD207978 |6516.083|Fe|2| 2.89|-3.199| 2.5|
HD207978 |7711.731|Fe|2| 3.90|-2.470| 2.5| 43.4

