#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-24T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614e0aad5022e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/468/663&tab:{J/A+A/468/663/table3}&key:source=J/A+A/468/663/table3&HTTPPRM:&
#-source=J/A+A/468/663/table3
#-order=I
#-out=Star
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW
#-out=A(Fe)
#

#RESOURCE=yCat_34680663
#Name: J/A+A/468/663
#Title: Li abundances in solar-analog stars (Takeda+, 2007)
#Table	J_A_A_468_663_table3:
#Name: J/A+A/468/663/table3
#Title: EWs of Fe I/Fe II lines and resulting Fe abundances
#Column	Star	(A10)	Star name (Sun/Moon or HIP NNNNNN)	[ucd=meta.id;meta.main]
#Column	Line	(I4)	Line No. (cf. Takeda et al. 2005, Cat. <J/PASJ/57/27>)	[ucd=meta.id;spect.line]
#Column	Elem	(F5.2)	26.00 for Fe I, 26.01 for Fe II	[ucd=meta.note]
#Column	lambda	(F8.3)	Line wavelength	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F6.3)	log(gf) value	[ucd=stat.value;arith.zp]
#Column	EW	(F5.1)	? Fe line equivalent width	[ucd=spect.line.eqWidth]
#Column	A(Fe)	(F5.2)	? Line-by-line Fe abundance	[ucd=phys.abund.Fe]
Star|Line|Elem|lambda|EP(low)|loggf|EW|A(Fe)
Sun/Moon  | 130|26.00|6271.276| 3.330|-2.751| 22.8| 7.49
Sun/Moon  | 131|26.00|6280.616| 0.859|-4.363| 66.4| 7.57
Sun/Moon  | 132|26.00|6297.792| 2.223|-2.740| 72.9| 7.46
Sun/Moon  | 133|26.00|6311.500| 2.832|-3.141| 27.4| 7.51
Sun/Moon  | 134|26.00|6322.690| 2.588|-2.326| 74.8| 7.46
Sun/Moon  | 135|26.00|6353.835| 0.915|-6.477|  1.5| 7.48
Sun/Moon  | 136|26.00|6481.869| 2.279|-2.933| 61.8| 7.46
Sun/Moon  | 137|26.00|6498.937| 0.958|-4.632| 45.0| 7.48
Sun/Moon  | 138|26.00|6518.365| 2.830|-2.564| 54.3| 7.48
Sun/Moon  | 139|26.00|6574.225| 0.990|-4.980| 28.3| 7.51
Sun/Moon  | 140|26.00|6581.207| 1.480|-4.751| 18.4| 7.51
Sun/Moon  | 141|26.00|6593.871| 2.433|-2.359| 84.3| 7.50
Sun/Moon  | 142|26.00|6609.110| 2.559|-2.616| 66.1| 7.51
Sun/Moon  | 143|26.00|6625.021| 1.010|-5.307| 16.7| 7.54
Sun/Moon  | 144|26.00|6667.725| 4.580|-2.125|  8.6| 7.54
Sun/Moon  | 145|26.00|6699.162| 4.590|-2.081|  8.5| 7.50
Sun/Moon  | 146|26.00|6739.520| 1.557|-4.790| 13.2| 7.44
Sun/Moon  | 147|26.00|6750.150| 2.424|-2.570| 75.4| 7.51
Sun/Moon  | 148|26.00|6752.705| 4.640|-1.186| 36.3| 7.49
Sun/Moon  | 149|26.00|6793.252| 4.080|-2.366| 12.3| 7.47
Sun/Moon  | 150|26.00|6804.001| 4.650|-1.522| 24.4| 7.56
Sun/Moon  | 151|26.00|6804.275| 4.580|-1.776| 14.2| 7.44
Sun/Moon  |1063|26.00|5522.447| 4.209|-1.373| 43.3| 7.49
Sun/Moon  |1064|26.00|5546.500| 4.371|-1.018| 51.9| 7.49
Sun/Moon  |1065|26.00|5549.948| 3.695|-2.762| 11.0| 7.50
Sun/Moon  |1066|26.00|5552.691| 4.956|-1.704|  8.0| 7.49
Sun/Moon  |1067|26.00|5559.638| 4.988|-1.614|  8.7| 7.47
Sun/Moon  |1068|26.00|5568.072| 4.154|-2.889|     |
Sun/Moon  |1069|26.00|5568.867| 3.635|-2.817|     |
Sun/Moon  |1070|26.00|5577.031| 5.033|-1.446| 11.7| 7.49
Sun/Moon  |1071|26.00|5587.573| 4.143|-1.593| 34.5| 7.44
Sun/Moon  |1072|26.00|5595.075| 5.064|-1.633|  6.9| 7.45
Sun/Moon  |1073|26.00|5608.974| 4.209|-2.287| 11.0| 7.52
Sun/Moon  |1074|26.00|5618.631| 4.209|-1.233| 50.5| 7.50
Sun/Moon  |1075|26.00|5619.587| 4.386|-1.409| 33.8| 7.48
Sun/Moon  |1076|26.00|5636.696| 3.640|-2.495| 21.0| 7.53
Sun/Moon  |1077|26.00|5638.262| 4.220|-0.663| 79.2| 7.52
Sun/Moon  |1078|26.00|5650.020| 5.099|-0.749| 35.4| 7.49
Sun/Moon  |1079|26.00|5650.704| 5.085|-0.672| 39.0| 7.52
Sun/Moon  |1080|26.00|5651.470| 4.473|-1.747| 18.3| 7.50
Sun/Moon  |1081|26.00|5652.320| 4.260|-1.731| 27.4| 7.53
Sun/Moon  |1082|26.00|5653.889| 4.386|-1.334| 37.9| 7.48
Sun/Moon  |1083|26.00|5672.267| 4.584|-2.836|     |
Sun/Moon  |1084|26.00|5679.025| 4.652|-0.626| 60.3| 7.52
Sun/Moon  |1085|26.00|5680.241| 4.186|-2.306| 11.0| 7.51
Sun/Moon  |1086|26.00|5731.762| 4.256|-1.050| 58.8| 7.52
Sun/Moon  |1087|26.00|5732.275| 4.991|-1.400| 14.5| 7.51
Sun/Moon  |1088|26.00|5752.023| 4.548|-0.846| 54.3| 7.50
Sun/Moon  |1089|26.00|5753.121| 4.260|-0.594| 79.9| 7.51
Sun/Moon  |1090|26.00|5760.345| 3.642|-2.438| 23.7| 7.54
Sun/Moon  |1091|26.00|5775.080| 4.220|-1.059| 59.7| 7.50
Sun/Moon  |1092|26.00|5793.913| 4.220|-1.578| 33.6| 7.47
Sun/Moon  |1093|26.00|5814.805| 4.283|-1.797| 24.3| 7.53
Sun/Moon  |1094|26.00|5827.875| 3.283|-3.165| 12.4| 7.55
Sun/Moon  |1095|26.00|5835.098| 4.256|-2.113| 13.6| 7.49
Sun/Moon  |1096|26.00|5837.700| 4.294|-2.255| 10.2| 7.52
Sun/Moon  |1097|26.00|5845.266| 5.033|-1.673|     |
Sun/Moon  |1098|26.00|5849.682| 3.695|-2.885|  7.9| 7.45
Sun/Moon  |1099|26.00|5852.217| 4.548|-1.127| 39.6| 7.47
Sun/Moon  |1100|26.00|5853.149| 1.485|-5.089|  7.1| 7.42
Sun/Moon  |1101|26.00|5856.083| 4.294|-1.513| 33.0| 7.47
Sun/Moon  |1102|26.00|5858.779| 4.220|-2.156| 12.9| 7.47
Sun/Moon  |1103|26.00|5859.578| 4.548|-0.489| 72.8| 7.47
Sun/Moon  |1104|26.00|5861.107| 4.283|-2.327|  8.0| 7.46
Sun/Moon  |1105|26.00|5880.029| 4.558|-1.877| 10.8| 7.42
Sun/Moon  |1106|26.00|5881.279| 4.607|-1.741| 15.6| 7.52
Sun/Moon  |1107|26.00|5902.485| 4.593|-1.783| 14.3| 7.51
Sun/Moon  |1108|26.00|5905.689| 4.652|-0.650| 58.1| 7.50
Sun/Moon  |1109|26.00|5916.249| 2.453|-2.882| 53.1| 7.45
Sun/Moon  |1110|26.00|5927.786| 4.652|-0.987| 42.8| 7.50
Sun/Moon  |1111|26.00|5929.667| 4.548|-1.140| 38.8| 7.47
Sun/Moon  |1112|26.00|5934.653| 3.929|-1.015| 76.9| 7.52
Sun/Moon  |1113|26.00|5969.559| 4.283|-2.732|  4.0| 7.53
Sun/Moon  |1114|26.00|5976.157| 4.294|-3.155|     |
Sun/Moon  |1115|26.00|5984.814| 4.733|-0.129| 82.6| 7.48
Sun/Moon  |1116|26.00|5987.066| 4.795|-0.307| 70.7| 7.51
Sun/Moon  |1117|26.00|6003.010| 3.882|-0.903| 82.6| 7.46
Sun/Moon  |1118|26.00|6027.050| 4.076|-1.065| 63.8| 7.48
Sun/Moon  |1119|26.00|6034.033| 4.312|-2.335|  8.3| 7.51
Sun/Moon  |1120|26.00|6093.666| 4.607|-1.297| 31.7| 7.51
Sun/Moon  |1121|26.00|6094.364| 4.652|-1.557| 19.3| 7.49
Sun/Moon  |1122|26.00|6096.662| 3.984|-1.758| 38.2| 7.51
Sun/Moon  |1123|26.00|6105.152| 4.548|-1.916| 12.4| 7.51
Sun/Moon  |1124|26.00|6127.909| 4.143|-1.352| 47.9| 7.48
Sun/Moon  |1125|26.00|6165.361| 4.143|-1.434| 44.9| 7.49
Sun/Moon  |1126|26.00|6187.398| 2.832|-4.094|  3.6| 7.43
Sun/Moon  |1127|26.00|6187.987| 3.943|-1.587|     |
Sun/Moon  |1128|26.00|6199.507| 2.559|-4.283|     |
Sun/Moon  |1129|26.00|6213.429| 2.223|-2.562| 82.1| 7.48
Sun/Moon  |1130|26.00|6220.776| 3.882|-2.322| 18.8| 7.49
Sun/Moon  |1131|26.00|6221.670| 0.859|-6.441|     |
Sun/Moon  |1132|26.00|6226.730| 3.883|-2.055| 29.6| 7.51
Sun/Moon  |1133|26.00|6229.225| 2.845|-2.877| 39.1| 7.52
Sun/Moon  |1134|26.00|6302.494| 3.686|-1.163| 83.0| 7.49
Sun/Moon  |1135|26.00|6330.838| 4.733|-1.152| 33.0| 7.50
Sun/Moon  |1136|26.00|6335.328| 2.198|-2.349| 97.5| 7.52
Sun/Moon  |1137|26.00|6367.111| 4.795|-2.373|     |
Sun/Moon  |1138|26.00|6392.538| 2.279|-3.939| 16.1| 7.44
Sun/Moon  |1139|26.00|6436.411| 4.186|-2.337| 11.4| 7.53
Sun/Moon  |1140|26.00|6472.150| 4.371|-3.140|  1.4| 7.53
Sun/Moon  |1141|26.00|6494.980| 2.404|-1.301|     |
Sun/Moon  |1142|26.00|6496.469| 4.795|-0.483| 62.1| 7.50
Sun/Moon  |1143|26.00|6591.325| 4.593|-1.957| 10.0| 7.47
Sun/Moon  |1144|26.00|6608.024| 2.279|-3.952| 17.0| 7.47
Sun/Moon  |1145|26.00|6627.540| 4.548|-1.452| 27.8| 7.49
Sun/Moon  |1146|26.00|6646.932| 2.608|-3.931| 10.9| 7.54
Sun/Moon  |1147|26.00|6667.417| 2.453|-4.315|  6.2| 7.50
Sun/Moon  |1148|26.00|6676.863| 4.558|-2.699|  2.1| 7.44
Sun/Moon  |1149|26.00|6703.568| 2.759|-3.008| 38.0| 7.51
Sun/Moon  |1150|26.00|6710.316| 1.485|-4.813| 15.6| 7.48
Sun/Moon  |1151|26.00|6712.441| 4.988|-2.071|     |
Sun/Moon  |1152|26.00|6725.353| 4.103|-2.178| 17.8| 7.51
Sun/Moon  |1153|26.00|6726.661| 4.607|-1.003| 46.8| 7.49
Sun/Moon  |1154|26.00|6732.070| 4.584|-2.111|  7.8| 7.48
Sun/Moon  |1155|26.00|6733.151| 4.638|-1.403| 28.2| 7.53
Sun/Moon  |1156|26.00|6745.090| 4.580|-2.065|  8.5| 7.47
Sun/Moon  |1157|26.00|6745.955| 4.076|-2.632|  7.1| 7.47
Sun/Moon  |1158|26.00|6746.953| 2.608|-4.337|  3.9| 7.45
Sun/Moon  |1159|26.00|6783.264| 2.559|-4.550|  3.2| 7.52
Sun/Moon  |1162|26.00|6806.847| 2.727|-3.098| 34.1| 7.48
Sun/Moon  |1163|26.00|6810.257| 4.607|-0.927| 48.7| 7.46
Sun/Moon  |1164|26.00|6824.825| 4.988|-2.125|  3.7| 7.53
Sun/Moon  | 207|26.01|5525.125| 3.267|-4.007| 13.5| 7.53
Sun/Moon  | 208|26.01|6432.680| 2.891|-3.579| 41.0| 7.48
Sun/Moon  | 209|26.01|6516.080| 2.891|-3.302| 52.9| 7.46
Sun/Moon  |2005|26.01|5991.376| 3.153|-3.540| 31.8| 7.50
Sun/Moon  |2006|26.01|6084.111| 3.199|-3.791| 21.5| 7.52
Sun/Moon  |2007|26.01|6141.033| 3.230|-4.872|  2.4| 7.52
Sun/Moon  |2008|26.01|6149.258| 3.889|-2.720| 35.9| 7.47
Sun/Moon  |2009|26.01|6239.953| 3.889|-3.423| 12.4| 7.47
Sun/Moon  |2010|26.01|6247.557| 3.892|-2.336| 53.2| 7.48
Sun/Moon  |2011|26.01|6269.967| 3.245|-4.355|  6.8| 7.49
Sun/Moon  |2012|26.01|6446.410| 6.222|-1.938|     |
Sun/Moon  |2013|26.01|6456.383| 3.903|-2.142| 63.0| 7.50
HIP   1499| 109|26.00|5600.226| 4.260|-1.429|     |
HIP   1499| 110|26.00|5661.348| 4.280|-1.790| 29.3| 7.64
HIP   1499| 111|26.00|5696.102| 4.550|-1.847|     |
HIP   1499| 112|26.00|5701.545| 2.560|-2.087| 97.7| 7.73
HIP   1499| 113|26.00|5705.466| 4.300|-1.433| 48.4| 7.72
HIP   1499| 114|26.00|5778.455| 2.590|-3.468| 31.2| 7.70
HIP   1499| 115|26.00|5784.657| 3.340|-2.615| 33.5| 7.64
HIP   1499| 116|26.00|5855.091| 4.607|-1.478| 32.0| 7.71
HIP   1499| 117|26.00|5909.970| 3.210|-2.579| 41.3| 7.64
HIP   1499| 118|26.00|5956.692| 0.859|-4.537|     |
HIP   1499| 119|26.00|6082.708| 2.223|-3.555| 43.6| 7.67
HIP   1499| 120|26.00|6120.244| 0.910|-5.906|  8.8| 7.72
HIP   1499| 121|26.00|6136.993| 2.198|-2.910|     |
HIP   1499| 122|26.00|6151.617| 2.176|-3.296| 60.8| 7.71
HIP   1499| 123|26.00|6173.341| 2.223|-2.888| 76.1| 7.67
HIP   1499| 124|26.00|6180.203| 2.730|-2.615| 66.4| 7.71
HIP   1499| 125|26.00|6200.314| 2.609|-2.360| 81.5| 7.66
HIP   1499| 126|26.00|6219.279| 2.198|-2.458|101.3| 7.71
HIP   1499| 127|26.00|6232.639| 3.650|-1.197| 93.7| 7.69
HIP   1499| 128|26.00|6240.645| 2.220|-3.269| 61.2| 7.74
HIP   1499| 129|26.00|6265.131| 2.176|-2.578| 97.4| 7.72
HIP   1499| 130|26.00|6271.276| 3.330|-2.751| 30.6| 7.67
HIP   1499| 131|26.00|6280.616| 0.859|-4.363|     |
HIP   1499| 132|26.00|6297.792| 2.223|-2.740| 83.0| 7.65
HIP   1499| 133|26.00|6311.500| 2.832|-3.141| 38.2| 7.73
HIP   1499| 134|26.00|6322.690| 2.588|-2.326| 89.2| 7.74
HIP   1499| 135|26.00|6353.835| 0.915|-6.477|     |
HIP   1499| 136|26.00|6481.869| 2.279|-2.933| 79.8| 7.81
HIP   1499| 137|26.00|6498.937| 0.958|-4.632| 56.5| 7.68
HIP   1499| 138|26.00|6518.365| 2.830|-2.564| 71.6| 7.83
HIP   1499| 139|26.00|6574.225| 0.990|-4.980| 37.4| 7.68
HIP   1499| 140|26.00|6581.207| 1.480|-4.751|     |
HIP   1499| 141|26.00|6593.871| 2.433|-2.359| 93.1| 7.66
HIP   1499| 142|26.00|6609.110| 2.559|-2.616| 75.8| 7.69
HIP   1499| 143|26.00|6625.021| 1.010|-5.307| 20.2| 7.62
HIP   1499| 144|26.00|6667.725| 4.580|-2.125| 13.1| 7.75
HIP   1499| 145|26.00|6699.162| 4.590|-2.081| 13.5| 7.73
HIP   1499| 146|26.00|6739.520| 1.557|-4.790|     |
HIP   1499| 147|26.00|6750.150| 2.424|-2.570| 85.7| 7.71
HIP   1499| 148|26.00|6752.705| 4.640|-1.186| 46.5| 7.70
HIP   1499| 149|26.00|6793.252| 4.080|-2.366| 20.2| 7.74
HIP   1499| 150|26.00|6804.001| 4.650|-1.522|     |
HIP   1499| 151|26.00|6804.275| 4.580|-1.776|     |
HIP   1499|1063|26.00|5522.447| 4.209|-1.373|     |
HIP   1499|1064|26.00|5546.500| 4.371|-1.018| 56.3| 7.58
HIP   1499|1065|26.00|5549.948| 3.695|-2.762| 15.9| 7.69
HIP   1499|1066|26.00|5552.691| 4.956|-1.704| 13.3| 7.74
HIP   1499|1067|26.00|5559.638| 4.988|-1.614| 12.0| 7.63
HIP   1499|1068|26.00|5568.072| 4.154|-2.889|  5.7| 7.74
HIP   1499|1069|26.00|5568.867| 3.635|-2.817|     |
HIP   1499|1070|26.00|5577.031| 5.033|-1.446| 17.2| 7.69
HIP   1499|1071|26.00|5587.573| 4.143|-1.593| 46.4| 7.69
HIP   1499|1072|26.00|5595.075| 5.064|-1.633| 11.2| 7.68
HIP   1499|1073|26.00|5608.974| 4.209|-2.287| 18.3| 7.78
HIP   1499|1074|26.00|5618.631| 4.209|-1.233| 58.0| 7.66
HIP   1499|1075|26.00|5619.587| 4.386|-1.409| 43.3| 7.68
HIP   1499|1076|26.00|5636.696| 3.640|-2.495| 27.0| 7.68
HIP   1499|1077|26.00|5638.262| 4.220|-0.663| 89.5| 7.71
HIP   1499|1078|26.00|5650.020| 5.099|-0.749| 46.4| 7.69
HIP   1499|1079|26.00|5650.704| 5.085|-0.672| 46.9| 7.68
HIP   1499|1080|26.00|5651.470| 4.473|-1.747| 25.5| 7.70
HIP   1499|1081|26.00|5652.320| 4.260|-1.731| 35.0| 7.70
HIP   1499|1082|26.00|5653.889| 4.386|-1.334| 46.0| 7.64
HIP   1499|1083|26.00|5672.267| 4.584|-2.836|     |
HIP   1499|1084|26.00|5679.025| 4.652|-0.626| 71.3| 7.75
HIP   1499|1085|26.00|5680.241| 4.186|-2.306| 15.5| 7.68
HIP   1499|1086|26.00|5731.762| 4.256|-1.050| 69.5| 7.74
HIP   1499|1087|26.00|5732.275| 4.991|-1.400| 21.9| 7.74
HIP   1499|1088|26.00|5752.023| 4.548|-0.846| 66.7| 7.76
HIP   1499|1089|26.00|5753.121| 4.260|-0.594| 85.5| 7.62
HIP   1499|1090|26.00|5760.345| 3.642|-2.438| 29.2| 7.67
HIP   1499|1091|26.00|5775.080| 4.220|-1.059| 69.3| 7.70
HIP   1499|1092|26.00|5793.913| 4.220|-1.578| 43.8| 7.69
HIP   1499|1093|26.00|5814.805| 4.283|-1.797| 33.1| 7.74
HIP   1499|1094|26.00|5827.875| 3.283|-3.165| 19.2| 7.78
HIP   1499|1095|26.00|5835.098| 4.256|-2.113| 21.4| 7.73
HIP   1499|1096|26.00|5837.700| 4.294|-2.255| 15.3| 7.72
HIP   1499|1097|26.00|5845.266| 5.033|-1.673| 11.1| 7.67
HIP   1499|1098|26.00|5849.682| 3.695|-2.885| 12.6| 7.67
HIP   1499|1099|26.00|5852.217| 4.548|-1.127| 51.0| 7.71
HIP   1499|1100|26.00|5853.149| 1.485|-5.089| 11.3| 7.63
HIP   1499|1101|26.00|5856.083| 4.294|-1.513| 42.8| 7.69
HIP   1499|1102|26.00|5858.779| 4.220|-2.156| 21.2| 7.74
HIP   1499|1103|26.00|5859.578| 4.548|-0.489| 81.9| 7.62
HIP   1499|1104|26.00|5861.107| 4.283|-2.327| 12.6| 7.68
HIP   1499|1105|26.00|5880.029| 4.558|-1.877|     |
HIP   1499|1106|26.00|5881.279| 4.607|-1.741|     |
HIP   1499|1107|26.00|5902.485| 4.593|-1.783| 23.5| 7.79
HIP   1499|1108|26.00|5905.689| 4.652|-0.650|     |
HIP   1499|1109|26.00|5916.249| 2.453|-2.882| 67.5| 7.75
HIP   1499|1110|26.00|5927.786| 4.652|-0.987|     |
HIP   1499|1111|26.00|5929.667| 4.548|-1.140| 50.0| 7.71
HIP   1499|1112|26.00|5934.653| 3.929|-1.015| 84.6| 7.67
HIP   1499|1113|26.00|5969.559| 4.283|-2.732|     |
HIP   1499|1114|26.00|5976.157| 4.294|-3.155|     |
HIP   1499|1115|26.00|5984.814| 4.733|-0.129| 89.5| 7.61
HIP   1499|1116|26.00|5987.066| 4.795|-0.307|     |
HIP   1499|1117|26.00|6003.010| 3.882|-0.903| 93.8| 7.67
HIP   1499|1118|26.00|6027.050| 4.076|-1.065| 73.4| 7.69
HIP   1499|1119|26.00|6034.033| 4.312|-2.335| 13.5| 7.74
HIP   1499|1120|26.00|6093.666| 4.607|-1.297| 39.1| 7.67
HIP   1499|1121|26.00|6094.364| 4.652|-1.557| 30.0| 7.76
HIP   1499|1122|26.00|6096.662| 3.984|-1.758| 48.5| 7.72
HIP   1499|1123|26.00|6105.152| 4.548|-1.916| 16.9| 7.66
HIP   1499|1124|26.00|6127.909| 4.143|-1.352| 59.6| 7.73
HIP   1499|1125|26.00|6165.361| 4.143|-1.434| 54.6| 7.70
HIP   1499|1126|26.00|6187.398| 2.832|-4.094|     |
HIP   1499|1127|26.00|6187.987| 3.943|-1.587| 60.0| 7.74
HIP   1499|1128|26.00|6199.507| 2.559|-4.283|  7.5| 7.68
HIP   1499|1129|26.00|6213.429| 2.223|-2.562| 94.3| 7.70
HIP   1499|1130|26.00|6220.776| 3.882|-2.322| 27.5| 7.72
HIP   1499|1131|26.00|6221.670| 0.859|-6.441|     |
HIP   1499|1132|26.00|6226.730| 3.883|-2.055| 40.6| 7.74
HIP   1499|1133|26.00|6229.225| 2.845|-2.877| 48.5| 7.70
HIP   1499|1134|26.00|6302.494| 3.686|-1.163| 93.2| 7.67
HIP   1499|1135|26.00|6330.838| 4.733|-1.152| 42.8| 7.69
HIP   1499|1136|26.00|6335.328| 2.198|-2.349|108.5| 7.69
HIP   1499|1137|26.00|6367.111| 4.795|-2.373|  5.3| 7.76
HIP   1499|1138|26.00|6392.538| 2.279|-3.939| 24.2| 7.66
HIP   1499|1139|26.00|6436.411| 4.186|-2.337| 15.6| 7.68
HIP   1499|1140|26.00|6472.150| 4.371|-3.140|     |
HIP   1499|1141|26.00|6494.980| 2.404|-1.301|     |
HIP   1499|1142|26.00|6496.469| 4.795|-0.483| 67.3| 7.59
HIP   1499|1143|26.00|6591.325| 4.593|-1.957| 16.5| 7.72
HIP   1499|1144|26.00|6608.024| 2.279|-3.952| 25.9| 7.70
HIP   1499|1145|26.00|6627.540| 4.548|-1.452| 37.2| 7.69
HIP   1499|1146|26.00|6646.932| 2.608|-3.931| 13.4| 7.63
HIP   1499|1147|26.00|6667.417| 2.453|-4.315|     |
HIP   1499|1148|26.00|6676.863| 4.558|-2.699|     |
HIP   1499|1149|26.00|6703.568| 2.759|-3.008| 45.8| 7.66
HIP   1499|1150|26.00|6710.316| 1.485|-4.813| 21.9| 7.65
HIP   1499|1151|26.00|6712.441| 4.988|-2.071|  7.4| 7.79
HIP   1499|1152|26.00|6725.353| 4.103|-2.178| 26.8| 7.74
HIP   1499|1153|26.00|6726.661| 4.607|-1.003| 58.7| 7.72
HIP   1499|1154|26.00|6732.070| 4.584|-2.111| 12.3| 7.70
HIP   1499|1155|26.00|6733.151| 4.638|-1.403| 35.7| 7.69
HIP   1499|1156|26.00|6745.090| 4.580|-2.065| 11.4| 7.61
HIP   1499|1157|26.00|6745.955| 4.076|-2.632| 11.3| 7.69
HIP   1499|1158|26.00|6746.953| 2.608|-4.337|  6.5| 7.68
HIP   1499|1159|26.00|6783.264| 2.559|-4.550|     |
HIP   1499|1162|26.00|6806.847| 2.727|-3.098|     |
HIP   1499|1163|26.00|6810.257| 4.607|-0.927|     |
HIP   1499|1164|26.00|6824.825| 4.988|-2.125|     |
HIP   1499| 207|26.01|5525.125| 3.267|-4.007|     |
HIP   1499| 208|26.01|6432.680| 2.891|-3.579| 48.4| 7.74
HIP   1499| 209|26.01|6516.080| 2.891|-3.302|     |
HIP   1499|2005|26.01|5991.376| 3.153|-3.540| 37.0| 7.71
HIP   1499|2006|26.01|6084.111| 3.199|-3.791| 28.4| 7.79
HIP   1499|2007|26.01|6141.033| 3.230|-4.872|     |
HIP   1499|2008|26.01|6149.258| 3.889|-2.720| 40.6| 7.68
HIP   1499|2009|26.01|6239.953| 3.889|-3.423| 13.7| 7.59
HIP   1499|2010|26.01|6247.557| 3.892|-2.336| 58.8| 7.70
HIP   1499|2011|26.01|6269.967| 3.245|-4.355|  6.9| 7.57
HIP   1499|2012|26.01|6446.410| 6.222|-1.938|  5.5| 7.70
HIP   1499|2013|26.01|6456.383| 3.903|-2.142| 71.6| 7.77
HIP   1598| 109|26.00|5600.226| 4.260|-1.429| 30.3| 7.26
