#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-10-02T01:46:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157b7b5343e92	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&
#-source=J/PASJ/57/27/tablee2
#-order=I
#-out=HD
#HD=161797
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
161797| 125| 26.00| 6200.314|  2.609| -2.360|  96.1|   7.781|  -7.781
161797| 128| 26.00| 6240.645|  2.220| -3.269|  73.4|   7.806|  -7.806
161797| 130| 26.00| 6271.276|  3.330| -2.751|  44.8|   7.845|  -7.845
161797| 132| 26.00| 6297.792|  2.223| -2.740|  97.2|   7.739|  -7.739
161797| 133| 26.00| 6311.500|  2.832| -3.141|  49.1|   7.808|  -7.808
161797| 135| 26.00| 6353.835|  0.915| -6.477|   4.5|   7.784|  -7.784
161797| 137| 26.00| 6498.937|  0.958| -4.632|  73.1|   7.784|  -7.784
161797| 138| 26.00| 6518.365|  2.830| -2.564|  81.0|   7.847|  -7.847
161797| 139| 26.00| 6574.225|  0.990| -4.980|  54.3|   7.804|  -7.804
161797| 140| 26.00| 6581.207|  1.480| -4.751|  46.4|   7.942|  -7.942
161797| 142| 26.00| 6609.110|  2.559| -2.616|  95.5|   7.910|  -7.910
161797| 143| 26.00| 6625.021|  1.010| -5.307|  38.1|   7.840|  -7.840
161797| 144| 26.00| 6667.725|  4.580| -2.125|  19.1|   7.869|  -7.869
161797| 145| 26.00| 6699.162|  4.590| -2.081|  17.4|   7.781|  -7.781
161797| 146| 26.00| 6739.520|  1.557| -4.790|  28.9|   7.701|  -7.701
161797| 148| 26.00| 6752.705|  4.640| -1.186|  56.0|   7.795|  -7.795
161797| 149| 26.00| 6793.252|  4.080| -2.366|  25.8|   7.787|  -7.787
161797| 151| 26.00| 6804.275|  4.580| -1.776|  26.4|   7.710|  -7.710
161797| 152| 26.00| 6837.016|  4.590| -1.750|  33.1|   7.848|  -7.848
161797| 153| 26.00| 6854.838|  4.590| -1.876|  24.7|   7.776|  -7.776
161797|1029| 26.00| 5197.929|  4.301| -1.438|  55.1|   7.804|  -7.804
161797|1030| 26.00| 5206.801|  4.283| -2.396|  13.5|   7.726|  -7.726
161797|1031| 26.00| 5223.187|  3.635| -2.231|  49.0|   7.808|  -7.808
161797|1033| 26.00| 5253.023|  2.279| -3.819|  36.2|   7.745|  -7.745
161797|1034| 26.00| 5279.654|  3.301| -3.544|  10.3|   7.764|  -7.764
161797|1035| 26.00| 5285.118|  4.434| -1.465|  43.5|   7.710|  -7.710
161797|1036| 26.00| 5288.528|  3.695| -1.525|  74.5|   7.741|  -7.741
161797|1037| 26.00| 5300.412|  4.593| -2.234|   9.8|   7.701|  -7.701
161797|1038| 26.00| 5301.327|  4.386| -2.702|   4.8|   7.626|  -7.626
161797|1040| 26.00| 5320.039|  3.642| -2.486|  36.3|   7.787|  -7.787
161797|1041| 26.00| 5321.109|  4.434| -1.198|  61.4|   7.833|  -7.833
161797|1042| 26.00| 5365.396|  3.573| -1.202|  91.2|   7.677|  -7.677
161797|1043| 26.00| 5376.826|  4.294| -1.983|  26.8|   7.716|  -7.716
161797|1044| 26.00| 5379.574|  3.695| -1.447|  82.4|   7.839|  -7.839
161797|1045| 26.00| 5385.579|  3.695| -3.008|  13.5|   7.751|  -7.751
161797|1046| 26.00| 5389.479|  4.415| -0.285|  98.0|   7.673|  -7.673
161797|1047| 26.00| 5395.215|  4.446| -1.682|  34.7|   7.732|  -7.732
161797|1048| 26.00| 5398.277|  4.446| -0.483|  87.0|   7.659|  -7.659
161797|1049| 26.00| 5401.264|  4.320| -1.666|  43.1|   7.784|  -7.784
161797|1050| 26.00| 5406.770|  4.371| -1.394|  54.7|   7.789|  -7.789
161797|1051| 26.00| 5409.133|  4.371| -0.934|  77.4|   7.823|  -7.823
161797|1052| 26.00| 5417.039|  4.415| -1.347|  55.8|   7.822|  -7.822
161797|1054| 26.00| 5436.297|  4.386| -1.250|  60.6|   7.807|  -7.807
161797|1055| 26.00| 5436.587|  2.279| -3.264|  69.6|   7.868|  -7.868
161797|1056| 26.00| 5441.354|  4.312| -1.511|  52.4|   7.811|  -7.811
161797|1057| 26.00| 5443.409|  4.103| -2.752|   9.1|   7.695|  -7.695
161797|1058| 26.00| 5464.278|  4.143| -1.545|  58.5|   7.821|  -7.821
161797|1059| 26.00| 5470.092|  4.446| -1.522|  45.1|   7.801|  -7.801
161797|1060| 26.00| 5473.164|  4.191| -1.946|  36.9|   7.793|  -7.793
161797|1061| 26.00| 5473.900|  4.154| -0.634|  98.1|   7.713|  -7.713
161797|1062| 26.00| 5517.069|  4.209| -1.979|  35.7|   7.815|  -7.815
161797|1063| 26.00| 5522.447|  4.209| -1.373|  62.8|   7.792|  -7.792
161797|1064| 26.00| 5546.500|  4.371| -1.018|  68.6|   7.734|  -7.734
161797|1065| 26.00| 5549.948|  3.695| -2.762|  22.8|   7.789|  -7.789
161797|1066| 26.00| 5552.691|  4.956| -1.704|  16.1|   7.767|  -7.767
161797|1067| 26.00| 5559.638|  4.988| -1.614|  19.2|   7.811|  -7.811
161797|1068| 26.00| 5568.072|  4.154| -2.889|   6.2|   7.692|  -7.692
161797|1069| 26.00| 5568.867|  3.635| -2.817|  16.8|   7.607|  -7.607
161797|1070| 26.00| 5577.031|  5.033| -1.446|  21.8|   7.755|  -7.755
161797|1071| 26.00| 5587.573|  4.143| -1.593|  54.5|   7.753|  -7.753
161797|1072| 26.00| 5595.075|  5.064| -1.633|  12.5|   7.665|  -7.665
161797|1073| 26.00| 5608.974|  4.209| -2.287|  22.2|   7.803|  -7.803
161797|1074| 26.00| 5618.631|  4.209| -1.233|  66.7|   7.729|  -7.729
161797|1075| 26.00| 5619.587|  4.386| -1.409|  53.8|   7.797|  -7.797
161797|1076| 26.00| 5636.696|  3.640| -2.495|  35.7|   7.764|  -7.764
161797|1077| 26.00| 5638.262|  4.220| -0.663|  97.1|   7.773|  -7.773
161797|1078| 26.00| 5650.020|  5.099| -0.749|  53.2|   7.755|  -7.755
161797|1079| 26.00| 5650.704|  5.085| -0.672|  58.9|   7.840|  -7.840
161797|1080| 26.00| 5651.470|  4.473| -1.747|  33.1|   7.786|  -7.786
161797|1081| 26.00| 5652.320|  4.260| -1.731|  45.2|   7.816|  -7.816
161797|1082| 26.00| 5653.889|  4.386| -1.334|  53.4|   7.695|  -7.695
161797|1083| 26.00| 5672.267|  4.584| -2.836|   3.8|   7.828|  -7.828
161797|1084| 26.00| 5679.025|  4.652| -0.626|  76.7|   7.770|  -7.770
161797|1085| 26.00| 5680.241|  4.186| -2.306|  23.5|   7.832|  -7.832
161797|1086| 26.00| 5731.762|  4.256| -1.050|  77.5|   7.796|  -7.796
161797|1087| 26.00| 5732.275|  4.991| -1.400|  28.6|   7.832|  -7.832
161797|1088| 26.00| 5752.023|  4.548| -0.846|  69.5|   7.717|  -7.717
161797|1089| 26.00| 5753.121|  4.260| -0.594|  90.4|   7.633|  -7.633
161797|1090| 26.00| 5760.345|  3.642| -2.438|  40.0|   7.792|  -7.792
161797|1091| 26.00| 5775.080|  4.220| -1.059|  78.4|   7.778|  -7.778
161797|1092| 26.00| 5793.913|  4.220| -1.578|  54.2|   7.797|  -7.797
161797|1093| 26.00| 5814.805|  4.283| -1.797|  40.5|   7.795|  -7.795
161797|1094| 26.00| 5827.875|  3.283| -3.165|  24.5|   7.803|  -7.803
161797|1095| 26.00| 5835.098|  4.256| -2.113|  26.4|   7.771|  -7.771
161797|1096| 26.00| 5837.700|  4.294| -2.255|  19.6|   7.771|  -7.771
161797|1097| 26.00| 5845.266|  5.033| -1.673|  14.6|   7.746|  -7.746
161797|1098| 26.00| 5849.682|  3.695| -2.885|  17.4|   7.739|  -7.739
161797|1099| 26.00| 5852.217|  4.548| -1.127|  59.0|   7.777|  -7.777
161797|1100| 26.00| 5853.149|  1.485| -5.089|  17.8|   7.705|  -7.705
161797|1101| 26.00| 5856.083|  4.294| -1.513|  53.1|   7.794|  -7.794
161797|1102| 26.00| 5858.779|  4.220| -2.156|  25.4|   7.752|  -7.752
161797|1103| 26.00| 5859.578|  4.548| -0.489|  92.3|   7.748|  -7.748
161797|1104| 26.00| 5861.107|  4.283| -2.327|  17.5|   7.764|  -7.764
161797|1105| 26.00| 5880.029|  4.558| -1.877|  19.8|   7.656|  -7.656
161797|1107| 26.00| 5902.485|  4.593| -1.783|  29.6|   7.851|  -7.851
161797|1108| 26.00| 5905.689|  4.652| -0.650|  79.8|   7.849|  -7.849
161797|1109| 26.00| 5916.249|  2.453| -2.882|  80.1|   7.840|  -7.840
161797|1110| 26.00| 5927.786|  4.652| -0.987|  61.0|   7.784|  -7.784
161797|1111| 26.00| 5929.667|  4.548| -1.140|  60.8|   7.829|  -7.829
161797|1112| 26.00| 5934.653|  3.929| -1.015|  93.4|   7.745|  -7.745
161797|1113| 26.00| 5969.559|  4.283| -2.732|   9.8|   7.864|  -7.864
161797|1114| 26.00| 5976.157|  4.294| -3.155|   4.3|   7.907|  -7.907
161797|1115| 26.00| 5984.814|  4.733| -0.129|  99.8|   7.738|  -7.738
161797|1116| 26.00| 5987.066|  4.795| -0.307|  95.4|   7.911|  -7.911
161797|1117| 26.00| 6003.010|  3.882| -0.903|  99.3|   7.691|  -7.691
161797|1118| 26.00| 6027.050|  4.076| -1.065|  82.9|   7.761|  -7.761
161797|1119| 26.00| 6034.033|  4.312| -2.335|  18.2|   7.816|  -7.816
161797|1120| 26.00| 6093.666|  4.607| -1.297|  50.3|   7.811|  -7.811
161797|1121| 26.00| 6094.364|  4.652| -1.557|  38.1|   7.845|  -7.845
161797|1122| 26.00| 6096.662|  3.984| -1.758|  58.9|   7.816|  -7.816
161797|1123| 26.00| 6105.152|  4.548| -1.916|  26.0|   7.835|  -7.835
161797|1124| 26.00| 6127.909|  4.143| -1.352|  68.8|   7.796|  -7.796
161797|1125| 26.00| 6165.361|  4.143| -1.434|  63.8|   7.769|  -7.769
161797|1126| 26.00| 6187.398|  2.832| -4.094|  10.2|   7.783|  -7.783
161797|1127| 26.00| 6187.987|  3.943| -1.587|  72.1|   7.870|  -7.870
161797|1128| 26.00| 6199.507|  2.559| -4.283|  11.7|   7.762|  -7.762
161797|1130| 26.00| 6220.776|  3.882| -2.322|  34.6|   7.773|  -7.773
161797|1131| 26.00| 6221.670|  0.859| -6.441|   5.2|   7.765|  -7.765
161797|1132| 26.00| 6226.730|  3.883| -2.055|  50.6|   7.833|  -7.833
161797|1133| 26.00| 6229.225|  2.845| -2.877|  65.9|   7.901|  -7.901
161797|1135| 26.00| 6330.838|  4.733| -1.152|  53.8|   7.783|  -7.783
161797|1137| 26.00| 6367.111|  4.795| -2.373|   5.2|   7.683|  -7.683
161797|1138| 26.00| 6392.538|  2.279| -3.939|  38.0|   7.812|  -7.812
161797|1139| 26.00| 6436.411|  4.186| -2.337|  24.0|   7.838|  -7.838
161797|1140| 26.00| 6472.150|  4.371| -3.140|   2.3|   7.662|  -7.662
161797|1142| 26.00| 6496.469|  4.795| -0.483|  82.4|   7.796|  -7.796
161797|1143| 26.00| 6591.325|  4.593| -1.957|  22.8|   7.823|  -7.823
161797|1144| 26.00| 6608.024|  2.279| -3.952|  37.3|   7.795|  -7.795
161797|1145| 26.00| 6627.540|  4.548| -1.452|  48.0|   7.819|  -7.819
161797|1146| 26.00| 6646.932|  2.608| -3.931|  24.8|   7.841|  -7.841
161797|1147| 26.00| 6667.417|  2.453| -4.315|  13.5|   7.729|  -7.729
161797|1149| 26.00| 6703.568|  2.759| -3.008|  60.9|   7.798|  -7.798
161797|1150| 26.00| 6710.316|  1.485| -4.813|  36.8|   7.814|  -7.814
161797|1151| 26.00| 6712.441|  4.988| -2.071|  10.1|   7.876|  -7.876
161797|1152| 26.00| 6725.353|  4.103| -2.178|  35.2|   7.830|  -7.830
161797|1153| 26.00| 6726.661|  4.607| -1.003|  67.9|   7.801|  -7.801
161797|1154| 26.00| 6732.070|  4.584| -2.111|  16.2|   7.765|  -7.765
161797|1155| 26.00| 6733.151|  4.638| -1.403|  46.3|   7.819|  -7.819
161797|1156| 26.00| 6745.090|  4.580| -2.065|  19.8|   7.826|  -7.826
161797|1157| 26.00| 6745.955|  4.076| -2.632|  16.4|   7.787|  -7.787
161797|1158| 26.00| 6746.953|  2.608| -4.337|  10.8|   7.793|  -7.793
161797|1159| 26.00| 6783.264|  2.559| -4.550|   6.7|   7.723|  -7.723
161797|1161| 26.00| 6801.864|  1.608| -5.779|   4.1|   7.745|  -7.745
161797|1162| 26.00| 6806.847|  2.727| -3.098|  58.7|   7.803|  -7.803
161797|1163| 26.00| 6810.257|  4.607| -0.927|  69.9|   7.777|  -7.777
161797|1164| 26.00| 6824.825|  4.988| -2.125|   9.3|   7.884|  -7.884
161797|1165| 26.00| 6828.590|  4.638| -0.790|  75.4|   7.774|  -7.774
161797|1166| 26.00| 6833.224|  4.638| -1.988|  24.4|   7.925|  -7.925
161797|1167| 26.00| 6839.831|  2.559| -3.362|  53.8|   7.797|  -7.797
161797|1168| 26.00| 6843.648|  4.548| -0.764|  83.9|   7.830|  -7.830
161797|1169| 26.00| 6855.159|  4.558| -0.575|  93.8|   7.799|  -7.799
161797|1170| 26.00| 6857.243|  4.076| -2.053|  40.7|   7.794|  -7.794
161797|1172| 26.00| 6861.945|  2.424| -3.787|  40.9|   7.833|  -7.833
161797|1173| 26.00| 6862.492|  4.558| -1.405|  51.2|   7.831|  -7.831
161797|1174| 26.00| 6898.289|  4.220| -2.108|  31.3|   7.786|  -7.786
161797|1175| 26.00| 6916.678|  4.154| -1.197|  90.1|   7.944|  -7.944
161797|1176| 26.00| 6960.338|  4.593| -1.890|  17.6|   7.589|  -7.589
161797|1177| 26.00| 6988.523|  2.404| -3.442|  57.2|   7.766|  -7.766
161797|1178| 26.00| 6999.878|  4.103| -1.351|  83.1|   7.912|  -7.912
161797|1179| 26.00| 7000.618|  4.143| -2.106|  38.9|   7.870|  -7.870
161797|1181| 26.00| 7010.333|  4.580| -1.888|  32.3|   7.951|  -7.951
161797|1182| 26.00| 7022.953|  4.191| -1.061|  90.2|   7.842|  -7.842
161797|1183| 26.00| 7024.059|  4.076| -1.934|  49.7|   7.847|  -7.847
161797|1184| 26.00| 7031.420|  4.988| -2.408|   5.1|   7.873|  -7.873
161797|1185| 26.00| 7038.222|  4.217| -1.115|  79.5|   7.722|  -7.722
161797| 204| 26.01| 5234.625|  3.221| -2.271|  99.5|  -7.771|   7.771
161797| 205| 26.01| 5264.812|  3.230| -3.108|  62.3|  -7.817|   7.817
161797| 206| 26.01| 5414.073|  3.221| -3.568|  42.7|  -7.809|   7.809
161797| 207| 26.01| 5525.125|  3.267| -4.007|  23.1|  -7.763|   7.763
161797| 208| 26.01| 6432.680|  2.891| -3.579|  57.2|  -7.781|   7.781
161797|2002| 26.01| 5325.553|  3.221| -3.210|  54.9|  -7.744|   7.744
161797|2003| 26.01| 5425.257|  3.199| -3.221|  59.8|  -7.841|   7.841
161797|2004| 26.01| 5427.826|  6.724| -1.487|   9.0|  -7.817|   7.817
161797|2005| 26.01| 5991.376|  3.153| -3.540|  46.0|  -7.775|   7.775
161797|2006| 26.01| 6084.111|  3.199| -3.791|  34.9|  -7.812|   7.812
161797|2007| 26.01| 6141.033|  3.230| -4.872|   5.6|  -7.845|   7.845
161797|2008| 26.01| 6149.258|  3.889| -2.720|  50.3|  -7.769|   7.769
161797|2010| 26.01| 6247.557|  3.892| -2.336|  67.5|  -7.759|   7.759
161797|2011| 26.01| 6269.967|  3.245| -4.355|  11.4|  -7.693|   7.693
161797|2013| 26.01| 6456.383|  3.903| -2.142|  78.9|  -7.790|   7.790

